Time,BASESYS5 F1:DesPer 1:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Heat Cap [W],BASESYS5 F1:DesPer 1:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 1:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 2:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Heat Cap [W],BASESYS5 F1:DesPer 2:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 2:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 3:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Heat Cap [W],BASESYS5 F1:DesPer 3:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 3:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 4:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Heat Cap [W],BASESYS5 F1:DesPer 4:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 4:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 5:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Heat Cap [W],BASESYS5 F1:DesPer 5:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 5:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 6:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Heat Cap [W],BASESYS5 F1:DesPer 6:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 6:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 7:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Heat Cap [W],BASESYS5 F1:DesPer 7:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 7:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 8:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Heat Cap [W],BASESYS5 F1:DesPer 8:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 8:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 9:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Heat Cap [W],BASESYS5 F1:DesPer 9:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 9:Des Tot Cool Cap [W],DOAS1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS1:DesPer 1:Des Heat Cap [W],DOAS1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS1:DesPer 1:Des Sens Cool Cap [W],DOAS1:DesPer 1:Des Tot Cool Cap [W],DOAS1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS1:DesPer 2:Des Heat Cap [W],DOAS1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS1:DesPer 2:Des Sens Cool Cap [W],DOAS1:DesPer 2:Des Tot Cool Cap [W],DOAS1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS1:DesPer 3:Des Heat Cap [W],DOAS1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS1:DesPer 3:Des Sens Cool Cap [W],DOAS1:DesPer 3:Des Tot Cool Cap [W],DOAS1:DesPer 4:Des Heat Mass Flow [kg/s],DOAS1:DesPer 4:Des Heat Cap [W],DOAS1:DesPer 4:Des Cool Mass Flow [kg/s],DOAS1:DesPer 4:Des Sens Cool Cap [W],DOAS1:DesPer 4:Des Tot Cool Cap [W],DOAS1:DesPer 5:Des Heat Mass Flow [kg/s],DOAS1:DesPer 5:Des Heat Cap [W],DOAS1:DesPer 5:Des Cool Mass Flow [kg/s],DOAS1:DesPer 5:Des Sens Cool Cap [W],DOAS1:DesPer 5:Des Tot Cool Cap [W],DOAS1:DesPer 6:Des Heat Mass Flow [kg/s],DOAS1:DesPer 6:Des Heat Cap [W],DOAS1:DesPer 6:Des Cool Mass Flow [kg/s],DOAS1:DesPer 6:Des Sens Cool Cap [W],DOAS1:DesPer 6:Des Tot Cool Cap [W],DOAS1:DesPer 7:Des Heat Mass Flow [kg/s],DOAS1:DesPer 7:Des Heat Cap [W],DOAS1:DesPer 7:Des Cool Mass Flow [kg/s],DOAS1:DesPer 7:Des Sens Cool Cap [W],DOAS1:DesPer 7:Des Tot Cool Cap [W],DOAS1:DesPer 8:Des Heat Mass Flow [kg/s],DOAS1:DesPer 8:Des Heat Cap [W],DOAS1:DesPer 8:Des Cool Mass Flow [kg/s],DOAS1:DesPer 8:Des Sens Cool Cap [W],DOAS1:DesPer 8:Des Tot Cool Cap [W],DOAS1:DesPer 9:Des Heat Mass Flow [kg/s],DOAS1:DesPer 9:Des Heat Cap [W],DOAS1:DesPer 9:Des Cool Mass Flow [kg/s],DOAS1:DesPer 9:Des Sens Cool Cap [W],DOAS1:DesPer 9:Des Tot Cool Cap [W]
00:15:00,3.376275E+00,0.000000E+00,4.121161E+00,4.667900E+04,4.492547E+04,3.376275E+00,8.458137E+03,3.488297E+00,2.833042E+03,1.121406E+04,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.213851E+00,5.196775E+04,4.897744E+04,3.376275E+00,0.000000E+00,4.348969E+00,5.983354E+04,7.485550E+04,3.376275E+00,0.000000E+00,4.405204E+00,5.845304E+04,7.761687E+04,3.376275E+00,0.000000E+00,3.689794E+00,2.805479E+04,1.275632E+04,3.376275E+00,0.000000E+00,3.888829E+00,3.543671E+04,1.147257E+04,3.376275E+00,0.000000E+00,4.256808E+00,5.607971E+04,5.415454E+04,9.139097E-01,1.114647E+04,1.105389E+00,1.143550E+04,1.049701E+04,9.139097E-01,2.014630E+04,9.794824E-01,1.004636E+03,3.283547E+03,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.013629E+04,1.120726E+00,1.262040E+04,1.128139E+04,9.139097E-01,8.619633E+03,1.145557E+00,1.442578E+04,1.790153E+04,9.139097E-01,9.248244E+03,1.143368E+00,1.377198E+04,1.829205E+04,9.139097E-01,1.423121E+04,1.029315E+00,7.485754E+03,3.192372E+03,9.139097E-01,1.313562E+04,1.063883E+00,8.974170E+03,2.173692E+03,9.139097E-01,9.217938E+03,1.131339E+00,1.366510E+04,1.262829E+04
00:30:00,3.376275E+00,0.000000E+00,4.181593E+00,4.705942E+04,4.553444E+04,3.376275E+00,9.094264E+03,3.506583E+00,2.503285E+03,1.000018E+04,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.274664E+00,5.235235E+04,4.956316E+04,3.376275E+00,0.000000E+00,4.408642E+00,6.024387E+04,7.540899E+04,3.376275E+00,0.000000E+00,4.466442E+00,5.885368E+04,7.815513E+04,3.376275E+00,0.000000E+00,3.748906E+00,2.864467E+04,1.366928E+04,3.376275E+00,0.000000E+00,3.947397E+00,3.580624E+04,1.210804E+04,3.376275E+00,0.000000E+00,4.317091E+00,5.645496E+04,5.469060E+04,9.139097E-01,1.131866E+04,9.139097E-01,9.089114E+03,7.562753E+03,9.139097E-01,2.031849E+04,9.139097E-01,8.928403E+01,1.871505E+03,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.030848E+04,9.139097E-01,1.009930E+04,8.135469E+03,9.139097E-01,8.779426E+03,9.139097E-01,1.162835E+04,1.439215E+04,9.139097E-01,9.417679E+03,9.139097E-01,1.099010E+04,1.480620E+04,9.139097E-01,1.434004E+04,9.139097E-01,6.067742E+03,1.400090E+03,9.139097E-01,1.330230E+04,9.139097E-01,7.105478E+03,0.000000E+00,9.139097E-01,9.390129E+03,9.139097E-01,1.101765E+04,9.316394E+03
00:45:00,3.376275E+00,0.000000E+00,4.233979E+00,4.730331E+04,4.597175E+04,3.376275E+00,9.730391E+03,3.529693E+00,2.254194E+03,8.909959E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.325843E+00,5.257356E+04,4.995162E+04,3.376275E+00,0.000000E+00,4.459974E+00,6.051414E+04,7.583922E+04,3.376275E+00,0.000000E+00,4.519209E+00,5.911242E+04,7.857244E+04,3.376275E+00,0.000000E+00,3.801386E+00,2.912442E+04,1.442932E+04,3.376275E+00,0.000000E+00,3.999108E+00,3.606026E+04,1.258992E+04,3.376275E+00,0.000000E+00,4.369200E+00,5.669233E+04,5.509837E+04,9.139097E-01,1.149085E+04,9.139097E-01,8.916923E+03,7.388085E+03,9.139097E-01,2.049068E+04,9.139097E-01,0.000000E+00,1.431261E+03,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.048067E+04,9.139097E-01,9.927108E+03,7.960865E+03,9.139097E-01,8.939219E+03,9.139097E-01,1.146856E+04,1.422952E+04,9.139097E-01,9.587115E+03,9.139097E-01,1.082066E+04,1.463360E+04,9.139097E-01,1.444886E+04,9.139097E-01,5.958918E+03,1.289970E+03,9.139097E-01,1.346898E+04,9.139097E-01,6.938797E+03,0.000000E+00,9.139097E-01,9.562319E+03,9.139097E-01,1.084546E+04,9.141757E+03
01:00:00,3.376275E+00,0.000000E+00,4.278929E+00,4.742066E+04,4.624232E+04,3.376275E+00,1.036652E+04,3.562818E+00,2.172556E+03,8.062397E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.370254E+00,5.268183E+04,5.019351E+04,3.376275E+00,0.000000E+00,4.503266E+00,6.064970E+04,7.610724E+04,3.376275E+00,0.000000E+00,4.563856E+00,5.923510E+04,7.882691E+04,3.376275E+00,0.000000E+00,3.848555E+00,2.951556E+04,1.506333E+04,3.376275E+00,0.000000E+00,4.046314E+00,3.623766E+04,1.296557E+04,3.376275E+00,0.000000E+00,4.413371E+00,5.679673E+04,5.534411E+04,9.139097E-01,1.166304E+04,9.139097E-01,8.744733E+03,7.213419E+03,9.139097E-01,2.066287E+04,9.139097E-01,0.000000E+00,9.940361E+02,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.065286E+04,9.139097E-01,9.754918E+03,7.786260E+03,9.139097E-01,9.099012E+03,9.139097E-01,1.130877E+04,1.406689E+04,9.139097E-01,9.756550E+03,9.139097E-01,1.065123E+04,1.446102E+04,9.139097E-01,1.455768E+04,9.139097E-01,5.850094E+03,1.179850E+03,9.139097E-01,1.363566E+04,9.139097E-01,6.772117E+03,0.000000E+00,9.139097E-01,9.734510E+03,9.139097E-01,1.067327E+04,8.967118E+03
01:15:00,3.376275E+00,0.000000E+00,4.323913E+00,4.774972E+04,4.667661E+04,3.376275E+00,1.079060E+04,3.597065E+00,2.321845E+03,7.769988E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.415235E+00,5.301084E+04,5.060344E+04,3.376275E+00,0.000000E+00,4.548388E+00,6.101142E+04,7.655817E+04,3.376275E+00,0.000000E+00,4.609923E+00,5.958889E+04,7.926367E+04,3.376275E+00,0.000000E+00,3.892428E+00,2.998424E+04,1.572376E+04,3.376275E+00,0.000000E+00,4.091876E+00,3.659036E+04,1.346749E+04,3.376275E+00,0.000000E+00,4.458464E+00,5.712748E+04,5.577227E+04,9.139097E-01,1.177784E+04,9.139097E-01,8.629939E+03,7.096976E+03,9.139097E-01,2.077767E+04,9.139097E-01,0.000000E+00,7.042154E+02,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.076765E+04,9.139097E-01,9.640124E+03,7.669857E+03,9.139097E-01,9.205540E+03,9.139097E-01,1.120224E+04,1.395848E+04,9.139097E-01,9.869507E+03,9.139097E-01,1.053827E+04,1.434596E+04,9.139097E-01,1.463023E+04,9.139097E-01,5.777544E+03,1.106427E+03,9.139097E-01,1.374678E+04,9.139097E-01,6.660997E+03,0.000000E+00,9.139097E-01,9.849304E+03,9.139097E-01,1.055847E+04,8.850692E+03
01:30:00,3.376275E+00,0.000000E+00,4.363017E+00,4.797996E+04,4.695397E+04,3.376275E+00,1.121469E+04,3.631730E+00,2.478641E+03,7.478168E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.454300E+00,5.324037E+04,5.085431E+04,3.376275E+00,0.000000E+00,4.587271E+00,6.126836E+04,7.683945E+04,3.376275E+00,0.000000E+00,4.649646E+00,5.983609E+04,7.952612E+04,3.376275E+00,0.000000E+00,3.932023E+00,3.038044E+04,1.626173E+04,3.376275E+00,0.000000E+00,4.131922E+00,3.685007E+04,1.381842E+04,3.376275E+00,0.000000E+00,4.497390E+00,5.735464E+04,5.603380E+04,9.139097E-01,1.189263E+04,9.139097E-01,8.515145E+03,6.980531E+03,9.139097E-01,2.089246E+04,9.139097E-01,0.000000E+00,4.157143E+02,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.088245E+04,9.139097E-01,9.525330E+03,7.553453E+03,9.139097E-01,9.312069E+03,9.139097E-01,1.109571E+04,1.385004E+04,9.139097E-01,9.982464E+03,9.139097E-01,1.042531E+04,1.423090E+04,9.139097E-01,1.470278E+04,9.139097E-01,5.704994E+03,1.033018E+03,9.139097E-01,1.385790E+04,9.139097E-01,6.549876E+03,0.000000E+00,9.139097E-01,9.964097E+03,9.139097E-01,1.044368E+04,8.734266E+03
01:45:00,3.376275E+00,0.000000E+00,4.397921E+00,4.813997E+04,4.716899E+04,3.376275E+00,1.163877E+04,3.663885E+00,2.594054E+03,7.135039E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.489128E+00,5.339910E+04,5.105113E+04,3.376275E+00,0.000000E+00,4.621995E+00,6.145580E+04,7.706288E+04,3.376275E+00,0.000000E+00,4.685092E+00,6.001186E+04,7.973075E+04,3.376275E+00,0.000000E+00,3.969206E+00,3.073567E+04,1.675404E+04,3.376275E+00,0.000000E+00,4.167955E+00,3.704263E+04,1.409933E+04,3.376275E+00,0.000000E+00,4.532165E+00,5.751245E+04,5.623444E+04,9.139097E-01,1.200743E+04,9.139097E-01,8.400351E+03,6.864087E+03,9.139097E-01,2.100726E+04,9.139097E-01,0.000000E+00,1.285239E+02,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.099724E+04,9.139097E-01,9.410536E+03,7.437050E+03,9.139097E-01,9.418598E+03,9.139097E-01,1.098918E+04,1.374163E+04,9.139097E-01,1.009542E+04,9.139097E-01,1.031236E+04,1.411584E+04,9.139097E-01,1.477533E+04,9.139097E-01,5.632445E+03,9.596100E+02,9.139097E-01,1.396902E+04,9.139097E-01,6.438756E+03,0.000000E+00,9.139097E-01,1.007889E+04,9.139097E-01,1.032889E+04,8.617841E+03
02:00:00,3.376275E+00,0.000000E+00,4.427922E+00,4.821754E+04,4.729838E+04,3.376275E+00,1.206286E+04,3.692253E+00,2.646396E+03,6.710917E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.519035E+00,5.347506E+04,5.116817E+04,3.376275E+00,0.000000E+00,4.651761E+00,6.155983E+04,7.720335E+04,3.376275E+00,0.000000E+00,4.715478E+00,6.010249E+04,7.985220E+04,3.376275E+00,0.000000E+00,4.001754E+00,3.101238E+04,1.714858E+04,3.376275E+00,0.000000E+00,4.199135E+00,3.715362E+04,1.428799E+04,3.376275E+00,0.000000E+00,4.562041E+00,5.758785E+04,5.635147E+04,9.139097E-01,1.212222E+04,9.139097E-01,8.285558E+03,6.747643E+03,9.139097E-01,2.112205E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.111203E+04,9.139097E-01,9.295743E+03,7.320648E+03,9.139097E-01,9.525126E+03,9.139097E-01,1.088265E+04,1.363321E+04,9.139097E-01,1.020838E+04,9.139097E-01,1.019940E+04,1.400079E+04,9.139097E-01,1.484788E+04,9.139097E-01,5.559895E+03,8.861871E+02,9.139097E-01,1.408014E+04,9.139097E-01,6.327636E+03,0.000000E+00,9.139097E-01,1.019368E+04,9.139097E-01,1.021409E+04,8.501416E+03
02:15:00,3.376275E+00,0.000000E+00,4.454648E+00,4.834634E+04,4.745505E+04,3.376275E+00,1.238092E+04,3.718312E+00,2.766247E+03,6.496478E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.545650E+00,5.360196E+04,5.131397E+04,3.376275E+00,0.000000E+00,4.678236E+00,6.170720E+04,7.736530E+04,3.376275E+00,0.000000E+00,4.742512E+00,6.024135E+04,7.999933E+04,3.376275E+00,0.000000E+00,4.031180E+00,3.130361E+04,1.752977E+04,3.376275E+00,0.000000E+00,4.227042E+00,3.731248E+04,1.449773E+04,3.376275E+00,0.000000E+00,4.588626E+00,5.771423E+04,5.649740E+04,9.139097E-01,1.220832E+04,9.139097E-01,8.199462E+03,6.660310E+03,9.139097E-01,2.120815E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.119813E+04,9.139097E-01,9.209647E+03,7.233346E+03,9.139097E-01,9.605023E+03,9.139097E-01,1.080276E+04,1.355189E+04,9.139097E-01,1.029310E+04,9.139097E-01,1.011468E+04,1.391450E+04,9.139097E-01,1.490229E+04,9.139097E-01,5.505483E+03,8.311271E+02,9.139097E-01,1.416348E+04,9.139097E-01,6.244295E+03,0.000000E+00,9.139097E-01,1.027978E+04,9.139097E-01,1.012800E+04,8.414096E+03
02:30:00,3.376275E+00,0.000000E+00,4.478280E+00,4.842329E+04,4.755576E+04,3.376275E+00,1.269898E+04,3.741967E+00,2.845384E+03,6.226861E+03,3.376275E+00,4.565038E+04,3.376275E+00,0.000000E+00,0.000000E+00,3.376275E+00,0.000000E+00,4.569158E+00,5.367680E+04,5.140625E+04,3.376275E+00,0.000000E+00,4.701605E+00,6.180253E+04,7.747433E+04,3.376275E+00,0.000000E+00,4.766379E+00,6.032716E+04,8.009326E+04,3.376275E+00,0.000000E+00,4.057583E+00,3.154418E+04,1.784692E+04,3.376275E+00,0.000000E+00,4.251838E+00,3.741922E+04,1.464699E+04,3.376275E+00,0.000000E+00,4.612107E+00,5.778859E+04,5.658925E+04,9.139097E-01,1.229441E+04,9.139097E-01,8.113367E+03,6.572977E+03,9.139097E-01,2.129424E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,3.021371E+04,9.139097E-01,0.000000E+00,0.000000E+00,9.139097E-01,1.128423E+04,9.139097E-01,9.123552E+03,7.146044E+03,9.139097E-01,9.684919E+03,9.139097E-01,1.072286E+04,1.347058E+04,9.139097E-01,1.037781E+04,9.139097E-01,1.002996E+04,1.382820E+04,9.139097E-01,1.495671E+04,9.139097E-01,5.451070E+03,7.760675E+02,9.139097E-01,1.424682E+04,9.139097E-01,6.160955E+03,0.000000E+00,9.139097E-01,1.036588E+04,9.139097E-01,1.004190E+04,8.326776E+03
