18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-02 18:39:18"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\ModelKit Run\modelkit\runs\CZ03\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.3578,0,0,0.843696,1.34308,5.20058,0,5.367,0.984739,0,0,4.54457,16.0969,0,0,0,0,0,55.2181,0,0,0,0,0,55.2181,55.2181,0,0,0,0,0,0,0,0,0,0,0,0,0,24.87,2084.1,4194.5,
1,1,2,0,0,2.3578,0,0,1.06568,1.34308,5.20058,0,5.367,0.984739,0,0,4.76656,16.3189,0,0,0,0,0,38.5983,0,0,0,0,0,38.5983,38.5983,0,0,0,0,0,0,0,0,0,0,0,0,0,24.62,2084.1,4194.5,
1,1,3,0,0,2.3578,0,0,1.06562,1.34308,5.20058,0,5.367,0.984739,0,0,4.7665,16.3188,0,0,0,0,0,59.2622,0,0,0,0,0,59.2622,59.2622,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,2084.1,4194.5,
1,1,4,0,0,2.3578,0,0,1.06196,1.34308,5.20058,0,5.367,0.984739,0,0,4.76284,16.3152,0,0,0,0,0,197.91,0,0,0,0,0,197.91,197.91,0,0,0,0,0,0,0,0,0,0,0,0,0,24.47,2084.1,4194.5,
1,1,5,0,0,2.3578,0,0,0.84179,1.34308,5.20058,0,5.367,0.984739,0,0,4.54267,16.095,0,0,0,0,0,222.776,0,0,0,0,0,222.776,222.776,0,0,0,0,0,0,0,0,0,0,0,0,0,24.73,2084.1,4194.5,
1,1,6,0.00138112,0,2.87406,0,0.00910633,1.06201,1.34308,13.1446,0,13.311,0.984739,0,0,5.28963,32.73,26.3213,0,0,0,0,378.174,0,0,0,0,0,457.138,457.138,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97,2084.1,4194.5,
1,1,7,0.00140944,0,4.97772,0,0.00905448,1.06569,1.34308,19.1026,0,19.269,0.984739,0,0,7.39695,46.7533,196.693,0,0,0,0,125.597,0,27.1049,0,0,0,715.676,742.781,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,2084.1,4194.5,
1,1,8,0.00126041,0,4.04238,0,0.00914519,1.077,1.34229,19.1026,0,19.269,0.984739,0,0,6.47207,45.8284,118.253,0,0,0,0,155.871,0,27.1049,0,0,0,510.629,537.734,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,2084.1,4194.5,
1,1,9,0.0219087,0,7.2262,0,0.237221,1.3164,2.35996,20.1782,0,19.269,0.984739,0,0,11.1617,51.5936,408.831,0,0,0,0,230.141,0,0,0,0,0,1456.63,1456.63,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,2084.1,4194.5,
1,1,10,0.0139059,0,5.27599,0,0.0338631,1.56432,2.34733,20.1782,0,19.269,0.984739,0,0,9.23541,49.6673,290.981,0,0,0,0,195.835,0,0,0,0,0,1068.78,1068.78,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62,2084.1,4194.5,
1,1,11,0.00963972,0,5.70749,0,0.0111442,2.2514,8.40551,20.6736,0,13.311,0.984739,0,0,16.3852,51.3545,267.997,0,0,0,0,134.437,0,0,0,0,0,938.427,938.427,0,0,0,0,0,0,0,0,0,0,0,0,0,23.51,2084.1,4194.5,
