18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2020-01-16 17:49:44"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\Prototypes\MidRise\Mid-Rise Mixed Use 5-Story Prototype_CZ03 - WH.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.34954,0,0,0.348134,1.34308,5.20058,0,5.367,3.94427,0,0,4.04075,18.5526,0,0,0,0,0,61.1709,0,0,0,0,0,61.1709,61.1709,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89,2084.1,4194.5,
1,1,2,0,0,2.34954,0,0,0.571876,1.34308,5.20058,0,5.367,3.94427,0,0,4.26449,18.7763,0,0,0,0,0,43.9756,0,0,0,0,0,43.9756,43.9756,0,0,0,0,0,0,0,0,0,0,0,0,0,24.64,2084.1,4194.5,
1,1,3,0,0,2.34954,0,0,0.571884,1.34308,5.20058,0,5.367,3.94427,0,0,4.2645,18.7763,0,0,0,0,0,65.0407,0,0,0,0,0,65.0407,65.0407,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,2084.1,4194.5,
1,1,4,0,0,2.34954,0,0,0.346996,1.34308,5.20058,0,5.367,3.94427,0,0,4.03961,18.5515,0,0,0,0,0,206.542,0,0,0,0,0,206.542,206.542,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49,2084.1,4194.5,
1,1,5,0.0251897,0,2.35397,0,0,0.56748,1.34308,5.20058,0,5.367,3.94427,0,0,4.28972,18.8016,0,0,0,0,0,231.92,0,0,0,0,0,231.92,231.92,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75,2084.1,4194.5,
1,1,6,2.84879,0,2.91516,0,0,0.568227,1.34308,13.1446,0,13.311,3.94427,0,0,7.67526,38.0751,0,0,0,0,0,392.186,0,0,0,0,0,392.186,392.186,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,2084.1,4194.5,
1,1,7,16.2812,0,6.53627,0,0.0238883,0.34809,1.34308,19.1026,0,19.269,3.94427,0,0,24.5325,66.8484,0.923861,0,0,0,0,133.12,0,27.1049,0,0,0,135.892,162.997,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,8,9.59002,0,4.62311,0,0.0136451,0.812813,1.34228,19.1026,0,19.269,3.94427,0,0,16.3819,58.6977,0.901989,0,0,0,0,164.346,0,27.1049,0,0,0,167.052,194.157,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,9,7.97644,0,7.49904,0,0.235629,0.824766,2.36041,20.1782,0,19.269,3.94427,0,0,18.8963,62.2877,331.744,0,0,0,0,240.912,0,0,0,0,0,1236.14,1236.14,0,0,0,0,0,0,0,0,0,0,0,0,0,24.92,2084.1,4194.5,
1,1,10,7.53504,0,5.4355,0,0.0779504,0.837107,2.34946,20.1782,0,19.269,3.94427,0,0,16.2351,59.6265,248.001,0,0,0,0,205.351,0,0,0,0,0,949.354,949.354,0,0,0,0,0,0,0,0,0,0,0,0,0,23.64,2084.1,4194.5,
1,1,11,8.27437,0,5.56826,0,0.0581265,1.76763,8.4057,20.6736,0,13.311,3.94427,0,0,24.0741,62.003,161.395,0,0,0,0,142.297,0,0,0,0,0,626.482,626.482,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,2084.1,4194.5,
1,1,12,7.54995,0,5.44742,0,0.0564401,1.80195,8.3832,20.6736,0,13.311,3.94427,0,0,23.239,61.1678,143.15,0,0,0,0,207.768,0,10.842,0,0,0,637.217,648.059,0,0,0,0,0,0,0,0,0,0,0,0,0,23.45,2084.1,4194.5,
1,1,13,7.41218,0,5.40431,0,0.0550367,2.18917,11.4144,24.9759,0,13.311,3.94427,0,0,26.4751,68.7063,103.54,0,0,0,0,100.103,0,10.842,0,0,0,410.722,421.564,0,0,0,0,0,0,0,0,0,0,0,0,0,23.49,2084.1,4194.5,
1,1,14,6.80971,0,5.31172,0,0.0547056,2.18936,11.442,24.9759,0,13.311,3.94427,0,0,25.8075,68.0387,86.8146,0,0,0,0,61.8515,0,0,0,0,0,322.295,322.295,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,2084.1,4194.5,
1,1,15,6.39195,0,5.25223,0,0.0545227,2.06116,11.4567,24.9759,0,13.311,3.94427,0,0,25.2165,67.4477,75.229,0,0,0,0,82.3042,0,0,0,0,0,307.991,307.991,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,2084.1,4194.5,
1,1,16,5.6523,0,5.12013,0,0.0544917,1.95918,11.4285,24.9759,0,13.311,3.94427,0,0,24.2146,66.4457,71.9848,0,0,0,0,114.919,0,0,0,0,0,330.873,330.873,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,2084.1,4194.5,
1,1,17,5.63074,0,5.10147,0,0.05457,2.21193,11.5856,24.9759,0,13.311,3.94427,0,0,24.5843,66.8155,77.8753,0,0,0,0,218.072,0,27.1049,0,0,0,451.698,478.803,0,0,0,0,0,0,0,0,0,0,0,0,0,25.15,2084.1,4194.5,
1,1,18,6.38347,0,5.21874,0,0.0553354,2.14479,8.53542,20.6736,0,13.311,3.94427,0,0,22.3378,60.2666,118.051,0,0,0,0,147.662,0,27.1049,0,0,0,501.814,528.919,0,0,0,0,0,0,0,0,0,0,0,0,0,25.17,2084.1,4194.5,
1,1,19,0.72372,0,4.14221,0,0.0571808,1.44009,4.42551,28.2873,0,25.227,3.94427,0,0,10.7887,68.2473,162.491,0,0,0,0,114.191,0,27.1049,0,0,0,601.663,628.768,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,2084.1,4194.5,
1,1,20,0.102879,0,2.36764,0,0,1.7351,1.34308,33.0046,0,33.171,3.94427,0,0,5.5487,75.6686,0,0,0,0,0,186.019,0,0,0,0,0,186.019,186.019,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,2084.1,4194.5,
1,1,21,0.0532247,0,2.3589,0,0,1.23521,1.34308,36.9766,0,37.143,3.94427,0,0,4.99041,83.0543,0,0,0,0,0,132.657,0,0,0,0,0,132.657,132.657,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,2084.1,4194.5,
1,1,22,0.128901,0,2.37219,0,0,0.99853,1.34308,33.0046,0,33.171,3.94427,0,0,4.8427,74.9626,0,0,0,0,0,177.37,0,0,0,0,0,177.37,177.37,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,2084.1,4194.5,
