16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-02-19 15:14:27"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\baseline-lrlc\runs\lrlc-baseline\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,18.4273,0,0.427597,0,0.0220009,0,1.93299,3.34286,5.08716,0,0,0,29.2399,0,0,0,0,0.30044,0,0,0.135015,0,0,0.435455,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,19.3636,0,0.427597,0,0.0220009,0,1.63121,3.31038,4.81685,0,0,0,29.5717,0,0,0,0,0.145982,0,0,0.127717,0,0,0.273699,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,19.5579,0,0.427597,0,0.0220009,0,1.32942,3.29414,4.68171,0,0,0,29.3127,0,0,0,0,0.112693,0,0,0.124068,0,0,0.236761,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,20.0154,0,0.427597,0,0.0220009,0,1.48032,3.29414,4.68171,0,0,0,29.9212,0,0,0,0,0.108535,0,0,0.124068,0,0,0.232603,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,15.3779,0,0.427597,0,0.0220009,0,1.7821,3.26165,4.4114,0,0,0,25.2827,0,0,0,0,0.116628,0,0,0.11677,0,0,0.233398,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,11.2714,0,0.427597,0,0.0220009,0,2.53656,3.32662,4.95202,0,0,0,22.5362,0,0,0,0,1.11112,0,0,0.131366,0,0,1.24249,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,9.53807,0,0.427597,0,0.0220009,0,3.36647,3.42408,5.76295,0,0,0,22.5412,0,0,0,0,0.569858,0,0,0.15326,0,0,0.723118,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,11.2008,0,0.427597,0,0.0220009,0,3.47462,3.45656,6.18177,0,0,0,24.7633,0,0,0,0,1.10661,0,0,0.160558,0,0,1.26717,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,11.3862,0,0.427597,0,0.0220009,0,2.9546,3.34286,5.24379,0,0,0,23.377,0,0,0,0,1.64898,0,0,0.135015,0,0,1.78399,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,9.66524,0,0.427597,0,0.0220009,0,2.57737,3.26165,4.568,0,0,0,20.5219,0,0,0,0,1.54846,0,0,0.11677,0,0,1.66523,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,9.77588,0,0.427597,0,0.0220009,0,2.47508,3.2779,4.75176,0,0,0,20.7302,0,0,0,0,1.05429,0,0,0.120419,0,0,1.17471,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,11.1277,0,0.427597,0,0.0220009,0,2.32419,3.2779,4.75176,0,0,0,21.9312,0,0,0,0,1.24869,0,0,0.120419,0,0,1.36911,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,9.20348,0,0.427597,0,0.0220009,0,2.2303,3.26165,4.85689,0,0,0,20.0019,0,0,0,0,0.842362,0,0,0.11677,0,0,0.959131,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,8.45572,0,0.427597,0,0.0220009,0,2.2303,3.2779,4.99206,0,0,0,19.4056,0,0,0,0,0.4952,0,0,0.120419,0,0,0.615619,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
1,1,15,7.36154,0,0.427597,0,0.0220009,0,2.2303,3.31038,5.26237,0,0,0,18.6142,0,0,0,0,0.666635,0,0,0.127717,0,0,0.794352,0,0,0,0,0,0,0,0,0,0,0,26.6978,352.219,0,0.000166712,0.004509,
