"",001
"Mon 07-Jun-21   6:28:03 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",8.78832,0,0,0,0.109188,0,0,0,0,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.40562,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",8.25456,0,0,0,0.109188,0,0,0,0,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.33819,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",7.90841,0,0,0,0.113228,0,0,0,0,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.31041,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",7.90688,0,0,0,0.109188,0,0,0,0,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.27776,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",7.7651,0,0,0,0.113228,0,0,0,0,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.23664,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",8.47769,0,0,0,0.282875,0,0,0,0,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.22703,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",9.94003,0,0,0,0.290954,0,0,0,0,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.255,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",11.0573,0,0,0,0.521189,0,0,0,0,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.35908,0,0.276577,2.39027,0.0416388,0,0,0,-1.5641
"MtrElec",1,1,9,"",-4.19785,0,0,0,0.505032,0,0,0,0,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.53439,0,1.00958,0.98054,0.0740246,0,0,0,-15.8457
"MtrElec",1,1,10,"",-12.8182,0,0,0,0.456562,0,0,0,0,0.756867,0,1.09188,0,0.677228,4.53847,0.151317,1.50437,0,0.414151,5.67248,0.0740246,0,0,0,-28.1555
"MtrElec",1,1,11,"",-23.7958,0,0,0,0.444444,0,0,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.4836,0,2.39589,3.48997,0.0709402,0,0,0,-37.8044
"MtrElec",1,1,12,"",-20.5203,0,0,0,0.246522,0,0,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.52285,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-32.9319
"MtrElec",1,1,13,"",-21.5083,0,0,0,0.234404,0,0,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.55695,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-31.605
"MtrElec",1,1,14,"",-27.9204,0,0,0,0.25864,0,0,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.57343,0,0.217118,0.369024,0.0909886,0,0,0,-36.3708
"MtrElec",1,1,15,"",-14.4985,0,0,0,0.30711,0,0,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.55217,0,0.155865,0.673276,0.0956151,0,0,0,-23.4507
