"",001
"Mon 07-Jun-21   6:29:19 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.57941,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.2886,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",7.05327,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.22878,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.70807,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.20196,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.7065,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.16926,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.55032,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.11375,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.25701,0,0,0,0.278836,0,0,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.10228,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.76452,0,0,0,0.286914,0,0,0,0.0613977,0.756867,0,0,0,0.980813,4.67234,0.221932,1.11402,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.7487,0,0,0,0.521189,0,0,0,1.34843,0.756867,0,0,0,0.957461,5.01958,0.2068,1.22992,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",10.9531,0,0,0,0.505032,0,0,0,0.485959,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47433,0,1.00958,0.98054,0.0740246,0,0,0,-0.0287811
"MtrElec",1,1,10,"",14.3019,0,0,0,0.456562,0,0,0,0.2657,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.129474
"MtrElec",1,1,11,"",13.584,0,0,0,0.444444,0,0,0,0.028785,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.371969
"MtrElec",1,1,12,"",11.7774,0,0,0,0.246522,0,0,0,0.0744237,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42604,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.611773
"MtrElec",1,1,13,"",9.66251,0,0,0,0.234404,0,0,0,0.201716,0.756867,0,0,0,0.490407,4.501,0.060527,1.44964,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.528552
"MtrElec",1,1,14,"",8.2436,0,0,0,0.25864,0,0,0,0.216488,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-0.316453
"MtrElec",1,1,15,"",8.59767,0,0,0,0.30711,0,0,0,0.174015,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-0.41629
"MtrElec",1,1,16,"",8.74924,0,0,0,0.355581,0,0,0,0.125238,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-0.366163
"MtrElec",1,1,17,"",10.0709,0,0,0,0.31115,0,0,0,0.0808269,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.18505
"MtrElec",1,1,18,"",10.8765,0,0,0,0.214208,0,0,0,0.0911133,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53405,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",12.0984,0,0,0,0.181895,0,0,0,0.113829,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68529,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.6554,0,0,0,0.274797,0,0,0,0.123944,0.756867,0,0,0,2.73227,7.23308,0.302635,1.64514,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",14.2655,0,0,0,0.266718,0,0,0,0.163442,0.756867,0,0,0,2.63885,7.49676,0.418645,1.59263,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",13.4161,0,0,0,0.35962,0,0,0,0.21453,0.756867,0,0,0,2.24186,7.42686,0.494303,1.52784,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",11.1247,0,0,0,0.129385,0,0,0,0.30977,0.756867,0,0,0,1.47122,6.63975,0.428733,1.37512,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",9.17284,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.42435,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",7.51772,0,0,0,0.117267,0,0,0,0,0.756867,0,0,0,0.537112,4.63532,0.23202,1.23142,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.69233,0,0,0,0.125345,0,0,0,0,0.756867,0,0,0,0.443701,4.22793,0.23202,1.20266,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.47468,0,0,0,0.133424,0,0,0,0,0.756867,0,0,0,0.35029,4.06638,0.23202,1.15162,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.67667,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.396996,4.04224,0.23202,1.12915,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",6.52802,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.490407,3.85168,0.23202,1.07765,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",7.08123,0,0,0,0.129385,0,0,0,0,0.756867,0,0,0,0.723934,4.17266,0.186625,1.09016,0,0,0,0.0215905,0,0,0,0
