16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 18:32:46"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp\cz04\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.36971,0,0.0320012,0,0.157419,0.380205,1.36223,0.0680012,0,0,2.36956,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.9635,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.36971,0,0.0320012,0,0.130041,0.362283,1.25338,0.0680012,0,0,2.21542,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.9477,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.36971,0,0.0331852,0,0.102664,0.353865,1.18819,0.0665229,0,0,2.11414,0,0,0,0,0.00476828,0,0,0.000859615,0,0,0.00562789,0,0,0,0,0,0,0,0,0,0,0,27.8911,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.36971,0,0.0320012,0,0.116353,0.344454,1.18481,0.0665229,0,0,2.11385,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.7982,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.36971,0,0.0331852,0,0.14373,0.328554,1.12527,0.0680012,0,0,2.06845,0,0,0,0,0.00454707,0,0,0.000859615,0,0,0.00540668,0,0,0,0,0,0,0,0,0,0,0,27.9185,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.36971,0,0.0817222,0,0.212173,0.326313,1.21935,0.0665229,0,0,2.27579,0,0,0,0,0.335614,0,0,0.00143269,0,0,0.337047,0,0,0,0,0,0,0,0,0,0,0,27.9595,352.219,0,0.000247852,0.004509,
1,1,7,0.000102678,0,0.36971,0,0.0840897,0,0.28746,0.524034,1.36938,0.0650445,0,0,2.69982,0.000151522,0,0,0,0.147362,0,0,0.00286538,0,0,0.150379,0,0,0,0,0,0,0,0,0,0,0,27.9814,352.219,0,0.000248481,0.004509,
1,1,8,0.377069,0,0.36971,0,0.152752,0,0.280616,1.15462,1.47115,0.0606096,0,0,3.86653,0.556438,0,0,0,0.224596,0,0,0.0649113,0,0,0.845945,0,0,0,0,0,0,0,0,0,0,0,27.9711,352.219,0,0.000248005,0.004509,
1,1,9,0.159279,0,0.36971,0,0.148016,0,0.232706,1.03714,1.38334,0.0532183,0,0,3.38341,0.235047,0,0,0,0.149832,0,0,0.222457,0,0,0.607336,0,0,0,0,0,0,0,0,0,0,0,27.9559,352.219,0,0.000243441,0.004509,
1,1,10,0.105619,0,0.36971,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-0.124993,0,4.28023,0.15586,0,0,0,0.357016,0,0,0.0993683,0,0,0.612244,0,0,0,0,0,0,0,0,0,0,0,27.4674,352.219,0,0.000204114,0.004509,
1,1,11,0.0494921,0,0.36971,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-0.411474,0,3.86774,0.073035,0,0,0,0.196236,0,0,0.508466,0,0,0.777737,0,0,0,0,0,0,0,0,0,0,0,27.2155,352.219,0,0.000185689,0.004509,
1,1,12,0.0879106,0,0.36971,0,0.0722515,0,0.171107,1.78913,1.33126,0.0236526,-0.287715,0,3.55731,0.129729,0,0,0,0.14957,0,0,0.320482,0,0,0.599781,0,0,0,0,0,0,0,0,0,0,0,26.8081,352.219,0,0.000170892,0.004509,
1,1,13,0.124472,0,0.36971,0,0.0686999,0,0.14373,1.15655,1.31917,0.0177394,-0.586808,0,2.61326,0.183681,0,0,0,0.0981223,0,0,0.0214245,0,0,0.303228,0,0,0,0,0,0,0,0,0,0,0,26.2522,352.219,0,0.000161225,0.004509,
1,1,14,0.107641,0,0.36971,0,0.075803,0,0.14373,0.628297,1.35944,0.0162611,-0.810284,0,1.8906,0.158845,0,0,0,0.0342131,0,0,0.061789,0,0,0.254847,0,0,0,0,0,0,0,0,0,0,0,26.6961,352.219,0,0.000166253,0.004509,
