16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 18:37:31"
Cond. Area:,,,7320
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp\cz09\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.36971,0,0.0320012,0,0.157419,0.379991,1.36223,0.0680012,0,0,2.36935,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.5499,353.349,0,0.000249403,0.004509,
1,1,2,0,0,0.36971,0,0.0320012,0,0.130041,0.361617,1.25338,0.0680012,0,0,2.21475,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.5291,353.349,0,0.000249051,0.004509,
1,1,3,0,0,0.36971,0,0.0331852,0,0.102664,0.352584,1.18819,0.0665229,0,0,2.11286,0,0,0,0,0.00475862,0,0,0.000859615,0,0,0.00561824,0,0,0,0,0,0,0,0,0,0,0,27.4456,353.349,0,0.000248744,0.004509,
1,1,4,0,0,0.36971,0,0.0320012,0,0.116353,0.342537,1.18481,0.0665229,0,0,2.11194,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.3782,353.349,0,0.000244034,0.004509,
1,1,5,0,0,0.36971,0,0.0331852,0,0.14373,0.325386,1.12527,0.0680012,0,0,2.06528,0,0,0,0,0.00453741,0,0,0.000859615,0,0,0.00539702,0,0,0,0,0,0,0,0,0,0,0,27.4225,353.349,0,0.000247897,0.004509,
1,1,6,0,0,0.36971,0,0.0817222,0,0.212173,0.321636,1.21935,0.0665229,0,0,2.27111,0,0,0,0,0.308652,0,0,0.00143269,0,0,0.310085,0,0,0,0,0,0,0,0,0,0,0,27.5413,353.349,0,0.000250017,0.004509,
1,1,7,0.214408,0,0.36971,0,0.0840897,0,0.28746,0.516534,1.36938,0.0650445,0,0,2.90663,0.316487,0,0,0,0.137456,0,0,0.00286538,0,0,0.456808,0,0,0,0,0,0,0,0,0,0,0,27.5678,353.349,0,0.000250652,0.004509,
1,1,8,0.566635,0,0.36971,0,0.152752,0,0.280616,1.15201,1.47115,0.0606096,-0.0333335,0,4.02015,0.836409,0,0,0,0.211093,0,0,0.0649113,0,0,1.11241,0,0,0,0,0,0,0,0,0,0,0,27.5515,353.349,0,0.000250171,0.004509,
1,1,9,0.285861,0,0.36971,0,0.148016,0,0.232706,1.03597,1.38334,0.0532183,-0.108267,0,3.40055,0.421959,0,0,0,0.139941,0,0,0.222457,0,0,0.784357,0,0,0,0,0,0,0,0,0,0,0,27.3533,353.349,0,0.000245568,0.004509,
1,1,10,0.171022,0,0.36971,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-0.183576,0,4.28705,0.252445,0,0,0,0.332432,0,0,0.0993683,0,0,0.684245,0,0,0,0,0,0,0,0,0,0,0,25.6938,353.349,0,0.000205897,0.004509,
1,1,11,0.0530695,0,0.36971,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-0.290771,0,3.99202,0.0783355,0,0,0,0.183738,0,0,0.508466,0,0,0.770539,0,0,0,0,0,0,0,0,0,0,0,25.0971,353.349,0,0.000187311,0.004509,
1,1,12,0.0154355,0,0.36971,0,0.0722515,0,0.171107,1.78914,1.33126,0.0236526,-0.539522,0,3.23303,0.0227842,0,0,0,0.139786,0,0,0.320482,0,0,0.483052,0,0,0,0,0,0,0,0,0,0,0,24.6872,353.349,0,0.000172385,0.004509,
1,1,13,0.000971791,0,0.36971,0,0.0686999,0,0.14373,1.15682,1.31917,0.0177394,-0.579689,0,2.49715,0.00143446,0,0,0,0.0910758,0,0,0.0214245,0,0,0.113935,0,0,0,0,0,0,0,0,0,0,0,24.6956,353.349,0,0.000162633,0.004509,
1,1,14,0,0,0.36971,0,0.075803,0,0.14373,0.629062,1.35944,0.0162611,-0.456527,0,2.13748,0,0,0,0,0.0324892,0,0,0.061789,0,0,0.0942782,0,0,0,0,0,0,0,0,0,0,0,24.687,353.349,0,0.000167705,0.004509,
