16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 18:49:05"
Cond. Area:,,,7320
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.0320012,0,0.157419,0.378942,1.36223,0.0680012,0,0,2.22042,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.0320012,0,0.130041,0.360026,1.25338,0.0680012,0,0,2.06528,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.0331852,0,0.102664,0.351259,1.18819,0.0665229,0,0,1.96365,0,0,0,0,0.00477729,0,0,0.000859615,0,0,0.00563691,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.0320012,0,0.116353,0.340823,1.18481,0.0665229,0,0,1.96234,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.0331852,0,0.14373,0.323369,1.12527,0.0680012,0,0,1.91538,0,0,0,0,0.00455608,0,0,0.000859615,0,0,0.0054157,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,0.0829059,0,0.212173,0.320074,1.21935,0.0665229,0,0,2.12285,0,0,0,0,0.359333,0,0,0.00143269,0,0,0.360766,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,0.18599,0,0.221825,0,0.0852737,0,0.28746,0.51586,1.36938,0.0650445,0,0,2.73084,0.274477,0,0,0,0.157294,0,0,0.00286538,0,0,0.434636,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,0.558121,0,0.221825,0,0.152752,0,0.280616,1.1521,1.47115,0.0606096,-0.00618687,0,3.89099,0.823653,0,0,0,0.234536,0,0,0.0649113,0,0,1.1231,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,0.235149,0,0.221825,0,0.148016,0,0.232706,1.03669,1.38334,0.0532183,-0.0435314,0,3.26741,0.347023,0,0,0,0.158155,0,0,0.222457,0,0,0.727635,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.104655,0,0.221825,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-0.236423,0,4.01995,0.154445,0,0,0,0.367613,0,0,0.0993683,0,0,0.621426,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0.00943482,0,0.221825,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-0.321638,0,3.76963,0.0139235,0,0,0,0.209214,0,0,0.508466,0,0,0.731603,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.00233111,0,0.221825,0,0.0722515,0,0.171107,1.78934,1.33126,0.0236526,-0.458022,0,3.15374,0.00344016,0,0,0,0.1546,0,0,0.320482,0,0,0.478522,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.00648945,0,0.221825,0,0.0686999,0,0.14373,1.15725,1.31917,0.0177394,-0.313329,0,2.62157,0.00957687,0,0,0,0.106738,0,0,0.0214245,0,0,0.137739,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.0250783,0,0.221825,0,0.075803,0,0.14373,0.628596,1.35944,0.0162611,-0.193135,0,2.2776,0.0370095,0,0,0,0.035383,0,0,0.061789,0,0,0.134182,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
