16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2021-06-07 23:02:23"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR_iaq\cz07\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.312869,0,0.221825,0,0,0,0.385211,0.735811,1.11052,0,0,0,2.76624,0.260363,0,0,0,0,0,0,0.0299892,0,0,0.290352,0,0,0,0,0,0,0,0,0,0,0,27.9864,355.195,0,0.000248718,0.004509,
1,1,2,0.383502,0,0.221825,0,0,0,0.318218,0.728825,1.0505,0,0,0,2.70287,0.319143,0,0,0,0,0,0,0.0283681,0,0,0.347511,0,0,0,0,0,0,0,0,0,0,0,27.9657,355.195,0,0.000248367,0.004509,
1,1,3,0.419657,0,0.221825,0,0,0,0.251224,0.725332,1.02048,0,0,0,2.63852,0.349231,0,0,0,0.000284881,0,0,0.0275576,0,0,0.377073,0,0,0,0,0,0,0,0,0,0,0,27.8823,355.195,0,0.00024806,0.004509,
1,1,4,0.470185,0,0.221825,0,0,0,0.28472,0.725332,1.02048,0,0,0,2.72254,0.391278,0,0,0,0,0,0,0.0275576,0,0,0.418836,0,0,0,0,0,0,0,0,0,0,0,27.815,355.195,0,0.000243364,0.004509,
1,1,5,0.524795,0,0.221825,0,0,0,0.351715,0.718346,0.960451,0,0,0,2.77713,0.436722,0,0,0,0.000284881,0,0,0.0259366,0,0,0.462943,0,0,0,0,0,0,0,0,0,0,0,27.8593,355.195,0,0.000247216,0.004509,
1,1,6,0.532834,0,0.221825,0,0,0,0.519197,0.732318,1.08051,0,0,0,3.08668,0.443413,0,0,0,0.613248,0,0,0.0291787,0,0,1.08584,0,0,0,0,0,0,0,0,0,0,0,27.9779,355.195,0,0.00024933,0.004509,
1,1,7,0.462737,0,0.221825,0,0,0,0.703426,0.753275,1.26059,0,0,0,3.40186,0.385079,0,0,0,0.233835,0,0,0.0340418,0,0,0.652956,0,0,0,0,0,0,0,0,0,0,0,28.0044,355.195,0,0.000249964,0.004509,
1,1,8,0.343104,0,0.221825,0,0,0,0.686679,0.760261,1.32062,0,0,0,3.33249,0.285525,0,0,0,0.371995,0,0,0.0356628,0,0,0.693183,0,0,0,0,0,0,0,0,0,0,0,27.9881,355.195,0,0.000249484,0.004509,
1,1,9,0.171984,0,0.221825,0,0,0,0.56944,0.735811,1.11052,0,0,0,2.80958,0.143121,0,0,0,0.248944,0,0,0.0299892,0,0,0.422054,0,0,0,0,0,0,0,0,0,0,0,27.7901,355.195,0,0.000244893,0.004509,
1,1,10,0.0280251,0,0.221825,0,0,0,0.4857,0.718346,0.960451,0,0,0,2.41435,0.0233219,0,0,0,0.606357,0,0,0.0259366,0,0,0.655616,0,0,0,0,0,0,0,0,0,0,0,26.1325,355.195,0,0.000205332,0.004509,
1,1,11,0,0,0.221825,0,0,0,0.452204,0.721839,0.990466,0,0,0,2.38633,0,0,0,0,0.338954,0,0,0.0267471,0,0,0.365701,0,0,0,0,0,0,0,0,0,0,0,25.5365,355.195,0,0.000186797,0.004509,
1,1,12,0,0,0.221825,0,0,0,0.418708,0.721839,0.990466,0,0,0,2.35284,0,0,0,0,0.222891,0,0,0.0267471,0,0,0.249638,0,0,0,0,0,0,0,0,0,0,0,25.127,355.195,0,0.000171912,0.004509,
1,1,13,0,0,0.221825,0,0,0,0.351715,0.718346,0.960451,0,0,0,2.25234,0,0,0,0,0.174447,0,0,0.0259366,0,0,0.200384,0,0,0,0,0,0,0,0,0,0,0,25.1354,355.195,0,0.000162186,0.004509,
1,1,14,0,0,0.221825,0,0,0,0.351715,0.721839,0.990466,0,0,0,2.28584,0,0,0,0,0.0458643,0,0,0.0267471,0,0,0.0726114,0,0,0,0,0,0,0,0,0,0,0,25.1269,355.195,0,0.000167244,0.004509,
1,1,15,0,0,0.221825,0,0,0,0.351715,0.728825,1.0505,0,0,0,2.35286,0,0,0,0,0.137678,0,0,0.0283681,0,0,0.166046,0,0,0,0,0,0,0,0,0,0,0,25.2658,355.195,0,0.000167707,0.004509,
