"",001
"Mon 07-Jun-21   7:08:35 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",8.08685,0,0,0,0.109188,0,0,0,0,1.26145,0,0,0,0.537112,4.64792,0.23202,1.29145,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",7.56027,0,0,0,0.109188,0,0,0,0,1.26145,0,0,0,0.443701,4.27654,0.23202,1.23121,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",7.21335,0,0,0,0.113228,0,0,0,0,1.26145,0,0,0,0.35029,4.05412,0.226976,1.20266,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",7.2107,0,0,0,0.109188,0,0,0,0,1.26145,0,0,0,0.396996,4.04258,0.226976,1.16888,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",7.05273,0,0,0,0.113228,0,0,0,0,1.26145,0,0,0,0.490407,3.83942,0.23202,1.11158,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.75577,0,0,0,0.278836,0,0,0,0,1.26145,0,0,0,0.723934,4.16041,0.226976,1.09646,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",9.64592,0,0,0,0.286914,0,0,0,0.451472,1.26145,0,0,0,0.980813,4.67234,0.221932,1.10076,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",11.9906,0,0,0,0.521189,0,0,0,1.75995,1.26145,0,0,0,0.957461,5.01958,0.2068,1.22275,0,0.276577,2.39027,0.0416388,0,0,0,-1.66711
"MtrElec",1,1,9,"",6.43759,0,0,0,0.505032,0,0,0,0.855444,1.26145,0,0,0,0.793992,4.71994,0.181581,1.47076,0,1.00958,0.98054,0.0740246,0,0,0,-5.41475
"MtrElec",1,1,10,"",5.99094,0,0,0,0.456562,0,0,0,0.501927,1.26145,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-9.18121
"MtrElec",1,1,11,"",0.023043,0,0,0,0.444444,0,0,0,0.133606,1.26145,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-14.5424
"MtrElec",1,1,12,"",-14.1223,0,0,0,0.246522,0,0,0,0.0414888,1.26145,0,0,0,0.583817,4.54226,0.0807026,1.42606,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-26.9832
"MtrElec",1,1,13,"",-18.4956,0,0,0,0.234404,0,0,0,0.00102807,1.26145,0,0,0,0.490407,4.501,0.060527,1.45106,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-28.992
