"",001
"Mon 07-Jun-21   7:08:35 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.57478,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28396,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",7.0434,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.21892,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.69277,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.18666,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.68845,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.15121,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.52666,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.09008,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.23154,0,0,0,0.282875,0,0,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.07277,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",9.9977,0,0,0,0.290954,0,0,0,1.33412,0.756867,0,0,0,0.980813,4.67234,0.221932,1.07044,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",11.1534,0,0,0,0.521189,0,0,0,2.21549,0.756867,0,0,0,0.957461,5.01958,0.2068,1.21877,0,0.276577,2.39027,0.0416388,0,0,0,-2.45127
"MtrElec",1,1,9,"",3.49065,0,0,0,0.505032,0,0,0,1.13173,0.756867,0,0,0,0.793992,4.71994,0.181581,1.46976,0,1.00958,0.98054,0.0740246,0,0,0,-8.13241
"MtrElec",1,1,10,"",5.02632,0,0,0,0.456562,0,0,0,0.652449,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-9.79178
"MtrElec",1,1,11,"",-7.25043,0,0,0,0.444444,0,0,0,0.148517,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-21.3262
"MtrElec",1,1,12,"",-5.25704,0,0,0,0.246522,0,0,0,0.0955474,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.4261,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-17.6674
"MtrElec",1,1,13,"",-15.5282,0,0,0,0.234404,0,0,0,0.0457869,0.756867,0,0,0,0.490407,4.501,0.060527,1.45016,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-25.5638
"MtrElec",1,1,14,"",-15.4708,0,0,0,0.25864,0,0,0,0.000499168,0.756867,0,0,0,0.490407,4.63842,0.055483,1.4668,0,0.217118,0.369024,0.0909886,0,0,0,-23.8151
"MtrElec",1,1,15,"",-5.36117,0,0,0,0.30711,0,0,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.44052,0,0.155865,0.673276,0.0956151,0,0,0,-14.2017
"MtrElec",1,1,16,"",4.86734,0,0,0,0.355581,0,0,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49759,0,0.284372,0.208307,0.104868,0,0,0,-4.12474
"MtrElec",1,1,17,"",9.65986,0,0,0,0.31115,0,0,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43864,0,0.0879827,0.881776,0.140338,0,0,0,-0.518674
"MtrElec",1,1,18,"",10.7879,0,0,0,0.214208,0,0,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53658,0,0.372436,0,0.214363,0,0,0,0
