"",001
"Mon 07-Jun-21  11:31:11 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.69866,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.40785,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",7.16322,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.33873,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.81688,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.31077,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.81436,0,0,0,0.109188,0,0,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.27713,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.67254,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.23596,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.38197,0,0,0,0.278836,0,0,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.22724,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.84559,0,0,0,0.286914,0,0,0,0,0.756867,0,0,0,0.980813,4.67234,0.221932,1.25648,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",8.13457,0,0,0,0.521189,0,0,0,0,0.756867,0,0,0,0.957461,5.01958,0.2068,1.3608,0,0.276577,2.39027,0.0416388,0,0,0,-3.39661
"MtrElec",1,1,9,"",2.83595,0,0,0,0.505032,0,0,0,0,0.756867,0,0,0,0.793992,4.71994,0.181581,1.53563,0,1.00958,0.98054,0.0740246,0,0,0,-7.72124
"MtrElec",1,1,10,"",-2.02143,0,0,0,0.456562,0,0,0,0,0.756867,0,0,0,0.677228,4.53847,0.151317,1.50608,0,0.414151,5.67248,0.0740246,0,0,0,-16.2686
"MtrElec",1,1,11,"",-7.33919,0,0,0,0.444444,0,0,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.48314,0,2.39589,3.48997,0.0709402,0,0,0,-21.3474
"MtrElec",1,1,12,"",-15.9301,0,0,0,0.246522,0,0,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.52019,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-28.339
"MtrElec",1,1,13,"",-19.1492,0,0,0,0.234404,0,0,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.55606,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-29.245
"MtrElec",1,1,14,"",-19.7046,0,0,0,0.25864,0,0,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.57658,0,0.217118,0.369024,0.0909886,0,0,0,-28.1582
"MtrElec",1,1,15,"",-4.66031,0,0,0,0.30711,0,0,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.55816,0,0.155865,0.673276,0.0956151,0,0,0,-13.6185
"MtrElec",1,1,16,"",2.78934,0,0,0,0.355581,0,0,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.5885,0,0.284372,0.208307,0.104868,0,0,0,-6.29366
"MtrElec",1,1,17,"",9.69398,0,0,0,0.31115,0,0,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.56795,0,0.0879827,0.881776,0.140338,0,0,0,-0.613876
"MtrElec",1,1,18,"",10.9071,0,0,0,0.214208,0,0,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.65577,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",12.0671,0,0,0,0.181895,0,0,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.7678,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.6238,0,0,0,0.274797,0,0,0,0,0.756867,0,0,0,2.73227,7.23308,0.302635,1.73751,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",14.2071,0,0,0,0.266718,0,0,0,0,0.756867,0,0,0,2.63885,7.49676,0.418645,1.69769,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",13.3038,0,0,0,0.35962,0,0,0,0,0.756867,0,0,0,2.24186,7.42686,0.494303,1.6301,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",10.9541,0,0,0,0.129385,0,0,0,0,0.756867,0,0,0,1.47122,6.63975,0.428733,1.5143,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",9.25957,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.51108,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",7.65385,0,0,0,0.117267,0,0,0,0,0.756867,0,0,0,0.537112,4.63532,0.23202,1.36754,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.81542,0,0,0,0.125345,0,0,0,0,0.756867,0,0,0,0.443701,4.22793,0.23202,1.32575,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.6046,0,0,0,0.133424,0,0,0,0,0.756867,0,0,0,0.35029,4.06638,0.23202,1.28154,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.80803,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.396996,4.04224,0.23202,1.26051,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",6.6792,0,0,0,0.113228,0,0,0,0,0.756867,0,0,0,0.490407,3.85168,0.23202,1.22883,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",7.26824,0,0,0,0.129385,0,0,0,0,0.756867,0,0,0,0.723934,4.17266,0.186625,1.27718,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",8.27972,0,0,0,0.157659,0,0,0,0,0.756867,0,0,0,0.980813,4.75662,0.176537,1.42193,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",8.9567,0,0,0,0.367699,0,0,0,0,0.756867,0,0,0,0.957461,5.11646,0.171493,1.54817,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",8.98002,0,0,0,0.436366,0,0,0,0,0.756867,0,0,0,0.793992,4.74336,0.166449,1.50669,0,0,0.628229,0.0400967,0,0,0,-0.0920331
"MtrElec",1,2,10,"",7.21872,0,0,0,0.262679,0,0,0,0,0.756867,0,0,0,0.677228,4.45277,0.14123,1.40315,0,0.265345,0.253982,0.0339279,0,0,0,-1.02845
"MtrElec",1,2,11,"",2.55333,0,0,0,0.189973,0,0,0,0,0.756867,0,0,0,0.630523,4.50554,0.110966,1.3638,0,0.107274,0,0.0323858,0,0,0,-5.144
"MtrElec",1,2,12,"",4.56168,0,0,0,0.262679,0,0,0,0,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.3763,0,0,0.882056,0.0447232,0,0,0,-3.92596
