case,prototype,baseline,:prototype,:software,:proposed_only
lrlc-baseline,low-rise-loaded-corridor-cathedral,t24-2019,low-rise-loaded-corridor-cathedral,cbecc-res,No
lrlc-wall-U053,low-rise-loaded-corridor-cathedral,t24-2019-WallU053,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-wall-U054,low-rise-loaded-corridor-cathedral,t24-2019-WallU054,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-wall-U059,low-rise-loaded-corridor-cathedral,t24-2019-WallU059,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-wall-crossover,low-rise-loaded-corridor-cathedral,t24-2019-WallCrossover,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-U32,low-rise-loaded-corridor-cathedral,t24-2019-WindowU32,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-U34,low-rise-loaded-corridor-cathedral,t24-2019-WindowU34,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-U36,low-rise-loaded-corridor-cathedral,t24-2019-WindowU36,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-S25,low-rise-loaded-corridor-cathedral,t24-2019-WindowS25,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-S27,low-rise-loaded-corridor-cathedral,t24-2019-WindowS27,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-S37,low-rise-loaded-corridor-cathedral,t24-2019-WindowS37,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-C1,low-rise-loaded-corridor-cathedral,t24-2019-WindowC1,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-C2,low-rise-loaded-corridor-cathedral,t24-2019-WindowC2,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-C1b,low-rise-loaded-corridor-cathedral,t24-2019-WindowC1b,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-Ucross,low-rise-loaded-corridor-cathedral,t24-2019-WindowUcross,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-Scross,low-rise-loaded-corridor-cathedral,t24-2019-WindowScross,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-window-Ccross,low-rise-loaded-corridor-cathedral,t24-2019-WindowCcross,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-roof-Cav3038,low-rise-loaded-corridor-cathedral,t24-2019-RoofCav3038,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-roof-Cav2432,low-rise-loaded-corridor-cathedral,t24-2019-RoofCav2432,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-roof-Combo,low-rise-loaded-corridor-cathedral,t24-2019-RoofCombo,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-roof-Cross,low-rise-loaded-corridor-cathedral,t24-2019-RoofCross,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
lrlc-baseline-crossover,low-rise-loaded-corridor-cathedral,t24-2019-baseline-cross,low-rise-loaded-corridor-cathedral,cbecc-res,Yes
