"",002
"Thu 02-Apr-20   4:02:37 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5477,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.90962,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.1322,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.64047,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.5424,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.52727,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.5531,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.37796,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.804,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.13822,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.0751,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.09017,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.1426,0,0,0,0,0,0.0763637,0,0.013268,6.31333,0,0,0,5.09231,22.1548,0.837808,5.15734,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",71.1625,0,14.1445,0,0,0,0.0763637,0,6.9716,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.67539,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",65.2683,0,11.8633,0,0,0,0.0763637,0,4.6112,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.72299,0,2.23681,3.41576,0.338707,0,0,0,-0.0120518
"MtrElec",1,1,10,"",67.5365,0,6.79587,0,0,0,0.0763637,0,3.05868,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.111155
"MtrElec",1,1,11,"",65.3455,0,5.44979,0,0,0,0.0763637,0,2.2053,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.391475
"MtrElec",1,1,12,"",56.8726,0,4.6518,0,0,0,0.0763637,0,2.22363,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.341078
"MtrElec",1,1,13,"",53.4413,0,3.43073,0,0,0,0.0763637,0,1.92456,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.11285
"MtrElec",1,1,14,"",46.1431,0,2.01505,0,0,0,0.0763637,0,1.46327,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.100989
"MtrElec",1,1,15,"",48.0969,0,2.29962,0,0,0,0.0763637,0,1.69403,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.101515
"MtrElec",1,1,16,"",52.6369,0,2.92505,0,0,0,0.0763637,0,2.12125,6.31333,0,1.22837,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.067396
"MtrElec",1,1,17,"",61.1615,0,3.10819,0,0,0,0.0763637,0,1.98514,6.31333,0,1.22837,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.0208755
"MtrElec",1,1,18,"",67.0242,0,3.16539,0,0,0,0.0763637,0,1.63265,6.31333,0,1.22837,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",69.7588,0,3.23017,0,0,0,0.0763637,0,1.5123,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.67314,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",77.2068,0,1.75881,0,0,0,0.0763637,0,0.898692,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.48808,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",70.6252,0,1.65665,0,0,0,0.0763637,0,0.940466,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.24084,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",70.5198,0,1.73327,0,0,0,0.0763637,0,1.06428,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.94431,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",61.8307,0,3.1907,0,0,0,0.0763637,0,1.64461,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",48.388,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",40.459,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.62632,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",40.5478,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.51531,3.39527,0.372557,0,0.0282256,0,0,0,0
