16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-30 16:24:28"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte-lrlc\runs\lrlc-baseline\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.360015,0,1.85033,0,0.0223809,0,0.906753,1.74596,6.45223,0.256709,0,0,11.5944,0,0,0,0,0.237005,0,0,0.006564,0,0,0.243569,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,0.360015,0,1.85033,0,0.0223809,0,0.783447,1.66536,5.94853,0.256709,0,0,10.8868,0,0,0,0,0.111858,0,0,0.0052512,0,0,0.117109,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,0.360015,0,1.85033,0,0.0223809,0,0.660138,1.63075,5.64672,0.251128,0,0,10.4215,0,0,0,0,0.0837884,0,0,0.0039384,0,0,0.0877268,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,0.360015,0,1.85033,0,0.0223809,0,0.721791,1.5877,5.63198,0.251128,0,0,10.4253,0,0,0,0,0.0803605,0,0,0.0039384,0,0,0.0842989,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,0.360015,0,1.85033,0,0.0223809,0,0.8451,1.51885,5.35381,0.256709,0,0,10.2072,0,0,0,0,0.0872095,0,0,0.0039384,0,0,0.0911479,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,0,0,1.85033,0,0.0223809,0,1.15337,1.51002,5.79361,0.251128,0,0,10.5808,0,0,0,0,0.89683,0,0,0.006564,0,0,0.903394,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,0,0,1.85033,0,0.0223809,0,1.49247,1.96031,6.4932,0.245547,0,0,12.0642,0,0,0,0,0.466937,0,0,0.013128,0,0,0.480065,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,6.17072,0,1.85033,0,0.0223809,0,1.64524,3.45791,7.11301,0.228805,0,0,20.4884,1.15547,0,0,0,0.920412,0,0,0.160029,0,0,2.23591,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,5.01667,0,1.85033,0,0.0223809,0,1.43755,3.72666,6.70668,0.200902,-0.358517,0,18.6027,0.637715,0,0,0,1.36697,0,0,0.525414,0,0,2.5301,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,3.16892,0,1.85033,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-3.30665,0,16.4404,0.51543,0,0,0,1.29593,0,0,0.361256,0,0,2.17262,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,2.57261,0,1.85033,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-11.6456,0,7.58983,0.343437,0,0,0,0.880308,0,0,1.09974,0,0,2.32348,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,2.35621,0,1.85033,0,0.0223809,0,1.20871,4.7101,6.51272,0.0892899,-10.1464,0,6.60337,0.440059,0,0,0,1.02683,0,0,0.681648,0,0,2.14854,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,1.5418,0,1.85033,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-3.35703,0,12.3111,0.415921,0,0,0,0.6941,0,0,0.0894516,0,0,1.19947,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,0.981383,0,1.85033,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-3.00422,0,10.5111,0.338788,0,0,0,0.403049,0,0,0.167222,0,0,0.909059,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
