"",002
"Thu 02-Apr-20   3:30:26 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.552,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.91391,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.1271,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.6354,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.5181,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.50304,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.5228,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.34773,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7538,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.08798,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.2306,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.01727,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.7718,0,0.538717,0.189334,0,0,0.0763637,0,1.80632,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,5.03708,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",100.788,0,20.2804,17.8712,0,0,0.0763637,0,12.8099,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.56942,0,0.602657,5.29585,0.190523,0,0,0,-0.113734
"MtrElec",1,1,9,"",81.5947,0,15.4124,10.2223,0,0,0.0763637,0,7.54807,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.6983,0,2.23681,3.41576,0.338707,0,0,0,-0.369406
"MtrElec",1,1,10,"",71.5223,0,8.04426,2.04011,0,0,0.0763637,0,4.27122,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.626362
"MtrElec",1,1,11,"",64.9142,0,5.50047,0,0,0,0.0763637,0,2.324,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.992111
"MtrElec",1,1,12,"",52.0175,0,3.70949,0,0,0,0.0763637,0,1.03896,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.84085
"MtrElec",1,1,13,"",48.7005,0,2.05334,0,0,0,0.0763637,0,0.425549,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60287,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.9779
"MtrElec",1,1,14,"",41.9503,0,0.60691,0,0,0,0.0763637,0,0.124779,6.31333,0,0,0,4.41274,23.4856,0.209452,6.69016,0,0.434236,0.738049,0.416328,0,0,0,-1.55767
"MtrElec",1,1,15,"",43.8197,0,0.395363,0,0,0,0.0763637,0,0.0810771,6.31333,0,0,0,4.41274,24.5389,0.209452,6.58785,0,0.31173,1.34655,0.437497,0,0,0,-0.891167
"MtrElec",1,1,16,"",46.5949,0,0.404132,0,0,0,0.0763637,0,0.0829943,6.31333,0,0,0,4.93865,25.7089,0.228493,6.84506,0,0.568744,1.30337,0.479835,0,0,0,-0.354956
"MtrElec",1,1,17,"",55.4941,0,0.506765,0,0,0,0.0763637,0,0.104426,6.31333,0,0,0,5.46456,28.6239,0.361781,6.58982,0,0.550504,6.29167,0.642132,0,0,0,-0.0310748
"MtrElec",1,1,18,"",61.9669,0,0.75884,0,0,0,0.0763637,0,0.156871,6.31333,0,0,0,6.74902,31.933,0.723561,7.03816,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.0631,0,1.02049,0,0,0,0.0763637,0,0.211693,6.31333,0,0,0,10.8458,34.0729,0.913972,7.71604,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",73.9165,0,0.447398,0,0,0,0.0763637,0,0.093181,6.31333,0,0,0,14.2339,35.2642,1.14247,7.54315,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.6676,0,0.662071,0,0,0,0.0763637,0,0.138381,6.31333,0,0,0,13.8131,36.4881,1.58041,7.30822,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",67.5835,0,0.84885,0,0,0,0.0763637,0,0.177756,6.31333,0,0,0,12.025,36.1513,1.86603,7.00733,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",60.4971,0,2.59906,0,0,0,0.0763637,0,0.825852,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.32402,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",48.4276,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.52474,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",40.5181,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.68545,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.3775,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.57332,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",35.7909,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.3206,0.87589,5.36833,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",34.2498,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2101,0.87589,5.28309,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",33.5862,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.3211,0.87589,5.08779,0,0,0,0.0282256,0,0,0,0
