"",002
"Mon 30-Mar-20   5:53:12 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5322,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.89414,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.1179,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.62622,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.524,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.50887,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.5386,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.3635,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7858,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.12001,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.286,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.07268,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",42.6318,0,0,0,0,0,0.0763637,0,0.300025,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,5.13141,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",73.6056,0,15.1746,0,0,0,0.0763637,0,8.41322,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.6468,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",66.2763,0,12.06,0,0,0,0.0763637,0,5.436,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.7209,0,2.23681,3.41576,0.338707,0,0,0,-0.0235272
"MtrElec",1,1,10,"",68.4,0,6.81373,0,0,0,0.0763637,0,3.82836,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.0351776
"MtrElec",1,1,11,"",66.5654,0,5.58048,0,0,0,0.0763637,0,3.01671,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.113679
"MtrElec",1,1,12,"",58.1179,0,5.09639,0,0,0,0.0763637,0,2.86668,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.183494
"MtrElec",1,1,13,"",55.7901,0,4.17486,0,0,0,0.0763637,0,2.47967,6.31333,0,1.22837,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.291676
"MtrElec",1,1,14,"",47.0794,0,2.82626,0,0,0,0.0763637,0,2.00604,6.31333,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.518669
"MtrElec",1,1,15,"",48.3758,0,2.59807,0,0,0,0.0763637,0,1.88919,6.31333,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.316251
"MtrElec",1,1,16,"",50.2763,0,2.39425,0,0,0,0.0763637,0,1.65312,6.31333,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.20072
"MtrElec",1,1,17,"",58.2741,0,2.1997,0,0,0,0.0763637,0,1.24331,6.31333,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,-0.0296318
"MtrElec",1,1,18,"",64.2431,0,2.26131,0,0,0,0.0763637,0,0.983983,6.31333,0,0,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",68.7362,0,2.63071,0,0,0,0.0763637,0,1.08654,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.67571,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",76.9041,0,1.61127,0,0,0,0.0763637,0,0.73741,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.49423,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",70.6107,0,1.70304,0,0,0,0.0763637,0,0.872327,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.24809,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",70.8518,0,1.95525,0,0,0,0.0763637,0,1.16927,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.94932,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",62.6239,0,3.65433,0,0,0,0.0763637,0,1.97076,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.25064,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",48.3881,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.48523,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",40.4499,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.61719,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",40.5292,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.4967,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",36.9252,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.3206,0.87589,5.27428,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",35.3707,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2101,0.87589,5.17569,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",34.716,0,0.0226959,0.00934483,0,0,0.0763637,0,0.00494844,6.31333,0,1.22837,0,2.88348,18.3211,0.87589,4.95224,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",218.818,0,72.3411,91.6016,0,0,0.0763637,0,17.0473,6.31333,0,1.22837,0,4.44966,19.9323,0.70452,5.02455,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",109.472,0,36.6605,18.4753,0,0,0.0763637,0,10.3886,6.31333,0,1.22837,0,6.3584,23.3625,0.666438,5.8077,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",132.538,0,41.6003,23.4096,0,0,0.0763637,0,18.1531,6.31333,0,1.22837,0,8.42304,25.9428,0.647397,6.56742,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",95.7929,0,21.5409,9.44607,0,0,0.0763637,0,9.32087,6.31333,0,1.22837,0,11.5157,26.0117,0.628356,6.46766,1.3606,0,1.75036,0.183466,0,0,0,-0.0509936
"MtrElec",1,2,10,"",85.2724,0,15.5815,7.16802,0,0,0.0763637,0,7.01721,6.31333,0,1.22837,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-0.193643
"MtrElec",1,2,11,"",78.6832,0,12.7558,6.0715,0,0,0.0763637,0,5.82895,6.31333,0,1.22837,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-0.182384
"MtrElec",1,2,12,"",69.2389,0,10.3898,0,0,0,0.0763637,0,4.92311,6.31333,0,1.22837,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-0.111985
"MtrElec",1,2,13,"",65.7653,0,9.02339,0,0,0,0.0763637,0,3.93186,6.31333,0,1.22837,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-0.73159
"MtrElec",1,2,14,"",70.2217,0,7.07963,0,0,0,0.0763637,0,3.01551,6.31333,0,1.22837,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-0.508237
"MtrElec",1,2,15,"",64.6867,0,6.43998,0,0,0,0.0763637,0,2.64531,6.31333,0,1.22837,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-0.337118
"MtrElec",1,2,16,"",62.0443,0,6.23984,0,0,0,0.0763637,0,2.46105,6.31333,0,1.22837,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-0.617959
"MtrElec",1,2,17,"",67.1264,0,6.4053,0,0,0,0.0763637,0,2.65528,6.31333,0,1.22837,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,-0.0691214
"MtrElec",1,2,18,"",72.0374,0,8.76857,0,0,0,0.0763637,0,3.02992,6.31333,0,1.22837,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
