"",002
"Thu 09-Apr-20  10:13:31 am"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.5581,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.92004,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.1335,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.64177,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.5251,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.51003,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.5303,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.35519,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.7628,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.09703,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.2405,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.02724,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.4587,0,0.513007,0.180312,0,0,0.0763637,0,1.51552,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,5.0495,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",100.475,0,20.2475,17.8485,0,0,0.0763637,0,12.5456,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.57623,0,0.602657,5.29585,0.190523,0,0,0,-0.113734
"MtrElec",1,1,9,"",81.375,0,15.3941,10.2136,0,0,0.0763637,0,7.35487,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.69895,0,2.23681,3.41576,0.338707,0,0,0,-0.369406
"MtrElec",1,1,10,"",71.3692,0,8.03262,2.03719,0,0,0.0763637,0,4.13263,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.626362
"MtrElec",1,1,11,"",64.7997,0,5.49173,0,0,0,0.0763637,0,2.21825,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.992111
"MtrElec",1,1,12,"",51.9603,0,3.70273,0,0,0,0.0763637,0,0.988531,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.84085
"MtrElec",1,1,13,"",48.6943,0,2.04796,0,0,0,0.0763637,0,0.424424,6.31333,0,0,0,4.41274,22.8472,0.228493,6.60325,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.9779
"MtrElec",1,1,14,"",41.9476,0,0.602796,0,0,0,0.0763637,0,0.123931,6.31333,0,0,0,4.41274,23.4856,0.209452,6.69251,0,0.434236,0.738049,0.416328,0,0,0,-1.55767
"MtrElec",1,1,15,"",43.8223,0,0.394738,0,0,0,0.0763637,0,0.0809486,6.31333,0,0,0,4.41274,24.5389,0.209452,6.59117,0,0.31173,1.34655,0.437497,0,0,0,-0.891167
"MtrElec",1,1,16,"",46.5969,0,0.403454,0,0,0,0.0763637,0,0.0828548,6.31333,0,0,0,4.93865,25.7089,0.228493,6.84787,0,0.568744,1.30337,0.479835,0,0,0,-0.354956
"MtrElec",1,1,17,"",55.4904,0,0.500153,0,0,0,0.0763637,0,0.103061,6.31333,0,0,0,5.46456,28.6239,0.361781,6.59404,0,0.550504,6.29167,0.642132,0,0,0,-0.0310748
"MtrElec",1,1,18,"",61.963,0,0.752272,0,0,0,0.0763637,0,0.15551,6.31333,0,0,0,6.74902,31.933,0.723561,7.04224,0,2.65741,4.57947,0.980839,0,0,0,0
