case,prototype,baseline,:prototype,:software,:window_u,:window_shgc,:window_vt,:window_type,:autosizing,:hvac_type,:is_central_dhw,:fan_efficacy,:supply_temp_control,:proposed_only
mumr-winopar-30,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.3,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-32,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.32,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-34,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.34,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-36,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.36,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-38,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.38,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-40,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.4,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-42,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.42,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winopar-44,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.44,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winoS24,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.46,0.24,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winoS26,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.46,0.26,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
