"",002
"Fri 20-Mar-20  11:19:54 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.4926,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.85458,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.0608,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.56908,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.4522,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.43706,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.4567,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.28161,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.6796,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.01384,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.1652,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,4.95195,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.145,0,0,0,0,0,0.0763637,0,1.954,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,4.99056,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",82.3283,0,18.5104,0.99977,0,0,0.0763637,0,12.8783,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.56885,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",41.6384,0,14.6559,1.15714,0,0,0.0763637,0,7.386,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.70837,0,2.23681,3.41576,0.338707,0,0,0,-30.352
"MtrElec",1,1,10,"",-3.70875,0,8.30671,0,0.201115,0,0.0763637,0,4.38955,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-74.3992
"MtrElec",1,1,11,"",21.6142,0,6.65796,0,0.201115,0,0.0763637,0,3.35158,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-46.6783
"MtrElec",1,1,12,"",41.703,0,6.10069,0,0,0,0.0763637,0,3.6267,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-18.3627
"MtrElec",1,1,13,"",-52.741,0,5.33992,0,0.201115,0,0.0763637,0,3.0959,6.31333,0,1.22837,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-110.805
"MtrElec",1,1,14,"",-35.8073,0,4.08469,0,0.201115,0,0.0763637,0,2.6231,6.31333,0,1.22837,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-86.7103
"MtrElec",1,1,15,"",-20.8883,0,3.68965,0,0.201115,0,0.0763637,0,2.2069,6.31333,0,1.22837,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-72.4192
"MtrElec",1,1,16,"",35.8765,0,3.85025,0,0.201115,0,0.0763637,0,2.45465,6.31333,0,1.22837,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-18.2876
"MtrElec",1,1,17,"",64.801,0,4.31316,1.71168,0,0,0.0763637,0,2.68709,6.31333,0,1.22837,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,0
"MtrElec",1,1,18,"",71.7018,0,4.75515,2.1315,0,0,0.0763637,0,2.58904,6.31333,0,1.22837,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",74.2425,0,4.71887,2.15384,0,0,0.0763637,0,2.35345,6.31333,0,1.22837,0,10.8458,34.0729,0.913972,7.67314,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",80.7572,0,3.06576,1.38422,0,0,0.0763637,0,1.75798,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.48804,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",75.3622,0,3.55158,1.50299,0,0,0.0763637,0,2.27958,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.24075,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",75.7989,0,3.90512,1.60388,0,0,0.0763637,0,2.56762,6.31333,0,1.22837,0,12.025,36.1513,1.86603,6.94429,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",68.3297,0,5.69315,2.34313,0,0,0.0763637,0,3.29799,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.24726,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",49.6883,0,0.798069,0.327422,0,0,0.0763637,0,0.174749,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.48515,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",41.9169,0,0.911532,0.374017,0,0,0.0763637,0,0.199617,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.5991,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",42.3244,0,1.13177,0.443959,0,0,0.0763637,0,0.248241,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.46791,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",39.0728,0,1.38049,0.501214,0,0,0.0763637,0,0.303483,6.31333,0,1.22837,0,2.25239,19.3206,0.87589,5.23661,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",37.8612,0,1.59985,0.588284,0,0,0.0763637,0,0.351339,6.31333,0,1.22837,0,2.46275,19.2101,0.87589,5.12671,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",37.3286,0,1.59727,0.634597,0,0,0.0763637,0,0.480628,6.31333,0,1.22837,0,2.88348,18.3211,0.87589,4.88934,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",246.521,0,87.2843,100.4,0,0,0.0763637,0,21.0784,6.31333,0,1.22837,0,4.44966,19.9323,0.70452,4.95471,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",120.205,0,42.2473,20.6228,0,0,0.0763637,0,13.433,6.31333,0,1.22837,0,6.3584,23.3625,0.666438,5.76282,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",143.563,0,47.3844,26.2524,0,0,0.0763637,0,20.5534,6.31333,0,1.22837,0,8.42304,25.9428,0.647397,6.56549,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",80.1819,0,26.6236,10.5216,0,0,0.0763637,0,11.2332,6.31333,0,1.22837,0,11.5157,26.0117,0.628356,6.46478,1.3606,0,1.75036,0.183466,0,0,0,-23.7296
"MtrElec",1,2,10,"",48.5068,0,21.4874,8.21396,0.201115,0,0.0763637,0,9.05217,6.31333,0,1.22837,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-46.1472
"MtrElec",1,2,11,"",83.6761,0,19.1286,7.30438,0,0,0.0763637,0,8.30423,6.31333,0,1.22837,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-5.27051
"MtrElec",1,2,12,"",49.2447,0,14.7573,6.07197,0,0,0.0763637,0,6.51235,6.31333,0,1.22837,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-32.135
"MtrElec",1,2,13,"",-87.5182,0,11.8917,5.42991,0.201115,0,0.0763637,0,4.45367,6.31333,0,1.22837,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-163.036
"MtrElec",1,2,14,"",12.1366,0,11.196,4.9861,0.201115,0,0.0763637,0,4.34971,6.31333,0,1.22837,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-69.2311
"MtrElec",1,2,15,"",29.4521,0,12.6975,5.10731,0.201115,0,0.0763637,0,4.88273,6.31333,0,1.22837,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-49.3751
"MtrElec",1,2,16,"",10.3926,0,12.8624,4.99941,0.201115,0,0.0763637,0,4.49616,6.31333,0,1.22837,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-66.1279
"MtrElec",1,2,17,"",62.2031,0,12.5165,4.91871,0.201115,0,0.0763637,0,4.30256,6.31333,0,1.22837,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,-17.8708
