16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-19 18:28:59"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-QII-0\cz02\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,1.02623,0,0.0223809,0,0.906753,1.72776,6.45223,0.256709,0,0,10.3921,0,0,0,0,0.215154,0,0,0.006564,0,0,0.221718,0,0,0,0,0,0,0,0,0,0,0,27.9224,352.219,0,0.000247243,0.004509,
1,1,2,0,0,1.02623,0,0.0223809,0,0.783447,1.64538,5.94853,0.256709,0,0,9.68268,0,0,0,0,0.10693,0,0,0.0052512,0,0,0.112181,0,0,0,0,0,0,0,0,0,0,0,27.9066,352.219,0,0.000246894,0.004509,
1,1,3,0,0,1.02623,0,0.0223809,0,0.660138,1.61127,5.64672,0.251128,0,0,9.21786,0,0,0,0,0.0832936,0,0,0.0039384,0,0,0.087232,0,0,0,0,0,0,0,0,0,0,0,27.85,352.219,0,0.000246589,0.004509,
1,1,4,0.00177389,0,1.02623,0,0.0223809,0,0.721791,1.56892,5.63198,0.251128,0,0,9.2242,0.0026177,0,0,0,0.0804172,0,0,0.0039384,0,0,0.0869733,0,0,0,0,0,0,0,0,0,0,0,27.7571,352.219,0,0.000241921,0.004509,
1,1,5,0.00380917,0,1.02623,0,0.0223809,0,0.8451,1.4958,5.35381,0.256709,0,0,9.00384,0.00562113,0,0,0,0.0863089,0,0,0.0039384,0,0,0.0958684,0,0,0,0,0,0,0,0,0,0,0,27.8774,352.219,0,0.00024575,0.004509,
1,1,6,0.00578329,0,1.02623,0,0.0223809,0,1.15337,1.48364,5.79361,0.251128,0,0,9.73614,0.00853431,0,0,0,0.782581,0,0,0.006564,0,0,0.797679,0,0,0,0,0,0,0,0,0,0,0,27.9184,352.219,0,0.000247852,0.004509,
1,1,7,0.311328,0,1.02623,0,0.0223809,0,1.49247,1.92526,6.4932,0.245547,0,0,11.5164,0.459422,0,0,0,0.40727,0,0,0.013128,0,0,0.87982,0,0,0,0,0,0,0,0,0,0,0,27.9403,352.219,0,0.000248481,0.004509,
1,1,8,1.95803,0,1.02623,0,0.0223809,0,1.64524,3.43,7.11301,0.228805,0,0,15.4237,2.88943,0,0,0,0.788596,0,0,0.160029,0,0,3.83805,0,0,0,0,0,0,0,0,0,0,0,27.93,352.219,0,0.000248005,0.004509,
1,1,9,0.861917,0,1.02623,0,0.0223809,0,1.43755,3.72462,6.70668,0.200902,-0.0194731,0,13.9608,1.27191,0,0,0,1.16872,0,0,0.525414,0,0,2.96604,0,0,0,0,0,0,0,0,0,0,0,27.9148,352.219,0,0.000243441,0.004509,
1,1,10,0.515161,0,1.02623,0,0.0223809,0,1.28342,6.79894,6.45569,0.167419,-0.0826568,0,16.1866,0.760214,0,0,0,1.10232,0,0,0.361256,0,0,2.22379,0,0,0,0,0,0,0,0,0,0,0,27.4262,352.219,0,0.000204114,0.004509,
1,1,11,0.288975,0,1.02623,0,0.0223809,0,1.27036,6.77494,6.61084,0.133935,-0.0972682,0,16.0304,0.426435,0,0,0,0.75215,0,0,1.09974,0,0,2.27832,0,0,0,0,0,0,0,0,0,0,0,27.1744,352.219,0,0.000185689,0.004509,
1,1,12,0.324496,0,1.02623,0,0.0223809,0,1.20871,4.70988,6.51272,0.0892899,-0.115563,0,13.7781,0.478852,0,0,0,0.883464,0,0,0.681648,0,0,2.04396,0,0,0,0,0,0,0,0,0,0,0,26.767,352.219,0,0.000170892,0.004509,
1,1,13,0.377934,0,1.02623,0,0.0223809,0,1.2933,4.19718,6.69613,0.0669675,-0.0901732,0,13.5899,0.55771,0,0,0,0.599035,0,0,0.0894516,0,0,1.2462,0,0,0,0,0,0,0,0,0,0,0,26.2111,352.219,0,0.000161225,0.004509,
1,1,14,0.302559,0,1.02623,0,0.0223809,0,1.2933,2.42329,6.88324,0.0613869,-0.260027,0,11.7524,0.44648,0,0,0,0.353365,0,0,0.167222,0,0,0.967067,0,0,0,0,0,0,0,0,0,0,0,26.655,352.219,0,0.000166253,0.004509,
