16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-19 19:03:56"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-QII-0\cz07\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.0888849,0,1.02623,0,0.0223809,0,0.906753,1.86943,6.45223,0.256709,0,0,10.6226,0,0,0,0,0.197727,0,0,0.006564,0,0,0.204291,0,0,0,0,0,0,0,0,0,0,0,27.9864,355.195,0,0.000248718,0.004509,
1,1,2,0.472158,0,1.02623,0,0.0223809,0,0.783447,1.77721,5.94853,0.256709,0,0,10.2867,0,0,0,0,0.104208,0,0,0.0052512,0,0,0.109459,0,0,0,0,0,0,0,0,0,0,0,27.9657,355.195,0,0.000248367,0.004509,
1,1,3,0.499716,0,1.02623,0,0.0223809,0,0.660138,1.73738,5.64672,0.251128,0,0,9.84369,0,0,0,0,0.0830818,0,0,0.0039384,0,0,0.0870202,0,0,0,0,0,0,0,0,0,0,0,27.8823,355.195,0,0.00024806,0.004509,
1,1,4,0.540952,0,1.02623,0,0.0223809,0,0.721791,1.69018,5.63198,0.251128,0,0,9.88463,0,0,0,0,0.0805414,0,0,0.0039384,0,0,0.0844798,0,0,0,0,0,0,0,0,0,0,0,27.815,355.195,0,0.000243364,0.004509,
1,1,5,0.642351,0,1.02623,0,0.0223809,0,0.8451,1.62876,5.35381,0.256709,0,0,9.77534,0,0,0,0,0.0858385,0,0,0.0039384,0,0,0.0897769,0,0,0,0,0,0,0,0,0,0,0,27.8593,355.195,0,0.000247216,0.004509,
1,1,6,0.683265,0,1.02623,0,0.0223809,0,1.15337,1.61691,5.79361,0.251128,0,0,10.5469,0,0,0,0,0.685758,0,0,0.006564,0,0,0.692322,0,0,0,0,0,0,0,0,0,0,0,27.9779,355.195,0,0.00024933,0.004509,
1,1,7,0.757379,0,1.02623,0,0.0223809,0,1.49247,2.0765,6.4932,0.245547,0,0,12.1137,0,0,0,0,0.371007,0,0,0.013128,0,0,0.384135,0,0,0,0,0,0,0,0,0,0,0,28.0044,355.195,0,0.000249964,0.004509,
1,1,8,0.655666,0,1.02623,0,0.0223809,0,1.64524,3.55921,7.11301,0.228805,-11.1602,0,3.09037,0,0,0,0,0.713339,0,0,0.160029,0,0,0.873368,0,0,0,0,0,0,0,0,0,0,0,27.9881,355.195,0,0.000249484,0.004509,
1,1,9,0.524863,0,1.02623,0,0.0223809,0,1.43755,3.77684,6.70668,0.200902,-26.784,0,-13.0886,0,0,0,0,1.04154,0,0,0.525414,0,0,1.56695,0,0,0,0,0,0,0,0,0,0,0,27.7901,355.195,0,0.000244893,0.004509,
1,1,10,0.451758,0,1.02623,0,0.0223809,0,1.28342,6.86884,6.45569,0.167419,-30.5463,0,-14.2706,0,0,0,0,0.994073,0,0,0.361256,0,0,1.35533,0,0,0,0,0,0,0,0,0,0,0,26.1325,355.195,0,0.000205332,0.004509,
1,1,11,0.0440302,0,1.02623,0,0.0223809,0,1.27036,6.84453,6.61084,0.133935,-26.3543,0,-10.402,0,0,0,0,0.681948,0,0,1.09974,0,0,1.78169,0,0,0,0,0,0,0,0,0,0,0,25.5365,355.195,0,0.000186797,0.004509,
1,1,12,0.0207704,0,1.02623,0,0.0223809,0,1.20871,4.78966,6.51272,0.0892899,-38.2022,0,-24.5325,0,0,0,0,0.783272,0,0,0.681648,0,0,1.46492,0,0,0,0,0,0,0,0,0,0,0,25.127,355.195,0,0.000171912,0.004509,
1,1,13,0.0086114,0,1.02623,0,0.0223809,0,1.2933,4.28727,6.69613,0.0669675,-22.3159,0,-8.915,0,0,0,0,0.538412,0,0,0.0894516,0,0,0.627864,0,0,0,0,0,0,0,0,0,0,0,25.1354,355.195,0,0.000162186,0.004509,
1,1,14,0.00779102,0,1.02623,0,0.0223809,0,1.2933,2.51738,6.88324,0.0613869,-42.3409,0,-30.5292,0,0,0,0,0.320504,0,0,0.167222,0,0,0.487726,0,0,0,0,0,0,0,0,0,0,0,25.1269,355.195,0,0.000167244,0.004509,
