16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-19 19:31:37"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-QII-0\cz14\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.99287,0,1.02623,0,0.0223809,0,1.93299,3.34286,5.08716,0,0,0,14.4045,1.54861,0,0,0,0.254764,0,0,0.135015,0,0,1.93839,0,0,0,0,0,0,0,0,0,0,0,27.3864,353.349,0,0.000249403,0.004509,
1,1,2,3.38281,0,1.02623,0,0.0223809,0,1.63121,3.31038,4.81685,0,0,0,14.1899,1.76115,0,0,0,0.137907,0,0,0.127717,0,0,2.02677,0,0,0,0,0,0,0,0,0,0,0,27.3657,353.349,0,0.000249051,0.004509,
1,1,3,3.22935,0,1.02623,0,0.0223809,0,1.32942,3.29414,4.68171,0,0,0,13.5832,1.6978,0,0,0,0.111413,0,0,0.124068,0,0,1.93328,0,0,0,0,0,0,0,0,0,0,0,27.2822,353.349,0,0.000248744,0.004509,
1,1,4,2.68435,0,1.02623,0,0.0223809,0,1.48032,3.29414,4.68171,0,0,0,13.1891,1.43648,0,0,0,0.108352,0,0,0.124068,0,0,1.6689,0,0,0,0,0,0,0,0,0,0,0,27.2148,353.349,0,0.000244034,0.004509,
1,1,5,2.78493,0,1.02623,0,0.0223809,0,1.7821,3.26165,4.4114,0,0,0,13.2887,1.4943,0,0,0,0.11478,0,0,0.11677,0,0,1.72585,0,0,0,0,0,0,0,0,0,0,0,27.2591,353.349,0,0.000247897,0.004509,
1,1,6,2.83515,0,1.02623,0,0.0223809,0,2.53656,3.32662,4.95202,0,0,0,14.699,1.44202,0,0,0,0.868871,0,0,0.131366,0,0,2.44226,0,0,0,0,0,0,0,0,0,0,0,27.3779,353.349,0,0.000250017,0.004509,
1,1,7,2.7016,0,1.02623,0,0.0223809,0,3.36647,3.42408,5.76295,0,0,0,16.3037,1.29647,0,0,0,0.463526,0,0,0.15326,0,0,1.91326,0,0,0,0,0,0,0,0,0,0,0,27.4044,353.349,0,0.000250652,0.004509,
1,1,8,2.52074,0,1.02623,0,0.0223809,0,3.47462,3.45656,6.18177,0,0,0,16.6823,1.23749,0,0,0,0.877768,0,0,0.160558,0,0,2.27582,0,0,0,0,0,0,0,0,0,0,0,27.3881,353.349,0,0.000250171,0.004509,
1,1,9,2.49395,0,1.02623,0,0.0223809,0,2.9546,3.34286,5.24379,0,0,0,15.0838,1.27876,0,0,0,1.28968,0,0,0.135015,0,0,2.70345,0,0,0,0,0,0,0,0,0,0,0,27.1899,353.349,0,0.000245568,0.004509,
1,1,10,1.63793,0,1.02623,0,0.0223809,0,2.57737,3.26165,4.568,0,0,0,13.0936,0.978664,0,0,0,1.21827,0,0,0.11677,0,0,2.3137,0,0,0,0,0,0,0,0,0,0,0,25.5303,353.349,0,0.000205897,0.004509,
1,1,11,1.60337,0,1.02623,0,0.0223809,0,2.47508,3.2779,4.75176,0,0,0,13.1567,0.970914,0,0,0,0.838027,0,0,0.120419,0,0,1.92936,0,0,0,0,0,0,0,0,0,0,0,24.9337,353.349,0,0.000187311,0.004509,
1,1,12,1.297,0,1.02623,0,0.0223809,0,2.32419,3.2779,4.75176,0,0,0,12.6995,0.767287,0,0,0,0.979067,0,0,0.120419,0,0,1.86677,0,0,0,0,0,0,0,0,0,0,0,24.5238,353.349,0,0.000172385,0.004509,
1,1,13,1.11027,0,1.02623,0,0.0223809,0,2.2303,3.26165,4.85689,0,0,0,12.5077,0.649696,0,0,0,0.671097,0,0,0.11677,0,0,1.43756,0,0,0,0,0,0,0,0,0,0,0,24.5322,353.349,0,0.000162633,0.004509,
1,1,14,0.673089,0,1.02623,0,0.0223809,0,2.2303,3.2779,4.99206,0,0,0,12.222,0.343195,0,0,0,0.404361,0,0,0.120419,0,0,0.867975,0,0,0,0,0,0,0,0,0,0,0,24.5236,353.349,0,0.000167705,0.004509,
1,1,15,0.729807,0,1.02623,0,0.0223809,0,2.2303,3.31038,5.26237,0,0,0,12.5815,0.39001,0,0,0,0.536917,0,0,0.127717,0,0,1.05464,0,0,0,0,0,0,0,0,0,0,0,24.6626,353.349,0,0.000168169,0.004509,
