"",002
"Thu 19-Mar-20   7:04:51 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.7377,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,6.09959,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.3101,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.81837,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.7054,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.69034,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.7184,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.54336,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.981,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.31523,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.4686,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,5.25529,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",42.5199,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,5.31952,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",83.9895,0,15.7104,14.2518,0,0,0.0763637,0,3.92011,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.81033,0,0.602657,5.29585,0.190523,0,0,0,-0.0740979
"MtrElec",1,1,9,"",69.3719,0,12.1372,6.42324,0,0,0.0763637,0,2.73668,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.74244,0,2.23681,3.41576,0.338707,0,0,0,-0.750675
"MtrElec",1,1,10,"",63.78,0,6.02262,0,0,0,0.0763637,0,1.27679,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.50933,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.33384
"MtrElec",1,1,11,"",59.8922,0,3.95689,0,0,0,0.0763637,0,0.831076,6.31333,0,0,0,4.33448,22.5562,0.456986,6.42777,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.79095
"MtrElec",1,1,12,"",51.5645,0,3.24874,0,0,0,0.0763637,0,0.680613,6.31333,0,0,0,4.12411,22.2214,0.304657,6.5799,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.56012
"MtrElec",1,1,13,"",49.8699,0,2.52822,0,0,0,0.0763637,0,0.529005,6.31333,0,0,0,4.41274,22.8472,0.228493,6.71334,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.49726
"MtrElec",1,1,14,"",42.7277,0,1.29943,0,0,0,0.0763637,0,0.271157,6.31333,0,0,0,4.41274,23.4856,0.209452,6.79408,0,0.434236,0.738049,0.416328,0,0,0,-1.72303
"MtrElec",1,1,15,"",44.311,0,0.899787,0,0,0,0.0763637,0,0.187448,6.31333,0,0,0,4.41274,24.5389,0.209452,6.68813,0,0.31173,1.34655,0.437497,0,0,0,-1.11096
"MtrElec",1,1,16,"",46.8174,0,0.811456,0,0,0,0.0763637,0,0.169072,6.31333,0,0,0,4.93865,25.7089,0.228493,6.92398,0,0.568744,1.30337,0.479835,0,0,0,-0.704778
"MtrElec",1,1,17,"",55.946,0,0.860308,0,0,0,0.0763637,0,0.179431,6.31333,0,0,0,5.46456,28.6239,0.361781,6.70997,0,0.550504,6.29167,0.642132,0,0,0,-0.127859
"MtrElec",1,1,18,"",62.4847,0,1.09079,0,0,0,0.0763637,0,0.227955,6.31333,0,0,0,6.74902,31.933,0.723561,7.15294,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.6714,0,1.45845,0,0,0,0.0763637,0,0.305737,6.31333,0,0,0,10.8458,34.0729,0.913972,7.79237,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",75.9081,0,1.00872,0,0,0,0.0763637,0,0.212195,6.31333,0,1.22837,0,14.2339,35.2642,1.14247,7.62599,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",69.7139,0,1.26188,0,0,0,0.0763637,0,0.266207,6.31333,0,1.22837,0,13.8131,36.4881,1.58041,7.39856,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",69.4202,0,1.2819,0,0,0,0.0763637,0,0.270485,6.31333,0,1.22837,0,12.025,36.1513,1.86603,7.08981,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",60.6844,0,2.88844,0,0,0,0.0763637,0,0.612471,6.31333,0,1.22837,0,7.30113,31.2653,1.61849,6.43537,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",48.4962,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,4.77676,26.7221,1.12342,6.59334,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",40.6259,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,21.9549,0.87589,5.79325,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",40.6984,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.0694,0.87589,5.66588,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",37.1029,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.3206,0.87589,5.45191,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",35.5435,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2101,0.87589,5.34843,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",34.8712,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.3211,0.87589,5.14437,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",183.538,0,60.357,70.6464,0,0,0.0763637,0,14.4751,6.31333,0,1.22837,0,4.44966,19.9323,0.70452,5.2559,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",100.122,0,31.8929,16.8561,0,0,0.0763637,0,7.23747,6.31333,0,1.22837,0,6.3584,23.3625,0.666438,5.99577,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",116.855,0,34.746,23.233,0,0,0.0763637,0,9.9203,6.31333,0,1.22837,0,8.42304,25.9428,0.647397,6.66812,0,0,0,0.17641,0,0,0,-0.520505
"MtrElec",1,2,9,"",76.9829,0,15.8925,2.25848,0,0,0.0763637,0,3.99599,6.31333,0,1.22837,0,11.5157,26.0117,0.628356,6.48692,1.3606,0,1.75036,0.183466,0,0,0,-0.719318
"MtrElec",1,2,10,"",63.9123,0,8.64269,0,0,0,0.0763637,0,1.87834,6.31333,0,0,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-1.07971
"MtrElec",1,2,11,"",57.9529,0,5.224,0,0,0,0.0763637,0,1.09055,6.31333,0,0,0,11.7394,26.0582,0.418904,5.77569,0,0.781173,1.67248,0.148184,0,0,0,-1.34537
"MtrElec",1,2,12,"",54.5495,0,2.64328,0,0,0,0.0763637,0,0.549335,6.31333,0,0,0,11.529,26.0582,0.285616,5.87027,0,0.706407,1.78428,0.204636,0,0,0,-1.47126
"MtrElec",1,2,13,"",54.0619,0,2.15748,0,0,0,0.0763637,0,0.447541,6.31333,0,0,0,11.1083,26.085,0.228493,6.11663,1.41802,0.753625,0,0.246974,0,0,0,-0.889884
"MtrElec",1,2,14,"",60.6589,0,1.19225,0,0,0,0.0763637,0,0.246777,6.31333,0,0,0,11.1083,26.5565,0.209452,5.97359,1.0564,0,7.93763,0.225805,0,0,0,-0.237468
"MtrElec",1,2,15,"",55.8232,0,1.00286,0,0,0,0.0763637,0,0.207597,6.31333,0,0,0,11.1083,27.3386,0.209452,6.1189,0,3.35262,0,0.239918,0,0,0,-0.144743
"MtrElec",1,2,16,"",54.0808,0,1.08584,0,0,0,0.0763637,0,0.225172,6.31333,0,0,0,11.6342,28.0067,0.228493,6.16649,0,0,0,0.366933,0,0,0,-0.022777
"MtrElec",1,2,17,"",58.3235,0,1.11964,0,0,0,0.0763637,0,0.232438,6.31333,0,0,0,12.1601,30.9818,0.361781,6.27797,0,0,0,0.811486,0,0,0,-0.0114051
"MtrElec",1,2,18,"",62.327,0,2.67699,0,0,0,0.0763637,0,0.557291,6.31333,0,0,0,10.3962,33.352,0.70452,6.88841,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",85.463,0,4.11806,0,0,0,0.0763637,0,0.859902,6.31333,0,0,0,13.8616,35.1059,0.933013,7.52348,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",82.6871,0,4.79571,0,0,0,0.0763637,0,1.00299,6.31333,0,0,0,17.3326,36.7715,1.23767,7.60053,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",75.9169,0,5.36579,0,0,0,0.0763637,0,1.12271,6.31333,0,0,0,15.8555,37.9399,1.73274,7.21416,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",74.0667,0,5.29102,0,0,0,0.0763637,0,1.10932,6.31333,0,0,0,13.9016,37.4974,1.99931,6.85516,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",63.6239,0,6.73401,0,0,0,0.0763637,0,1.4149,6.31333,0,0,0,8.31665,32.1726,1.73274,6.40609,0,0.372557,0,0.0846768,0,0,0,0
