"",002
"Thu 19-Mar-20   7:04:52 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.5281,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,6.11838,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",36.0996,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.8363,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.4957,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.70895,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.5096,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.56283,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.7759,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.33849,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.2654,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.28053,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.3225,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,5.09231,22.1548,0.837808,5.35053,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",50.9906,0,0,0,0,0,0.0763637,0,2.08079,6.31333,0,0,0,5.61357,24.2696,0.780684,5.84132,0,0.602657,5.29585,0.190523,0,0,0,-0.0740979
"MtrElec",1,1,9,"",48.3407,0,0,0,0.146916,0,0.0763637,0,1.32474,6.31333,0,0,0,4.90493,22.8832,0.685479,6.76514,0,2.23681,3.41576,0.338707,0,0,0,-0.750675
"MtrElec",1,1,10,"",56.0649,0,0,0,0.146916,0,0.0763637,0,0.633222,6.31333,0,0,0,4.37902,22.0268,0.571233,6.54187,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.33384
"MtrElec",1,1,11,"",55.7114,0,0,0,0.146916,0,0.0763637,0,0.428939,6.31333,0,0,0,4.33448,22.5562,0.456986,6.45913,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.79095
"MtrElec",1,1,12,"",48.169,0,0,0,0.146916,0,0.0763637,0,0.356092,6.31333,0,0,0,4.12411,22.2214,0.304657,6.61073,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.56012
"MtrElec",1,1,13,"",47.2661,0,0,0,0.146916,0,0.0763637,0,0.277645,6.31333,0,0,0,4.41274,22.8472,0.228493,6.74221,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.49726
"MtrElec",1,1,14,"",41.4724,0,0,0,0.146916,0,0.0763637,0,0.142595,6.31333,0,0,0,4.41274,23.4856,0.209452,6.8198,0,0.434236,0.738049,0.416328,0,0,0,-1.72303
"MtrElec",1,1,15,"",43.491,0,0,0,0.146916,0,0.0763637,0,0.0986165,6.31333,0,0,0,4.41274,24.5389,0.209452,6.70985,0,0.31173,1.34655,0.437497,0,0,0,-1.11096
"MtrElec",1,1,16,"",46.0865,0,0,0,0.146916,0,0.0763637,0,0.0880931,6.31333,0,0,0,4.93865,25.7089,0.228493,6.93858,0,0.568744,1.30337,0.479835,0,0,0,-0.704778
"MtrElec",1,1,17,"",55.027,0,0,0,0,0,0.0763637,0,0.0997963,6.31333,0,0,0,5.46456,28.6239,0.361781,6.73086,0,0.550504,6.29167,0.642132,0,0,0,-0.127859
"MtrElec",1,1,18,"",61.3148,0,0,0,0,0,0.0763637,0,0.129734,6.31333,0,0,0,6.74902,31.933,0.723561,7.17206,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",64.0876,0,0,0,0,0,0.0763637,0,0.168108,6.31333,0,0,0,10.8458,34.0729,0.913972,7.80467,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",73.5886,0,0,0,0,0,0.0763637,0,0.116805,6.31333,0,0,0,14.2339,35.2642,1.14247,7.63899,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.113,0,0,0,0,0,0.0763637,0,0.141317,6.31333,0,0,0,13.8131,36.4881,1.58041,7.41277,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",66.7958,0,0,0,0,0,0.0763637,0,0.142845,6.31333,0,0,0,12.025,36.1513,1.86603,7.1034,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",56.2754,0,0,0,0,0,0.0763637,0,0.301498,6.31333,0,0,0,7.30113,31.2653,1.61849,6.45419,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",47.2801,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,4.77676,26.7221,1.12342,6.60561,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",39.417,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,3.09384,21.9549,0.87589,5.81268,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",39.4876,0,0,0,0,0,0.0763637,0,0,6.31333,0,0,0,2.67312,20.0694,0.87589,5.68343,3.39527,0.372557,0,0.0282256,0,0,0,0
