"",002
"Thu 19-Mar-20   6:30:30 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",39.4904,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.09384,22.015,0.87589,5.85236,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.0567,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.67312,20.2964,0.87589,5.56502,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",35.4469,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.25239,19.2666,0.856849,5.43185,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",35.4506,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.46275,19.2163,0.856849,5.27547,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",34.6717,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,2.88348,18.2672,0.87589,5.00586,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",37.1561,0,0,0,0,0,0.0763637,0,0,6.31333,0,1.22837,0,3.9353,19.7678,0.856849,4.94279,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",44.5182,0,0,0,0,0,0.0763637,0,2.33909,6.31333,0,1.22837,0,5.09231,22.1548,0.837808,4.97878,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",82.8362,0,18.4075,1.3672,0,0,0.0763637,0,13.1221,6.31333,0,1.22837,0,5.61357,24.2696,0.780684,5.56849,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",42.0811,0,14.5404,1.57322,0,0,0.0763637,0,7.53081,6.31333,0,1.22837,0,4.90493,22.8832,0.685479,6.70863,0,2.23681,3.41576,0.338707,0,0,0,-30.3549
"MtrElec",1,1,10,"",-3.94963,0,8.18987,0,0,0,0.0763637,0,4.47378,6.31333,0,1.22837,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-74.4064
"MtrElec",1,1,11,"",21.3064,0,6.51017,0,0,0,0.0763637,0,3.39714,6.31333,0,1.22837,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-46.6828
"MtrElec",1,1,12,"",41.563,0,5.91891,0,0,0,0.0763637,0,3.67027,6.31333,0,1.22837,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-18.3644
"MtrElec",1,1,13,"",-53.099,0,5.25162,0,0,0,0.0763637,0,3.03799,6.31333,0,1.22837,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-110.816
"MtrElec",1,1,14,"",-36.1447,0,4.00916,0,0,0,0.0763637,0,2.57066,6.31333,0,1.22837,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-86.7186
"MtrElec",1,1,15,"",-21.1648,0,3.63899,0,0,0,0.0763637,0,2.18921,6.31333,0,1.22837,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-72.4261
"MtrElec",1,1,16,"",35.5782,0,3.73245,0,0,0,0.0763637,0,2.47704,6.31333,0,1.22837,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-18.2893
"MtrElec",1,1,17,"",64.577,0,4.13643,1.64089,0,0,0.0763637,0,2.71064,6.31333,0,1.22837,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,0
"MtrElec",1,1,18,"",71.3745,0,4.51314,2.02274,0,0,0.0763637,0,2.61252,6.31333,0,1.22837,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
