"",002
"Tue 03-Mar-20  12:48:30 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",33.409,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,3.09384,22.015,0.87589,5.855,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",30.9814,0,0,0,0,0,0.0750671,0,0.00370426,1.45896,0,0,0,2.67312,20.2964,0.87589,5.57003,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",29.3879,0,0,0,0,0,0.0750671,0,0.0182024,1.45896,0,0,0,2.25239,19.2666,0.856849,5.43859,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",29.4111,0,0,0,0,0,0.0750671,0,0.0362495,1.45896,0,0,0,2.46275,19.2163,0.856849,5.28381,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",28.6419,0,0,0,0,0,0.0750671,0,0.0427719,1.45896,0,0,0,2.88348,18.2672,0.87589,5.01737,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",31.1274,0,0,0,0,0,0.0750671,0,0.0414959,1.45896,0,0,0,3.9353,19.7678,0.856849,4.95665,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",38.2377,0,0,0,0,0,0.0750671,0,2.12423,1.45896,0,0,0,5.09231,22.1548,0.837808,4.99717,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",52.7319,0,0,0,0,0,0.0750671,0,8.87187,1.45896,0,0,0,5.61357,24.2696,0.780684,5.57317,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",46.6927,0,0,0,0,0,0.0750671,0,4.2993,1.45896,0,0,0,4.90493,22.8832,0.685479,6.70793,0,2.23681,3.41576,0.338707,0,0,0,-0.313424
"MtrElec",1,1,10,"",53.6624,0,0,0,0,0,0.0750671,0,2.72157,1.45896,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.768269
"MtrElec",1,1,11,"",53.5435,0,0,0,0,0,0.0750671,0,2.02765,1.45896,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.482015
"MtrElec",1,1,12,"",46.4955,0,0,0,0,0,0.0750671,0,2.43091,1.45896,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.189618
"MtrElec",1,1,13,"",44.2419,0,0,0,0,0,0.0750671,0,2.04285,1.45896,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.14421
"MtrElec",1,1,14,"",38.8403,0,0,0,0,0,0.0750671,0,1.82567,1.45896,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.895397
"MtrElec",1,1,15,"",40.083,0,0,0,0,0,0.0750671,0,1.48168,1.45896,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.747822
"MtrElec",1,1,16,"",43.0875,0,0,0,0,0,0.0750671,0,1.70236,1.45896,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.188843
"MtrElec",1,1,17,"",51.8374,0,0,0,0,0,0.0750671,0,1.83245,1.45896,0,0,0,5.46456,28.6239,0.361781,6.53648,0,0.550504,6.29167,0.642132,0,0,0,0
"MtrElec",1,1,18,"",57.78,0,0,0,0,0,0.0750671,0,1.6379,1.45896,0,0,0,6.74902,31.933,0.723561,6.98478,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",60.341,0,0,0,0,0,0.0750671,0,1.40863,1.45896,0,0,0,10.8458,34.0729,0.913972,7.67314,0,1.93423,1.04806,0.910275,0,0,0,0
