"",002
"Tue 03-Mar-20   3:41:18 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",62.0208,0,18.299,0,0,0,0.0750671,0,4.12508,1.45896,0,6.14185,0,3.09384,22.015,0.87589,5.90091,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",62.8955,0,20.1238,0.995843,0,0,0.0750671,0,4.56549,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",71.3912,0,20.5583,10.3986,0,0,0.0750671,0,4.79669,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",72.8361,0,21.3527,10.8249,0,0,0.0750671,0,4.98961,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",58.9542,0,19.6056,0,0,0,0.0750671,0,4.40443,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",55.6544,0,14.9016,0,0,0,0.0750671,0,3.28947,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",50.8798,0,11.8848,0,0,0,0.0750671,0,2.59594,1.45896,0,0,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",55.2689,0,9.20552,0,0,0,0.0750671,0,1.98761,1.45896,0,0,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",48.4868,0,6.57206,0,0,0,0.0750671,0,1.40876,1.45896,0,0,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-2.21953
"MtrElec",1,1,10,"",46.701,0,4.09698,0,0,0,0.0750671,0,0.879635,1.45896,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-9.98472
"MtrElec",1,1,11,"",26.3753,0,2.52338,0,0,0,0.0750671,0,0.539296,1.45896,0,0,0,4.33448,22.5562,0.456986,6.38612,4.39771,5.02777,6.97994,0.324594,0,0,0,-28.6853
"MtrElec",1,1,12,"",1.95764,0,4.01669,0,0,0,0.0750671,0,0.861258,1.45896,0,0,0,4.12411,22.2214,0.304657,6.49831,6.16207,2.94812,0.0772521,0.388102,0,0,0,-47.1783
"MtrElec",1,1,13,"",8.61376,0,4.95633,0,0,0,0.0750671,0,1.06944,1.45896,0,0,0,4.41274,22.8472,0.228493,6.60758,6.21322,0.032629,1.02809,0.444553,0,0,0,-40.7605
"MtrElec",1,1,14,"",22.2996,0,7.22557,0,0,0,0.0750671,0,1.56652,1.45896,0,0,0,4.41274,23.4856,0.209452,6.68112,0,0.434236,0.738049,0.416328,0,0,0,-24.404
"MtrElec",1,1,15,"",15.4563,0,6.74679,0,0,0,0.0750671,0,1.46362,1.45896,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-32.1032
"MtrElec",1,1,16,"",19.3558,0,4.94553,0,0,0,0.0750671,0,1.07383,1.45896,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-28.2375
"MtrElec",1,1,17,"",40.3134,0,3.76293,0,0,0,0.0750671,0,0.815974,1.45896,0,0,0,5.46456,28.6239,0.361781,6.53649,0,0.550504,6.29167,0.642132,0,0,0,-14.2705
"MtrElec",1,1,18,"",68.3728,0.132683,4.84942,0,0,0,0.0750671,0.0371082,1.06255,1.45896,0,6.14185,0,6.74902,31.933,0.723561,6.9919,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",71.4042,0.200596,4.96688,0,0,0,0.0750671,0.0598208,1.09157,1.45896,0,6.14185,0,10.8458,34.0729,0.913972,7.68424,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",81.7617,0.221755,5.34375,0.312314,0,0,0.0750671,0.0712019,1.18929,1.45896,0,6.14185,0,14.2339,35.2642,1.14247,7.50443,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",81.4589,0.233665,7.58084,3.68837,0,0,0.0750671,0.0806733,1.76891,1.45896,0,6.14185,0,13.8131,36.4881,1.58041,7.26133,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",85.1567,0.232276,10.0699,4.59334,0,0,0.0750671,0.0850892,2.38253,1.45896,0,6.14185,0,12.025,36.1513,1.86603,6.9578,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",85.0297,0,16.7552,7.22875,0,0,0.0750671,0,3.98612,1.45896,0,6.14185,0,7.30113,31.2653,1.61849,6.25367,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",87.7119,0,23.726,9.84746,0,0,0.0750671,0,5.69243,1.45896,0,6.14185,0,4.77676,26.7221,1.12342,6.48526,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",91.5936,0,31.4482,11.8736,0,0,0.0750671,0,7.72407,1.45896,0,6.14185,0,3.09384,21.9549,0.87589,5.65724,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",97.7361,0,35.636,12.5648,0,0,0.0750671,0,8.87023,1.45896,0,6.14185,0,2.67312,20.0694,0.87589,5.57481,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",96.8835,0,37.2668,13.2151,0,0,0.0750671,0,9.30757,1.45896,0,6.14185,0,2.25239,19.3206,0.87589,5.38537,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",100.986,0,39.3965,16.1255,0,0,0.0750671,0,9.89704,1.45896,0,6.14185,0,2.46275,19.2101,0.87589,5.31379,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",100.482,0,39.638,15.9648,0,0,0.0750671,0,9.95858,1.45896,0,6.14185,0,2.88348,18.3211,0.87589,5.13591,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",91.6662,0,33.0309,12.3795,0,0,0.0750671,0,8.11416,1.45896,0,6.14185,0,4.44966,19.9323,0.70452,5.28053,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",89.2555,0,27.5511,10.8173,0,0,0.0750671,0,6.64713,1.45896,0,6.14185,0,6.3584,23.3625,0.666438,6.04263,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",94.2649,0,27.1726,10.9734,0,0,0.0750671,0,6.53689,1.45896,0,6.14185,0,8.42304,25.9428,0.647397,6.71653,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",84.6024,0,25.9529,10.7688,0,0,0.0750671,0,6.2136,1.45896,0,6.14185,0,11.5157,26.0117,0.628356,6.48949,1.3606,0,1.75036,0.183466,0,0,0,-13.9484
"MtrElec",1,2,10,"",38.2693,0,22.6576,9.6761,0,0,0.0750671,0,5.36287,1.45896,0,6.14185,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-55.1844
"MtrElec",1,2,11,"",34.2875,0,19.7957,9.08869,0,0,0.0750671,0,4.63801,1.45896,0,6.14185,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-53.5021
"MtrElec",1,2,12,"",36.8607,0,17.2972,8.39454,0,0,0.0750671,0,4.01195,1.45896,0,6.14185,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-46.9388
"MtrElec",1,2,13,"",-69.4429,0,9.98071,1.31205,0,0,0.0750671,0,2.22063,1.45896,0,6.14185,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-136.556
"MtrElec",1,2,14,"",-34.5978,0,4.154,0,0,0,0.0750671,0,0.90487,1.45896,0,6.14185,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-100.349
