"",002
"Tue 03-Mar-20   3:36:02 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",33.5013,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,3.09384,22.015,0.87589,5.94726,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",31.0754,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.67312,20.2964,0.87589,5.66769,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",29.4783,0,0,0,0,0,0.0750671,0,0.00139661,1.45896,0,0,0,2.25239,19.2666,0.856849,5.54584,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",29.4892,0,0,0,0,0,0.0750671,0,0.009371,1.45896,0,0,0,2.46275,19.2163,0.856849,5.38877,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",28.7346,0,0,0,0,0,0.0750671,0,0.0133159,1.45896,0,0,0,2.88348,18.2672,0.87589,5.13955,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",31.2291,0,0,0,0,0,0.0750671,0,0.014586,1.45896,0,0,0,3.9353,19.7678,0.856849,5.08523,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",37.3889,0,0,0,0,0,0.0750671,0,1.13002,1.45896,0,0,0,5.09231,22.1548,0.837808,5.14255,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",48.1603,0,0,0,0,0,0.0750671,0,4.21193,1.45896,0,0,0,5.61357,24.2696,0.780684,5.68253,0,0.602657,5.29585,0.190523,0,0,0,-0.0211096
"MtrElec",1,1,9,"",44.2266,0,0,0,0,0,0.0750671,0,1.65426,1.45896,0,0,0,4.90493,22.8832,0.685479,6.72197,0,2.23681,3.41576,0.338707,0,0,0,-0.148529
"MtrElec",1,1,10,"",51.5283,0,0,0,0,0,0.0750671,0,0.625934,1.45896,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.806676
"MtrElec",1,1,11,"",51.0457,0,0,0,0,0,0.0750671,0,0.142238,1.45896,0,0,0,4.33448,22.5562,0.456986,6.38912,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.09743
"MtrElec",1,1,12,"",42.7525,0,0,0,0,0,0.0750671,0,0.042358,1.45896,0,0,0,4.12411,22.2214,0.304657,6.51322,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.56277
"MtrElec",1,1,13,"",42.3756,0,0,0,0,0,0.0750671,0,0.0656202,1.45896,0,0,0,4.41274,22.8472,0.228493,6.6381,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.06908
"MtrElec",1,1,14,"",37.4935,0,0,0,0,0,0.0750671,0,0.200744,1.45896,0,0,0,4.41274,23.4856,0.209452,6.72128,0,0.434236,0.738049,0.416328,0,0,0,-0.658975
"MtrElec",1,1,15,"",39.5454,0,0,0,0,0,0.0750671,0,0.307757,1.45896,0,0,0,4.41274,24.5389,0.209452,6.6033,0,0.31173,1.34655,0.437497,0,0,0,-0.156616
"MtrElec",1,1,16,"",41.7542,0,0,0,0,0,0.0750671,0,0.292519,1.45896,0,0,0,4.93865,25.7089,0.228493,6.84409,0,0.568744,1.30337,0.479835,0,0,0,-0.144364
"MtrElec",1,1,17,"",50.3076,0,0,0,0,0,0.0750671,0,0.270683,1.45896,0,0,0,5.46456,28.6239,0.361781,6.57985,0,0.550504,6.29167,0.642132,0,0,0,-0.0114315
"MtrElec",1,1,18,"",56.8112,0.305723,0,0,0,0,0.0750671,0.065675,0.252501,1.45896,0,0,0,6.74902,31.933,0.723561,7.02997,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",59.585,0.274556,0,0,0,0,0.0750671,0.0635667,0.274862,1.45896,0,0,0,10.8458,34.0729,0.913972,7.71282,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",69.1107,0.297951,0,0,0,0,0.0750671,0.0720257,0.223101,1.45896,0,0,0,14.2339,35.2642,1.14247,7.54053,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",62.7081,0.326555,0,0,0,0,0.0750671,0.0815907,0.291269,1.45896,0,0,0,13.8131,36.4881,1.58041,7.30547,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",62.5045,0.327365,0,0,0,0,0.0750671,0.0845057,0.389289,1.45896,0,0,0,12.025,36.1513,1.86603,7.00946,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",51.6104,0,0,0,0,0,0.0750671,0,0.611693,1.45896,0,0,0,7.30113,31.2653,1.61849,6.33466,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",42.353,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,4.77676,26.7221,1.12342,6.53414,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",34.4521,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,3.09384,21.9549,0.87589,5.70347,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",34.5369,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.67312,20.0694,0.87589,5.58843,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",30.9449,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.25239,19.3206,0.87589,5.37799,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",29.4003,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.46275,19.2101,0.87589,5.28932,0,0,0,0.0282256,0,0,0,0
