16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:49:28"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\ndperry\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-baseU\cz05\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,6.61906,0,0.427597,0,0.00447617,0,0.906753,1.75185,6.45223,0.256709,0,0,16.4187,0,0,0,0,0.123455,0,0,0.006564,0,0,0.130019,0,0,0,0,0,0,0,0,0,0,0,28.2029,352.219,0,0.000247243,0.004509,
1,1,2,7.31007,0,0.427597,0,0.00447617,0,0.783447,1.67322,5.94853,0.256709,0,0,16.4041,0,0,0,0,0.0496054,0,0,0.0052512,0,0,0.0548566,0,0,0,0,0,0,0,0,0,0,0,28.1871,352.219,0,0.000246894,0.004509,
1,1,3,10.2606,0,0.427597,0,0.00447617,0,0.660138,1.63869,5.64672,0.251128,0,0,18.8894,0,0,0,0,0.0874999,0,0,0.0039384,0,0,0.0914383,0,0,0,0,0,0,0,0,0,0,0,28.1305,352.219,0,0.000246589,0.004509,
1,1,4,11.1774,0,0.427597,0,0.00447617,0,0.721791,1.5994,5.63198,0.251128,0,0,19.8137,0,0,0,0,0.442021,0,0,0.0039384,0,0,0.445959,0,0,0,0,0,0,0,0,0,0,0,28.0376,352.219,0,0.000241921,0.004509,
1,1,5,11.3318,0,0.427597,0,0.00447617,0,0.8451,1.53625,5.35381,0.256709,0,0,19.7558,0,0,0,0,0.50543,0,0,0.0039384,0,0,0.509368,0,0,0,0,0,0,0,0,0,0,0,28.1579,352.219,0,0.00024575,0.004509,
1,1,6,8.31689,0,0.427597,0,0.00447617,0,1.15337,1.53212,5.79361,0.251128,0,0,17.4792,0,0,0,0,1.03748,0,0,0.006564,0,0,1.04404,0,0,0,0,0,0,0,0,0,0,0,28.1988,352.219,0,0.000247852,0.004509,
1,1,7,6.18605,0,0.427597,0,0.00447617,0,1.49247,1.98713,6.4932,0.245547,0,0,16.8365,0,0,0,0,0.309242,0,0,0.013128,0,0,0.32237,0,0,0,0,0,0,0,0,0,0,0,28.2208,352.219,0,0.000248481,0.004509,
1,1,8,5.34506,0,0.427597,0,0.00447617,0,1.64524,3.4812,7.11301,0.228805,-0.421043,0,17.8244,0,0,0,0,0.479269,0,0,0.160029,0,0,0.639298,0,0,0,0,0,0,0,0,0,0,0,28.2105,352.219,0,0.000248005,0.004509,
1,1,9,2.33799,0,0.427597,0,0.00447617,0,1.43755,3.72741,6.70668,0.200902,-2.96251,0,11.8801,0,0,0,0,0.735408,0,0,0.525414,0,0,1.26082,0,0,0,0,0,0,0,0,0,0,0,28.1953,352.219,0,0.000243441,0.004509,
1,1,10,0.614913,0,0.427597,0,0.00447617,0,1.28342,6.79894,6.45569,0.167419,-16.0896,0,-0.337147,0,0,0,0,0.689769,0,0,0.361256,0,0,1.05103,0,0,0,0,0,0,0,0,0,0,0,27.7067,352.219,0,0.000204114,0.004509,
1,1,11,0.0943824,0,0.427597,0,0.00447617,0,1.27036,6.77647,6.61084,0.133935,-21.8889,0,-6.57082,0,0,0,0,0.447193,0,0,1.09974,0,0,1.54693,0,0,0,0,0,0,0,0,0,0,0,27.4549,352.219,0,0.000185689,0.004509,
1,1,12,0.0762022,0,0.427597,0,0.00447617,0,1.20871,4.71697,6.51272,0.0892899,-31.1703,0,-18.1343,0,0,0,0,0.604493,0,0,0.681648,0,0,1.28614,0,0,0,0,0,0,0,0,0,0,0,27.0475,352.219,0,0.000170892,0.004509,
1,1,13,0.0663572,0,0.427597,0,0.00447617,0,1.2933,4.21049,6.69613,0.0669675,-21.3234,0,-8.55812,0,0,0,0,0.364241,0,0,0.0894516,0,0,0.453693,0,0,0,0,0,0,0,0,0,0,0,26.4916,352.219,0,0.000161225,0.004509,
1,1,14,0.0699314,0,0.427597,0,0.00447617,0,1.2933,2.43796,6.88324,0.0613869,-13.1436,0,-1.96576,0,0,0,0,0.184594,0,0,0.167222,0,0,0.351816,0,0,0,0,0,0,0,0,0,0,0,26.9355,352.219,0,0.000166253,0.004509,
