"",002
"Tue 03-Mar-20   3:56:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",43.5007,0,0.361922,0,0,0,0.0750671,0,0.104267,1.45896,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,2,"",42.0327,0,0.828432,0,0,0,0.0750671,0,0.23258,1.45896,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,3,"",44.3307,0,3.83402,0,0,0,0.0750671,0,1.07124,1.45896,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,4,"",48.0063,0,6.2701,0,0,0,0.0750671,0,1.7959,1.45896,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,5,"",53.0739,0,8.5684,2.00352,0,0,0.0750671,0,2.56514,1.45896,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,6,"",61.4696,0,9.49445,4.4808,0,0,0.0750671,0,2.91705,1.45896,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,1,7,"",62.653,0,8.25872,1.4339,0,0,0.0750671,0,2.45202,1.45896,0,6.14185,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,1,8,"",59.6344,0,5.61272,0,0,0,0.0750671,0,1.60442,1.45896,0,6.14185,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,9,"",49.2196,0,1.68883,0,0,0,0.0750671,0,0.476182,1.45896,0,6.14185,0,10.0811,17.8918,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,10,"",37.4476,0,0.315659,0,0,0,0.0750671,0,0.0892027,1.45896,0,0,0,8.79399,15.586,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,11,"",37.5334,0,0.123884,0,0,0,0.0750671,0,0.0333498,1.45896,0,0,0,8.44497,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,12,"",36.903,0,0.0330861,0,0,0,0.0750671,0,0.00865976,1.45896,0,0,0,7.93012,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,13,"",36.8654,0,0.0167514,0,0,0,0.0750671,0,0.00436343,1.45896,0,0,0,7.60979,16.5717,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,14,"",37.3807,0,0.0157209,0,0,0,0.0750671,0,0.00409281,1.45896,0,0,0,7.60979,17.0329,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,15,"",38.7258,0.246216,0.00401748,0,0,0,0.0750671,0.0805223,0.00104347,1.45896,0,0,0,7.60979,17.9552,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,16,"",41.2783,0.425698,0,0,0,0,0.0750671,0.138308,0,1.45896,0,0,0,8.8969,18.8775,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,17,"",46.3067,0.515996,0,0,0,0,0.0750671,0.173319,0,1.45896,0,0,0,10.184,22.1055,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,18,"",54.1812,0.549785,0.0168057,0,0,0,0.0750671,0.190699,0.00439144,1.45896,0,0,0,13.4476,26.1454,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,1,19,"",66.9075,0.567527,0.047459,0,0,0,0.0750671,0.201814,0.0124906,1.45896,0,0,0,23.6339,28.3406,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,1,20,"",76.5813,0.577239,0.0761703,0,0,0,0.0750671,0.20983,0.0202238,1.45896,0,0,0,32.3034,29.18,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,21,"",81.426,0.58698,0.10004,0,0,0,0.0750671,0.216396,0.0267405,1.45896,0,0,0,31.0163,30.1023,5.05195,9.35536,2.70624,0,0.729724,0,0,0,0,0
"MtrElec",1,1,22,"",76.0745,0.590968,0.138701,0,0,0,0.0750671,0.220822,0.0374989,1.45896,0,0,0,26.6401,29.18,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,23,"",60.2999,0,0.243448,0,0,0,0.0750671,0,0.0663725,1.45896,0,0,0,16.8923,24.2747,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,1,24,"",50.4229,0,0.379827,0,0,0,0.0750671,0,0.104505,1.45896,0,0,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,0,0,0
"MtrElec",1,2,1,"",37.6036,0,0.554945,0,0,0,0.0750671,0,0.155939,1.45896,0,0,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,2,"",42.2867,0,1.0235,0,0,0,0.0750671,0,0.291511,1.45896,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,3,"",45.2205,0,4.52578,0,0,0,0.0750671,0,1.26928,1.45896,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,4,"",47.3266,0,5.75579,0,0,0,0.0750671,0,1.63055,1.45896,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,5,"",48.7538,0,6.85322,0,0,0,0.0750671,0,1.96377,1.45896,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,6,"",54.6581,0,7.33948,0,0,0,0.0750671,0,2.11638,1.45896,0,6.14185,0,9.16911,17.0068,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,2,7,"",61.4328,0,6.86742,0,0,0,0.0750671,0,1.97102,1.45896,0,6.14185,0,12.7525,20.4831,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,2,8,"",63.0672,0,5.16014,0,0,0,0.0750671,0,1.45502,1.45896,0,6.14185,0,14.6649,22.3174,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,2,9,"",51.4073,0,0.677545,0,0,0,0.0750671,0,0.184561,1.45896,0,0,0,16.6919,20.9134,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,10,"",48.852,0,0.0515883,0,0,0,0.0750671,0,0.0136897,1.45896,0,0,0,16.3647,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,11,"",48.7886,0,0.0001033,0,0,0,0.0750671,0,0.0000269,1.45896,0,0,0,15.8499,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,12,"",48.6277,0.26493,0,0,0,0,0.0750671,0.0891414,0,1.45896,0,0,0,15.335,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,13,"",47.4705,0.559222,0,0,0,0,0.0750671,0.183973,0,1.45896,0,0,0,14.3054,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,14,"",48.1598,0.68598,0,0,0,0,0.0750671,0.229851,0,1.45896,0,0,0,14.3054,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,15,"",49.2612,0.731378,0,0,0,0,0.0750671,0.252728,0,1.45896,0,0,0,14.3054,21.1427,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,16,"",51.6278,0.762134,0,0,0,0,0.0750671,0.2683,0,1.45896,0,0,0,15.5925,22.065,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,17,"",56.5936,0.807218,0,0,0,0,0.0750671,0.285919,0,1.45896,0,0,0,16.8796,25.293,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,2,18,"",60.1895,1.02388,0,0,0,0,0.0750671,0.348489,0,1.45896,0,0,0,17.0948,27.8957,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,2,19,"",70.5878,0.379264,0,0,0,0,0.0750671,0.138009,0,1.45896,0,0,0,26.6498,29.3171,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
