"",001
"Tue 03-Mar-20   3:50:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",40.273,0,0.12748,0,0,0,0.0152727,0,0.02829,1.45896,0,6.14185,0,3.09384,22.015,0.87589,6.48118,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.8278,0,0.144802,0,0,0,0.0152727,0,0.0324852,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,6.16074,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",36.2301,0,0.153643,0,0,0,0.0152727,0,0.0346446,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,6.02874,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",36.2616,0,0.175329,0,0,0,0.0152727,0,0.0401935,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.87294,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",35.6435,0,0.198359,0.0483259,0,0,0.0152727,0,0.0470082,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.68595,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",38.2291,0,0.214054,0.110926,0,0,0.0152727,0,0.0521482,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.64071,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",43.2634,0,0.205709,0.0383286,0,0,0.0152727,0,0.0487245,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.77225,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",50.402,0,0.191621,0,0,0,0.0152727,0,0.0442935,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,6.23661,0,0.602657,5.29585,0.190523,0,0,0,-0.439491
"MtrElec",1,1,9,"",48.2033,0,0.14202,0,0,0,0.0152727,0,0.0315861,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,7.01635,0,2.23681,3.41576,0.338707,0,0,0,-1.06758
"MtrElec",1,1,10,"",50.6622,0,0.0780437,0,0,0,0.0152727,0,0.0164507,1.45896,0,0,0,4.37902,22.0268,0.571233,6.89384,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.48742
"MtrElec",1,1,11,"",50.6922,0,0.0340363,0,0,0,0.0152727,0,0.00692779,1.45896,0,0,0,4.33448,22.5562,0.456986,6.79886,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.69953
"MtrElec",1,1,12,"",42.8694,0,0.011778,0,0,0,0.0152727,0,0.0023465,1.45896,0,0,0,4.12411,22.2214,0.304657,6.96312,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.80776
"MtrElec",1,1,13,"",42.7058,0,0.00572838,0,0,0,0.0152727,0,0.00113523,1.45896,0,0,0,4.41274,22.8472,0.228493,7.11915,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.10138
"MtrElec",1,1,14,"",37.0161,0,0.00792467,0,0,0,0.0152727,0,0.00157046,1.45896,0,0,0,4.41274,23.4856,0.209452,7.20159,0,0.434236,0.738049,0.416328,0,0,0,-1.36565
"MtrElec",1,1,15,"",38.2798,0,0.00240829,0,0,0,0.0152727,0,0.000475535,1.45896,0,0,0,4.41274,24.5389,0.209452,7.10315,0,0.31173,1.34655,0.437497,0,0,0,-1.5574
"MtrElec",1,1,16,"",41.5244,0.0227066,0,0,0,0,0.0152727,0.00594071,0,1.45896,0,0,0,4.93865,25.7089,0.228493,7.24661,0,0.568744,1.30337,0.479835,0,0,0,-0.453037
"MtrElec",1,1,17,"",51.3603,0.637975,0.00234505,0,0,0,0.0152727,0.184344,0.000465633,1.45896,0,0,0,5.46456,28.6239,0.361781,7.16854,0,0.550504,6.29167,0.642132,0,0,0,-0.0421413
"MtrElec",1,1,18,"",57.9423,0.958746,0.0184266,0,0,0,0.0152727,0.299094,0.00368687,1.45896,0,0,0,6.74902,31.933,0.723561,7.56484,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",60.556,0.956421,0.0328691,0,0,0,0.0152727,0.290207,0.006653,1.45896,0,0,0,10.8458,34.0729,0.913972,8.07047,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",70.2282,1.00531,0.0478401,0,0,0,0.0152727,0.30842,0.00981613,1.45896,0,0,0,14.2339,35.2642,1.14247,7.93948,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",63.8104,1.01613,0.0593548,0,0,0,0.0152727,0.316801,0.0122931,1.45896,0,0,0,13.8131,36.4881,1.58041,7.76238,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",63.4963,1.00435,0.0723778,0,0,0,0.0152727,0.318099,0.0151593,1.45896,0,0,0,12.025,36.1513,1.86603,7.45222,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",51.706,0.045726,0.0864983,0,0,0,0.0152727,0.0157928,0.0183225,1.45896,0,0,0,7.30113,31.2653,1.61849,6.93534,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",42.7917,0,0.102906,0,0,0,0.0152727,0,0.0221032,1.45896,0,0,0,4.77676,26.7221,1.12342,6.90763,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",35.1169,0,0.129573,0,0,0,0.0152727,0,0.0284719,1.45896,0,0,0,3.09384,21.9549,0.87589,6.27007,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",41.3001,0,0.162458,0,0,0,0.0152727,0,0.0366995,1.45896,0,6.14185,0,2.67312,20.0694,0.87589,6.07038,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",37.7204,0,0.176185,0,0,0,0.0152727,0,0.0401791,1.45896,0,6.14185,0,2.25239,19.3206,0.87589,5.85506,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",36.1483,0,0.174683,0,0,0,0.0152727,0,0.039713,1.45896,0,6.14185,0,2.46275,19.2101,0.87589,5.74087,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",35.5295,0,0.181479,0,0,0,0.0152727,0,0.0414189,1.45896,0,6.14185,0,2.88348,18.3211,0.87589,5.58177,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",38.8353,0,0.204528,0,0,0,0.0152727,0,0.0473589,1.45896,0,6.14185,0,4.44966,19.9323,0.70452,5.78204,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",44.8435,0,0.221893,0,0,0,0.0152727,0,0.0515155,1.45896,0,6.14185,0,6.3584,23.3625,0.666438,6.43255,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",49.8402,0,0.160153,0,0,0,0.0152727,0,0.0359816,1.45896,0,6.14185,0,8.42304,25.9428,0.647397,7.00544,0,0,0,0.17641,0,0,0,-0.167076
"MtrElec",1,2,9,"",48.7051,0,0.0509621,0,0,0,0.0152727,0,0.0107186,1.45896,0,0,0,11.5157,26.0117,0.628356,6.80563,1.3606,0,1.75036,0.183466,0,0,0,-1.08674
"MtrElec",1,2,10,"",48.2615,0,0.00344989,0,0,0,0.0152727,0,0.000699769,1.45896,0,0,0,11.9498,25.8051,0.53315,6.34488,1.11435,0.739299,1.8495,0.155241,0,0,0,-1.70819
"MtrElec",1,2,11,"",46.4558,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,11.7394,26.0582,0.418904,6.217,0,0.781173,1.67248,0.148184,0,0,0,-2.05386
"MtrElec",1,2,12,"",46.1181,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,11.529,26.0582,0.285616,6.32101,0,0.706407,1.78428,0.204636,0,0,0,-2.24534
"MtrElec",1,2,13,"",45.7227,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,11.1083,26.085,0.228493,6.51492,1.41802,0.753625,0,0.246974,0,0,0,-2.10696
"MtrElec",1,2,14,"",53.8218,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,11.1083,26.5565,0.209452,6.41634,1.0564,0,7.93763,0.225805,0,0,0,-1.16288
"MtrElec",1,2,15,"",49.896,0.161385,0,0,0,0,0.0152727,0.039338,0,1.45896,0,0,0,11.1083,27.3386,0.209452,6.48257,0,3.35262,0,0.239918,0,0,0,-0.510454
"MtrElec",1,2,16,"",48.9524,0.804259,0,0,0,0,0.0152727,0.226415,0,1.45896,0,0,0,11.6342,28.0067,0.228493,6.55583,0,0,0,0.366933,0,0,0,-0.344669
"MtrElec",1,2,17,"",54.4422,1.55647,0,0,0,0,0.0152727,0.462978,0,1.45896,0,0,0,12.1601,30.9818,0.361781,6.78616,0,0,0,0.811486,0,0,0,-0.152848
"MtrElec",1,2,18,"",57.8961,2.43882,0,0,0,0,0.0152727,0.74471,0,1.45896,0,0,0,10.3962,33.352,0.70452,7.42366,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",77.0743,0.776059,0,0,0,0,0.0152727,0.257364,0,1.45896,0,0,0,13.8616,35.1059,0.933013,7.99477,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",73.0484,0.529417,0,0,0,0,0.0152727,0.17923,0,1.45896,0,0,0,17.3326,36.7715,1.23767,7.96735,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",65.5404,0.454425,0,0,0,0,0.0152727,0.153615,0,1.45896,0,0,0,15.8555,37.9399,1.73274,7.6336,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",63.7631,0.412314,0,0,0,0,0.0152727,0.138673,0,1.45896,0,0,0,13.9016,37.4974,1.99931,7.31644,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",51.1237,0.070009,0,0,0,0,0.0152727,0.0240174,0,1.45896,0,0,0,8.31665,32.1726,1.73274,6.87625,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",41.1472,0,0.00895727,0,0,0,0.0152727,0,0.00180692,1.45896,0,0,0,4.77676,27.193,1.19959,6.42225,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",36.4331,0,0.0247424,0,0,0,0.0152727,0,0.00502261,1.45896,0,0,0,3.09384,22.015,0.87589,6.43344,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",31.5309,0,0.0405004,0,0,0,0.0152727,0,0.00831822,1.45896,0,0,0,2.67312,20.2964,0.87589,6.13418,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",29.9526,0,0.0495272,0,0,0,0.0152727,0,0.0102212,1.45896,0,0,0,2.25239,19.2666,0.856849,6.02156,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",29.9712,0,0.0530052,0,0,0,0.0152727,0,0.0109373,1.45896,0,0,0,2.46275,19.2163,0.856849,5.87601,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",29.3045,0,0.0610833,0,0,0,0.0152727,0,0.0126794,1.45896,0,0,0,2.88348,18.2672,0.87589,5.70875,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",31.8368,0,0.0690179,0,0,0,0.0152727,0,0.0144132,1.45896,0,0,0,3.9353,19.7678,0.856849,5.68387,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",39.0869,0,0.0711529,0,0,0,0.0152727,0,0.0149085,1.45896,0,0,0,5.60667,22.2653,0.837808,5.84906,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",43.8919,0,0.0690276,0,0,0,0.0152727,0,0.0144281,1.45896,0,0,0,6.15556,24.4078,0.780684,6.32636,0,1.22368,3.76025,0.190523,0,0,0,-0.510616
"MtrElec",1,3,9,"",45.0641,0,0.0328703,0,0,0,0.0152727,0,0.00672095,1.45896,0,0,0,7.5917,23.5797,0.685479,7.08315,0,1.58822,3.92862,0.338707,0,0,0,-1.24526
"MtrElec",1,3,10,"",40.5208,0,0.0156192,0,0,0,0.0152727,0,0.00315524,1.45896,0,0,0,7.47813,23.4713,0.571233,6.99553,0,1.65933,0.364414,0.338707,0,0,0,-1.85084
"MtrElec",1,3,11,"",42.793,0,0.00558698,0,0,0,0.0152727,0,0.00112392,1.45896,0,0,0,7.43359,24.0007,0.456986,6.88192,1.87284,0.153917,2.45388,0.324594,0,0,0,-2.26642
"MtrElec",1,3,12,"",47.5354,0,0.0000152,0,0,0,0.0152727,0,0.0000031,1.45896,0,0,0,7.22323,23.6659,0.304657,7.02509,5.54949,1.03645,3.34254,0.388102,0,0,0,-2.47429
"MtrElec",1,3,13,"",37.6042,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,5.23141,22.9301,0.228493,7.17434,0,1.41179,1.19283,0.444553,0,0,0,-2.48359
"MtrElec",1,3,14,"",38.7545,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,5.23141,23.5685,0.209452,7.26701,0,0.503817,2.35037,0.416328,0,0,0,-2.26667
"MtrElec",1,3,15,"",40.6624,0,0,0,0,0,0.0152727,0,0,1.45896,0,0,0,5.23141,24.6219,0.209452,7.1787,0,0.992727,2.33895,0.437497,0,0,0,-1.82242
"MtrElec",1,3,16,"",44.2713,0.040147,0.00180186,0,0,0,0.0152727,0.0105527,0.000362125,1.45896,0,0,0,5.75733,25.7918,0.228493,7.29738,0,0.987901,3.36318,0.479835,0,0,0,-1.16171
"MtrElec",1,3,17,"",47.0418,0.598737,0.0113428,0,0,0,0.0152727,0.177944,0.00229102,1.45896,0,0,0,6.28324,28.7068,0.361781,7.23901,0,1.42051,0.472187,0.642132,0,0,0,-0.348342
"MtrElec",1,3,18,"",51.4213,0.727778,0.030426,0,0,0,0.0152727,0.242761,0.00621105,1.45896,0,0,0,6.62189,31.9054,0.723561,7.62656,0,0.199438,0.882206,0.980839,0,0,0,0
"MtrElec",1,3,19,"",57.6355,0.633157,0.0419043,0,0,0,0.0152727,0.203142,0.00860535,1.45896,0,0,0,10.6357,33.9347,0.913972,8.09827,0,0.372617,0.408911,0.910275,0,0,0,0
"MtrElec",1,3,20,"",67.0736,0.663921,0.0513991,0,0,0,0.0152727,0.210241,0.0106088,1.45896,0,0,0,13.9962,35.0984,1.14247,7.9613,4.94912,0.172712,0.835025,0.508061,0,0,0,0
"MtrElec",1,3,21,"",69.5157,0.637021,0.0705337,0,0,0,0.0152727,0.205409,0.0148207,1.45896,0,0,0,13.5754,36.3223,1.58041,7.78689,6.4822,0.352689,0.787964,0.225805,0,0,0,0
"MtrElec",1,3,22,"",65.8981,0.894628,0.0965256,0,0,0,0.0152727,0.289183,0.0207286,1.45896,0,0,0,11.6768,35.8749,1.86603,7.47912,3.41592,0.332812,2.37838,0.0987896,0,0,0,0
"MtrElec",1,3,23,"",51.8184,0.152695,0.10679,0,0,0,0.0152727,0.0554399,0.0230804,1.45896,0,0,0,8.17815,32.1773,1.61849,6.96409,0,1.00456,0,0.0635076,0,0,0,0
"MtrElec",1,3,24,"",41.1835,0,0.108587,0,0,0,0.0152727,0,0.0234567,1.45896,0,0,0,4.77676,26.7221,1.12342,6.91963,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,1,"",36.5643,0,0.117989,0,0,0,0.0152727,0,0.0256643,1.45896,0,0,0,3.09384,22.015,0.87589,6.45068,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,4,2,"",31.6499,0,0.133864,0,0,0,0.0152727,0,0.0295014,1.45896,0,0,0,2.67312,20.2964,0.87589,6.13864,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,4,3,"",39.151,0,0.155525,0,0,0,0.0152727,0,0.0349198,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,6.0152,2.93223,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,4,"",38.2773,0,0.18349,0,0,0,0.0152727,0,0.0421692,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.85974,2.01875,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,5,"",35.5747,0,0.193861,0,0,0,0.0152727,0,0.0448816,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.67215,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,4,6,"",38.0939,0,0.206938,0,0,0,0.0152727,0,0.0478209,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.6278,0,0,0,0.035282,0,0,0,0
"MtrElec",1,4,7,"",42.9675,0,0.263607,0,0,0,0.0152727,0,0.0608618,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.76715,0,0,1.10431,0.070564,0,0,0,0
"MtrElec",1,4,8,"",49.3742,0,0.268798,0,0,0,0.0152727,0,0.061845,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,6.2322,2.31831,0.466428,1.95186,0.190523,0,0,0,-0.395724
"MtrElec",1,4,9,"",47.4111,0,0.199367,0,0,0,0.0152727,0,0.0446071,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,7.01113,2.63279,0.824407,1.35481,0.338707,0,0,0,-1.08442
"MtrElec",1,4,10,"",38.045,0,0.0954381,0,0,0,0.0152727,0,0.0203622,1.45896,0,0,0,4.37902,22.0268,0.571233,6.88327,0,0.57223,3.33459,0.338707,0,0,0,-1.65089
"MtrElec",1,4,11,"",38.8432,0,0.0472089,0,0,0,0.0152727,0,0.00967463,1.45896,0,0,0,4.33448,22.5562,0.456986,6.77802,0,1.40843,3.63303,0.324594,0,0,0,-2.17968
"MtrElec",1,4,12,"",39.1577,0,0.0233286,0,0,0,0.0152727,0,0.00469541,1.45896,0,0,0,4.12411,22.2214,0.304657,6.93532,2.31838,1.53448,2.24647,0.388102,0,0,0,-2.41741
"MtrElec",1,4,13,"",39.9066,0,0.0102409,0,0,0,0.0152727,0,0.0020442,1.45896,0,0,0,4.41274,22.8472,0.228493,7.09681,2.63314,0.948843,2.25336,0.444553,0,0,0,-2.44508
"MtrElec",1,4,14,"",35.9068,0,0.00621788,0,0,0,0.0152727,0,0.00123888,1.45896,0,0,0,4.41274,23.4856,0.209452,7.20038,0,0.951753,0,0.416328,0,0,0,-2.25116
"MtrElec",1,4,15,"",38.7154,0,0.00660481,0,0,0,0.0152727,0,0.00131748,1.45896,0,0,0,4.41274,24.5389,0.209452,7.11676,0,0,2.33895,0.437497,0,0,0,-1.82107
"MtrElec",1,4,16,"",41.5073,0,0.0112623,0,0,0,0.0152727,0,0.00225746,1.45896,0,0,0,4.93865,25.7089,0.228493,7.25119,0,0.987901,1.59922,0.479835,0,0,0,-1.17459
"MtrElec",1,4,17,"",45.2059,0.507334,0.0196148,0,0,0,0.0152727,0.150891,0.00395756,1.45896,0,0,0,5.46456,28.6239,0.361781,7.17532,0,0.675462,0.472187,0.642132,0,0,0,-0.365462
"MtrElec",1,4,18,"",50.6008,0.697026,0.0326349,0,0,0,0.0152727,0.232096,0.00663907,1.45896,0,0,0,6.74902,31.933,0.723561,7.57228,0,0.199438,0,0.980839,0,0,0,0
"MtrElec",1,4,19,"",57.1085,0.576729,0.0511853,0,0,0,0.0152727,0.190438,0.0105453,1.45896,0,0,0,10.8458,34.0729,0.913972,8.0625,0,0,0,0.910275,0,0,0,0
"MtrElec",1,4,20,"",62.3659,0.724574,0.0767135,0,0,0,0.0152727,0.231603,0.0161552,1.45896,0,0,0,14.2339,35.2642,1.14247,7.92069,0,0,0.773323,0.508061,0,0,0,0
