"",001
"Tue 03-Mar-20   3:56:34 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",59.8462,0,12.3617,4.89767,0,0,0.0152727,0,3.01461,1.45896,0,6.14185,0,3.09384,22.015,0.87589,5.93618,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",71.3569,0,21.2025,7.91016,0,0,0.0152727,0,5.08455,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.66987,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",72.8441,0,22.8249,9.01695,0,0,0.0152727,0,5.4244,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",77.7604,0,25.9152,10.055,0,0,0.0152727,0,6.18112,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",85.5671,0,31.7756,11.1997,0,0,0.0152727,0,7.70739,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",88.3682,0,32.2083,10.937,0,0,0.0152727,0,7.81932,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",85.1284,0,26.5727,9.74325,0,0,0.0152727,0,6.33128,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",73.1759,0,21.8954,8.63643,0,0,0.0152727,0,5.12334,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-12.6371
"MtrElec",1,1,9,"",33.8106,0,16.1406,7.08245,0,0,0.0152727,0,3.70506,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-41.9251
"MtrElec",1,1,10,"",17.923,0,7.65053,1.28094,0,0,0.0152727,0,1.68016,1.45896,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-50.4797
"MtrElec",1,1,11,"",-57.5815,0,0.348302,0,0,0,0.0152727,0,0.0752376,1.45896,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-109.943
"MtrElec",1,1,12,"",-46.6664,0,0.173539,0,0,0,0.0152727,0,0.0367791,1.45896,0,0,0,4.12411,22.2214,0.304657,6.50435,6.16207,2.94812,0.0772521,0.388102,0,0,0,-91.081
"MtrElec",1,1,13,"",-88.3623,0,0.0956924,0,0,0,0.0152727,0,0.020073,1.45896,0,0,0,4.41274,22.8472,0.228493,6.63035,6.21322,0.032629,1.02809,0.444553,0,0,0,-131.79
"MtrElec",1,1,14,"",-84.8183,0,0.0487262,0,0,0,0.0152727,0,0.0101442,1.45896,0,0,0,4.41274,23.4856,0.209452,6.72636,0,0.434236,0.738049,0.416328,0,0,0,-122.774
"MtrElec",1,1,15,"",-33.812,0,0.0338807,0,0,0,0.0152727,0,0.00702774,1.45896,0,0,0,4.41274,24.5389,0.209452,6.63005,0,0.31173,1.34655,0.437497,0,0,0,-73.2141
"MtrElec",1,1,16,"",20.3648,0,0.0389278,0,0,0,0.0152727,0,0.00808624,1.45896,0,0,0,4.93865,25.7089,0.228493,6.87993,0,0.568744,1.30337,0.479835,0,0,0,-21.2644
"MtrElec",1,1,17,"",47.5356,0.0613755,0.0690449,0,0,0,0.0152727,0.0162101,0.0143686,1.45896,0,0,0,5.46456,28.6239,0.361781,6.63984,0,0.550504,6.29167,0.642132,0,0,0,-2.67393
"MtrElec",1,1,18,"",57.1751,0.644691,0.128182,0,0,0,0.0152727,0.192306,0.0268179,1.45896,0,0,0,6.74902,31.933,0.723561,7.08561,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",59.6812,0.378141,0.190148,0,0,0,0.0152727,0.123965,0.0401173,1.45896,0,0,0,10.8458,34.0729,0.913972,7.74945,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",69.2897,0.368441,0.246598,0,0,0,0.0152727,0.124281,0.0524466,1.45896,0,0,0,14.2339,35.2642,1.14247,7.58057,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",62.8596,0.363056,0.309422,0,0,0,0.0152727,0.125537,0.0664058,1.45896,0,0,0,13.8131,36.4881,1.58041,7.35178,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",68.7994,0.350823,0.408038,0,0,0,0.0152727,0.125482,0.0888238,1.45896,0,6.14185,0,12.025,36.1513,1.86603,7.0503,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",58.0919,0,0.79413,0,0,0,0.0152727,0,0.173769,1.45896,0,6.14185,0,7.30113,31.2653,1.61849,6.3779,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",54.192,0,4.21074,0.594064,0,0,0.0152727,0,0.935988,1.45896,0,6.14185,0,4.77676,26.7221,1.12342,6.55029,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",50.7387,0,5.89691,2.92143,0,0,0.0152727,0,1.36022,1.45896,0,6.14185,0,3.09384,21.9549,0.87589,5.72949,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",52.6728,0,7.01251,3.37787,0,0,0.0152727,0,1.63655,1.45896,0,6.14185,0,2.67312,20.0694,0.87589,5.61532,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",55.9654,0,11.2019,5.09203,0,0,0.0152727,0,2.61514,1.45896,0,6.14185,0,2.25239,19.3206,0.87589,5.40731,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",56.6086,0,12.3994,5.82892,0,0,0.0152727,0,2.86624,1.45896,0,6.14185,0,2.46275,19.2101,0.87589,5.32093,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",57.134,0,12.937,6.37709,0,0,0.0152727,0,2.95878,1.45896,0,6.14185,0,2.88348,18.3211,0.87589,5.13627,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",58.3559,0,11.7868,5.80374,0,0,0.0152727,0,2.6835,1.45896,0,6.14185,0,4.44966,19.9323,0.70452,5.28053,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",55.2676,0,8.70746,0.461226,0,0,0.0152727,0,1.91875,1.45896,0,6.14185,0,6.3584,23.3625,0.666438,6.04263,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",49.1974,0,8.10884,0,0,0,0.0152727,0,1.77068,1.45896,0,6.14185,0,8.42304,25.9428,0.647397,6.71653,0,0,0,0.17641,0,0,0,-10.2043
"MtrElec",1,2,9,"",60.1826,0,8.95665,0,0,0,0.0152727,0,1.94655,1.45896,0,6.14185,0,11.5157,26.0117,0.628356,6.48949,1.3606,0,1.75036,0.183466,0,0,0,-6.27645
"MtrElec",1,2,10,"",34.1005,0,6.03481,0,0,0,0.0152727,0,1.29474,1.45896,0,0,0,11.9498,25.8051,0.53315,5.9349,1.11435,0.739299,1.8495,0.155241,0,0,0,-22.7846
"MtrElec",1,2,11,"",23.4143,0,4.01553,0,0,0,0.0152727,0,0.857438,1.45896,0,0,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-29.5242
"MtrElec",1,2,12,"",36.0489,0,4.85695,0,0,0,0.0152727,0,1.03744,1.45896,0,0,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-17.7397
"MtrElec",1,2,13,"",47.1416,0,7.5604,0,0,0,0.0152727,0,1.62988,1.45896,0,6.14185,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-15.5883
"MtrElec",1,2,14,"",58.5809,0,8.35817,0,0,0,0.0152727,0,1.81147,1.45896,0,6.14185,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-12.2215
"MtrElec",1,2,15,"",57.9956,0,7.59933,0,0,0,0.0152727,0,1.64399,1.45896,0,6.14185,0,11.1083,27.3386,0.209452,6.07156,0,3.35262,0,0.239918,0,0,0,-7.18428
"MtrElec",1,2,16,"",62.373,0.257783,9.33688,0,0,0,0.0152727,0.0702049,2.02511,1.45896,0,6.14185,0,11.6342,28.0067,0.228493,6.10699,0,0,0,0.366933,0,0,0,-3.27639
"MtrElec",1,2,17,"",66.3983,0.680611,6.06067,0,0,0,0.0152727,0.218372,1.30566,1.45896,0,6.14185,0,12.1601,30.9818,0.361781,6.20171,0,0,0,0.811486,0,0,0,0
"MtrElec",1,2,18,"",66.1398,0.734407,4.0301,0,0,0,0.0152727,0.268477,0.86994,1.45896,0,6.14185,0,10.3962,33.352,0.70452,6.80619,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",84.1459,0.268803,1.76754,0,0,0,0.0152727,0.102235,0.378882,1.45896,0,6.14185,0,13.8616,35.1059,0.933013,7.44042,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",80.615,0.205274,1.8876,0,0,0,0.0152727,0.0789099,0.405116,1.45896,0,6.14185,0,17.3326,36.7715,1.23767,7.5238,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",73.1291,0.182096,1.91018,0,0,0,0.0152727,0.0690602,0.409642,1.45896,0,6.14185,0,15.8555,37.9399,1.73274,7.1175,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",65.1506,0.169877,1.87639,0,0,0,0.0152727,0.0634757,0.401369,1.45896,0,0,0,13.9016,37.4974,1.99931,6.74376,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",53.7942,0,2.75297,0,0,0,0.0152727,0,0.593791,1.45896,0,0,0,8.31665,32.1726,1.73274,6.29402,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",45.1821,0,3.90371,0,0,0,0.0152727,0,0.847088,1.45896,0,0,0,4.77676,27.193,1.19959,5.71714,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",41.5764,0,4.6827,0,0,0,0.0152727,0,1.01238,1.45896,0,0,0,3.09384,22.015,0.87589,5.91139,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",39.3136,0,6.82341,0,0,0,0.0152727,0,1.4771,1.45896,0,0,0,2.67312,20.2964,0.87589,5.66519,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",48.7324,0,10.7974,0,0,0,0.0152727,0,2.35599,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.56585,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",52.5452,0,13.8765,0,0,0,0.0152727,0,3.05967,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",66.5622,0,19.2769,7.95779,0,0,0.0152727,0,4.44319,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",68.4434,0,18.281,8.53702,0,0,0.0152727,0,4.22173,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",68.2699,0,13.9355,6.57605,0,0,0.0152727,0,3.18199,1.45896,0,6.14185,0,5.60667,22.2653,0.837808,5.28269,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",20.7459,0,8.49658,3.92313,0,0,0.0152727,0,1.92231,1.45896,0,6.14185,0,6.15556,24.4078,0.780684,5.78884,0,1.22368,3.76025,0.190523,0,0,0,-43.5195
"MtrElec",1,3,9,"",-46.0403,0,2.16117,0.527874,0,0,0.0152727,0,0.475327,1.45896,0,6.14185,0,7.5917,23.5797,0.685479,6.72665,0,1.58822,3.92862,0.338707,0,0,0,-101.26
"MtrElec",1,3,10,"",-105.905,0,0.144667,0,0,0,0.0152727,0,0.0310458,1.45896,0,0,0,7.47813,23.4713,0.571233,6.49053,0,1.65933,0.364414,0.338707,0,0,0,-147.929
"MtrElec",1,3,11,"",-136.035,0,0.0776782,0,0,0,0.0152727,0,0.0164237,1.45896,0,0,0,7.43359,24.0007,0.456986,6.40323,1.87284,0.153917,2.45388,0.324594,0,0,0,-180.703
"MtrElec",1,3,12,"",-145.867,0,0.0584094,0,0,0,0.0152727,0,0.0122943,1.45896,0,0,0,7.22323,23.6659,0.304657,6.53747,5.54949,1.03645,3.34254,0.388102,0,0,0,-195.46
"MtrElec",1,3,13,"",-154.162,0,0.0565215,0,0,0,0.0152727,0,0.011878,1.45896,0,0,0,5.23141,22.9301,0.228493,6.67696,0,1.41179,1.19283,0.444553,0,0,0,-193.821
"MtrElec",1,3,14,"",-134.536,0,0.0435267,0,0,0,0.0152727,0,0.00911553,1.45896,0,0,0,5.23141,23.5685,0.209452,6.77808,0,0.503817,2.35037,0.416328,0,0,0,-175.121
"MtrElec",1,3,15,"",-95.3091,0,0.0309555,0,0,0,0.0152727,0,0.00646265,1.45896,0,0,0,5.23141,24.6219,0.209452,6.68317,0,0.992727,2.33895,0.437497,0,0,0,-137.336
"MtrElec",1,3,16,"",-40.4818,0,0.02803,0,0,0,0.0152727,0,0.00585019,1.45896,0,0,0,5.75733,25.7918,0.228493,6.927,0,0.987901,3.36318,0.479835,0,0,0,-85.5254
"MtrElec",1,3,17,"",20.1052,0.0173414,0.0434994,0,0,0,0.0152727,0.0046646,0.00911669,1.45896,0,0,0,6.28324,28.7068,0.361781,6.72719,0,1.42051,0.472187,0.642132,0,0,0,-26.0574
"MtrElec",1,3,18,"",50.8703,0.541929,0.17199,0,0,0,0.0152727,0.167442,0.0363857,1.45896,0,0,0,6.62189,31.9054,0.723561,7.16508,0,0.199438,0.882206,0.980839,0,0,0,0
