"",001
"Tue 03-Mar-20   4:12:42 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",61.2068,0,17.6831,0,0,0,0.0152727,0,3.98671,1.45896,0,6.14185,0,3.09384,22.015,0.87589,5.90091,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",62.0555,0,19.5101,0.966336,0,0,0.0152727,0,4.42856,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",70.3292,0,19.9761,10.1112,0,0,0.0152727,0,4.66413,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",71.838,0,20.8067,10.5564,0,0,0.0152727,0,4.86584,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",58.2786,0,19.0997,0,0,0,0.0152727,0,4.29463,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",55.0492,0,14.4536,0,0,0,0.0152727,0,3.19195,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",50.3155,0,11.4706,0,0,0,0.0152727,0,2.50565,1.45896,0,0,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",54.7518,0,8.82942,0,0,0,0.0152727,0,1.90638,1.45896,0,0,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",50.1966,0,6.2256,0,0,0,0.0152727,0,1.33405,1.45896,0,0,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-0.0287811
"MtrElec",1,1,10,"",56.075,0,3.75062,0,0,0,0.0152727,0,0.804619,1.45896,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.129474
"MtrElec",1,1,11,"",54.1669,0,2.14333,0,0,0,0.0152727,0,0.457427,1.45896,0,0,0,4.33448,22.5562,0.456986,6.38614,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.371969
"MtrElec",1,1,12,"",47.8605,0,3.51986,0,0,0,0.0152727,0,0.753974,1.45896,0,0,0,4.12411,22.2214,0.304657,6.49851,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.611773
"MtrElec",1,1,13,"",48.083,0,4.37784,0,0,0,0.0152727,0,0.944416,1.45896,0,0,0,4.41274,22.8472,0.228493,6.60813,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.528552
"MtrElec",1,1,14,"",45.5155,0,6.55709,0,0,0,0.0152727,0,1.42232,1.45896,0,0,0,4.41274,23.4856,0.209452,6.68194,0,0.434236,0.738049,0.416328,0,0,0,-0.316453
"MtrElec",1,1,15,"",46.3521,0,6.14561,0,0,0,0.0152727,0,1.33339,1.45896,0,0,0,4.41274,24.5389,0.209452,6.55819,0,0.31173,1.34655,0.437497,0,0,0,-0.41629
"MtrElec",1,1,16,"",46.5774,0,4.46048,0,0,0,0.0152727,0,0.968948,1.45896,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.366163
"MtrElec",1,1,17,"",54.1854,0,3.63684,0,0,0,0.0152727,0,0.788332,1.45896,0,0,0,5.46456,28.6239,0.361781,6.53653,0,0.550504,6.29167,0.642132,0,0,0,-0.18505
"MtrElec",1,1,18,"",68.0808,0.173889,4.61589,0,0,0,0.0152727,0.049054,1.01037,1.45896,0,6.14185,0,6.74902,31.933,0.723561,6.99224,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",71.0476,0.219751,4.7033,0,0,0,0.0152727,0.0666778,1.03207,1.45896,0,6.14185,0,10.8458,34.0729,0.913972,7.68456,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",81.3536,0.239157,5.05321,0.296684,0,0,0.0152727,0.0780946,1.12236,1.45896,0,6.14185,0,14.2339,35.2642,1.14247,7.50494,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",80.8735,0.249726,7.26617,3.52966,0,0,0.0152727,0.0878507,1.69283,1.45896,0,6.14185,0,13.8131,36.4881,1.58041,7.26203,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",84.3654,0.243315,9.63102,4.38948,0,0,0.0152727,0.0903648,2.27672,1.45896,0,6.14185,0,12.025,36.1513,1.86603,6.95856,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",83.8111,0,16.0623,6.92771,0,0,0.0152727,0,3.82038,1.45896,0,6.14185,0,7.30113,31.2653,1.61849,6.25466,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",86.6206,0,23.1074,9.58571,0,0,0.0152727,0,5.54121,1.45896,0,6.14185,0,4.77676,26.7221,1.12342,6.48539,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",90.4704,0,30.79,11.6291,0,0,0.0152727,0,7.56334,1.45896,0,6.14185,0,3.09384,21.9549,0.87589,5.65724,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",96.599,0,34.9456,12.3459,0,0,0.0152727,0,8.70221,1.45896,0,6.14185,0,2.67312,20.0694,0.87589,5.57481,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",95.7445,0,36.5814,12.9844,0,0,0.0152727,0,9.1443,1.45896,0,6.14185,0,2.25239,19.3206,0.87589,5.38537,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",99.7617,0,38.7319,15.7802,0,0,0.0152727,0,9.74267,1.45896,0,6.14185,0,2.46275,19.2101,0.87589,5.31379,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",99.2815,0,38.9849,15.6275,0,0,0.0152727,0,9.80831,1.45896,0,6.14185,0,2.88348,18.3211,0.87589,5.13591,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",90.6299,0,32.4229,12.1551,0,0,0.0152727,0,7.97002,1.45896,0,6.14185,0,4.44966,19.9323,0.70452,5.28053,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",88.2856,0,26.9944,10.5985,0,0,0.0152727,0,6.51265,1.45896,0,6.14185,0,6.3584,23.3625,0.666438,6.04263,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",93.3249,0,26.6337,10.7595,0,0,0.0152727,0,6.4095,1.45896,0,6.14185,0,8.42304,25.9428,0.647397,6.71653,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",97.5971,0,25.5152,10.5941,0,0,0.0152727,0,6.11281,1.45896,0,6.14185,0,11.5157,26.0117,0.628356,6.48949,1.3606,0,1.75036,0.183466,0,0,0,-0.180873
