16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 13:23:23"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU\cz03\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.01412,0,0.427597,0,0.0220009,0,0.906753,1.75792,6.45223,0.256709,0,0,11.8373,0,0,0,0,0.210594,0,0,0.006564,0,0,0.217158,0,0,0,0,0,0,0,0,0,0,0,28.1055,352.219,0,0.000247243,0.004509,
1,1,2,2.07998,0,0.427597,0,0.0220009,0,0.783447,1.67988,5.94853,0.256709,0,0,11.1982,0,0,0,0,0.106089,0,0,0.0052512,0,0,0.11134,0,0,0,0,0,0,0,0,0,0,0,28.0897,352.219,0,0.000246894,0.004509,
1,1,3,2.127,0,0.427597,0,0.0220009,0,0.660138,1.64611,5.64672,0.251128,0,0,10.7807,0,0,0,0,0.0830597,0,0,0.0039384,0,0,0.0869981,0,0,0,0,0,0,0,0,0,0,0,28.0331,352.219,0,0.000246589,0.004509,
1,1,4,2.40709,0,0.427597,0,0.0220009,0,0.721791,1.60627,5.63198,0.251128,0,0,11.0679,0,0,0,0,0.0802822,0,0,0.0039384,0,0,0.0842206,0,0,0,0,0,0,0,0,0,0,0,27.9402,352.219,0,0.000241921,0.004509,
1,1,5,2.83184,0,0.427597,0,0.0220009,0,0.8451,1.54091,5.35381,0.256709,0,0,11.278,0,0,0,0,0.0858628,0,0,0.0039384,0,0,0.0898012,0,0,0,0,0,0,0,0,0,0,0,28.0605,352.219,0,0.00024575,0.004509,
1,1,6,2.50545,0,0.427597,0,0.0220009,0,1.15337,1.53494,5.79361,0.251128,0,0,11.6881,0,0,0,0,0.757456,0,0,0.006564,0,0,0.76402,0,0,0,0,0,0,0,0,0,0,0,28.1014,352.219,0,0.000247852,0.004509,
1,1,7,2.10933,0,0.427597,0,0.0220009,0,1.49247,1.98969,6.4932,0.245547,0,0,12.7798,0,0,0,0,0.397768,0,0,0.013128,0,0,0.410896,0,0,0,0,0,0,0,0,0,0,0,28.1234,352.219,0,0.000248481,0.004509,
1,1,8,2.08779,0,0.427597,0,0.0220009,0,1.64524,3.48357,7.11301,0.228805,0,0,15.008,0,0,0,0,0.769104,0,0,0.160029,0,0,0.929133,0,0,0,0,0,0,0,0,0,0,0,28.1131,352.219,0,0.000248005,0.004509,
1,1,9,2.50515,0,0.427597,0,0.0220009,0,1.43755,3.72887,6.70668,0.200902,-0.186488,0,14.8423,0,0,0,0,1.13594,0,0,0.525414,0,0,1.66135,0,0,0,0,0,0,0,0,0,0,0,28.0979,352.219,0,0.000243441,0.004509,
1,1,10,2.17138,0,0.427597,0,0.0220009,0,1.28342,6.79984,6.45569,0.167419,-1.53199,0,15.7953,0,0,0,0,1.07444,0,0,0.361256,0,0,1.4357,0,0,0,0,0,0,0,0,0,0,0,27.6093,352.219,0,0.000204114,0.004509,
1,1,11,1.18092,0,0.427597,0,0.0220009,0,1.27036,6.77495,6.61084,0.133935,-2.50749,0,13.9131,0,0,0,0,0.734115,0,0,1.09974,0,0,1.83385,0,0,0,0,0,0,0,0,0,0,0,27.3575,352.219,0,0.000185689,0.004509,
1,1,12,1.4643,0,0.427597,0,0.0220009,0,1.20871,4.70997,6.51272,0.0892899,-5.36404,0,9.07055,0,0,0,0,0.857814,0,0,0.681648,0,0,1.53946,0,0,0,0,0,0,0,0,0,0,0,26.9501,352.219,0,0.000170892,0.004509,
1,1,13,1.63365,0,0.427597,0,0.0220009,0,1.2933,4.1972,6.69613,0.0669675,-5.94062,0,8.39623,0,0,0,0,0.583465,0,0,0.0894516,0,0,0.672917,0,0,0,0,0,0,0,0,0,0,0,26.3942,352.219,0,0.000161225,0.004509,
1,1,14,1.8391,0,0.427597,0,0.0220009,0,1.2933,2.42329,6.88324,0.0613869,-4.78614,0,8.16378,0,0,0,0,0.344932,0,0,0.167222,0,0,0.512154,0,0,0,0,0,0,0,0,0,0,0,26.8381,352.219,0,0.000166253,0.004509,
