"",002
"Tue 03-Mar-20   1:52:15 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",33.7894,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,3.09384,22.015,0.87589,6.23536,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",31.3411,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.67312,20.2964,0.87589,5.93343,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",29.7347,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.25239,19.2666,0.856849,5.80366,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",29.7411,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,2.46275,19.2163,0.856849,5.65,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",29.0258,0,0,0,0,0,0.0750671,0,0.00665801,1.45896,0,0,0,2.88348,18.2672,0.87589,5.43742,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",31.529,0,0,0,0,0,0.0750671,0,0.0121836,1.45896,0,0,0,3.9353,19.7678,0.856849,5.3876,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",36.6781,0,0,0,0,0,0.0750671,0,0.0797652,1.45896,0,0,0,5.09231,22.1548,0.837808,5.48196,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",45.0654,0,0,0,0,0,0.0750671,0,1.03208,1.45896,0,0,0,5.61357,24.2696,0.780684,5.96656,0,0.602657,5.29585,0.190523,0,0,0,-0.220125
"MtrElec",1,1,9,"",42.6695,0,0,0,0,0,0.0750671,0,0.313575,1.45896,0,0,0,4.90493,22.8832,0.685479,6.85743,0,2.23681,3.41576,0.338707,0,0,0,-0.500392
"MtrElec",1,1,10,"",50.8978,0,0,0,0,0,0.0750671,0,0.0625763,1.45896,0,0,0,4.37902,22.0268,0.571233,6.66854,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.05432
"MtrElec",1,1,11,"",50.8263,0,0,0,0,0,0.0750671,0,0.030994,1.45896,0,0,0,4.33448,22.5562,0.456986,6.56699,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.38347
