"",002
"Tue 03-Mar-20   1:55:10 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",40.5427,0,0.369622,0.155477,0,0,0.0750671,0,0.0862857,1.45896,0,6.14185,0,3.09384,22.015,0.87589,6.23544,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",38.1851,0,0.408306,0.197309,0,0,0.0750671,0,0.0964981,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.9335,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",38.1749,0,1.35382,0.63776,0,0,0.0750671,0,0.30674,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.80372,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",41.2645,0,3.17665,1.48228,0,0,0.0750671,0,0.721465,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.65123,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",43.5386,0,4.96844,2.2501,0,0,0.0750671,0,1.15092,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.44554,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",46.5527,0,5.26673,2.38808,0,0,0.0750671,0,1.2225,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.4043,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",50.2347,0,4.40296,2.05192,0,0,0.0750671,0,1.01132,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.51033,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",36.6284,0,2.58129,0.736204,0,0,0.0750671,0,0.576927,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,5.99631,0,0.602657,5.29585,0.190523,0,0,0,-17.6911
"MtrElec",1,1,9,"",10.2309,0,1.18812,0,0,0,0.0750671,0,0.258553,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,6.85926,0,2.23681,3.41576,0.338707,0,0,0,-40.2158
"MtrElec",1,1,10,"",-32.4661,0,0.309552,0,0,0,0.0750671,0,0.0679403,1.45896,0,0,0,4.37902,22.0268,0.571233,6.66985,3.02482,1.44271,11.9037,0.338707,0,0,0,-84.7345
"MtrElec",1,1,11,"",-58.8125,0,0.158767,0,0,0,0.0750671,0,0.0337689,1.45896,0,0,0,4.33448,22.5562,0.456986,6.57026,4.39771,5.02777,6.97994,0.324594,0,0,0,-111.187
"MtrElec",1,1,12,"",-103.034,0,0.0722823,0,0,0,0.0750671,0,0.0150108,1.45896,0,0,0,4.12411,22.2214,0.304657,6.72185,6.16207,2.94812,0.0772521,0.388102,0,0,0,-147.603
"MtrElec",1,1,13,"",-108.681,0,0.0217528,0,0,0,0.0750671,0,0.00445995,1.45896,0,0,0,4.41274,22.8472,0.228493,6.87282,6.21322,0.032629,1.02809,0.444553,0,0,0,-152.321
"MtrElec",1,1,14,"",-108.456,0,0.00171895,0,0,0,0.0750671,0,0.000350121,1.45896,0,0,0,4.41274,23.4856,0.209452,6.97172,0,0.434236,0.738049,0.416328,0,0,0,-146.661
"MtrElec",1,1,15,"",-31.2556,0,0,0,0,0,0.0750671,0,0,1.45896,0,0,0,4.41274,24.5389,0.209452,6.88471,0,0.31173,1.34655,0.437497,0,0,0,-70.9312
"MtrElec",1,1,16,"",9.0612,0,0.00371882,0,0,0,0.0750671,0,0.000759562,1.45896,0,0,0,4.93865,25.7089,0.228493,7.07501,0,0.568744,1.30337,0.479835,0,0,0,-32.7803
"MtrElec",1,1,17,"",47.7371,0.40986,0.0215646,0,0,0,0.0750671,0.113534,0.00442385,1.45896,0,0,0,5.46456,28.6239,0.361781,6.91657,0,0.550504,6.29167,0.642132,0,0,0,-3.19735
"MtrElec",1,1,18,"",57.4944,0.718946,0.0430587,0,0,0,0.0750671,0.225864,0.00890028,1.45896,0,0,0,6.74902,31.933,0.723561,7.34031,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",59.8899,0.462355,0.0766693,0,0,0,0.0750671,0.154514,0.0160456,1.45896,0,0,0,10.8458,34.0729,0.913972,7.92117,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",69.5037,0.440322,0.135338,0,0,0,0.0750671,0.150668,0.0287839,1.45896,0,0,0,14.2339,35.2642,1.14247,7.77142,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",63.0694,0.429277,0.182759,0,0,0,0.0750671,0.149166,0.0393599,1.45896,0,0,0,13.8131,36.4881,1.58041,7.56561,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",62.8388,0.423107,0.260576,0,0,0,0.0750671,0.148265,0.0562597,1.45896,0,0,0,12.025,36.1513,1.86603,7.25664,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",51.7466,0.00980193,0.333087,0,0,0,0.0750671,0.00343505,0.0723972,1.45896,0,0,0,7.30113,31.2653,1.61849,6.66382,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",49.226,0,0.432314,0,0,0,0.0750671,0,0.0951608,1.45896,0,6.14185,0,4.77676,26.7221,1.12342,6.73787,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",41.5074,0,0.495471,0,0,0,0.0750671,0,0.109859,1.45896,0,6.14185,0,3.09384,21.9549,0.87589,6.01159,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",41.5602,0,0.506317,0,0,0,0.0750671,0,0.112464,1.45896,0,6.14185,0,2.67312,20.0694,0.87589,5.85108,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",37.9281,0,0.470541,0,0,0,0.0750671,0,0.103968,1.45896,0,6.14185,0,2.25239,19.3206,0.87589,5.64484,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",30.1654,0,0.411927,0,0,0,0.0750671,0,0.0901115,1.45896,0,0,0,2.46275,19.2101,0.87589,5.5523,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",29.5049,0,0.388062,0,0,0,0.0750671,0,0.0845075,1.45896,0,0,0,2.88348,18.3211,0.87589,5.3896,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",32.7297,0,0.35956,0,0,0,0.0750671,0,0.0781671,1.45896,0,0,0,4.44966,19.9323,0.70452,5.57275,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",38.7325,0,0.328485,0,0,0,0.0750671,0,0.0710837,1.45896,0,0,0,6.3584,23.3625,0.666438,6.27746,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",43.8757,0,0.207355,0,0,0,0.0750671,0,0.0448693,1.45896,0,0,0,8.42304,25.9428,0.647397,6.89988,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",49.3342,0,0.110981,0,0,0,0.0750671,0,0.0236224,1.45896,0,0,0,11.5157,26.0117,0.628356,6.69462,1.3606,0,1.75036,0.183466,0,0,0,-0.479351
"MtrElec",1,2,10,"",44.6273,0,0.102441,0,0,0,0.0750671,0,0.0217706,1.45896,0,0,0,11.9498,25.8051,0.53315,6.17929,1.11435,0.739299,1.8495,0.155241,0,0,0,-5.35667
"MtrElec",1,2,11,"",21.6741,0,0.0935401,0,0,0,0.0750671,0,0.0198463,1.45896,0,0,0,11.7394,26.0582,0.418904,6.00068,0,0.781173,1.67248,0.148184,0,0,0,-26.7923
"MtrElec",1,2,12,"",27.8244,0,0.0867955,0,0,0,0.0750671,0,0.0183926,1.45896,0,0,0,11.529,26.0582,0.285616,6.06516,0,0.706407,1.78428,0.204636,0,0,0,-20.4482
"MtrElec",1,2,13,"",33.604,0,0.103618,0,0,0,0.0750671,0,0.0220257,1.45896,0,0,0,11.1083,26.085,0.228493,6.25998,1.41802,0.753625,0,0.246974,0,0,0,-14.1561
"MtrElec",1,2,14,"",40.9104,0,0.0839875,0,0,0,0.0750671,0,0.0177884,1.45896,0,0,0,11.1083,26.5565,0.209452,6.1068,1.0564,0,7.93763,0.225805,0,0,0,-13.9263
"MtrElec",1,2,15,"",38.0263,0,0.0824504,0,0,0,0.0750671,0,0.0174579,1.45896,0,0,0,11.1083,27.3386,0.209452,6.21748,0,3.35262,0,0.239918,0,0,0,-12.074
"MtrElec",1,2,16,"",40.9927,0.548599,0.324906,0,0,0,0.0750671,0.154562,0.0685114,1.45896,0,0,0,11.6342,28.0067,0.228493,6.26525,0,0,0,0.366933,0,0,0,-8.13952
"MtrElec",1,2,17,"",51.4525,0.739476,0.0740961,0,0,0,0.0750671,0.244184,0.0156491,1.45896,0,0,0,12.1601,30.9818,0.361781,6.40278,0,0,0,0.811486,0,0,0,-1.87281
"MtrElec",1,2,18,"",55.76,0.935288,0.113372,0,0,0,0.0750671,0.321735,0.0240674,1.45896,0,0,0,10.3962,33.352,0.70452,7.01682,0,0,0,1.36188,0,0,0,0
"MtrElec",1,2,19,"",76.3954,0.350952,0.145526,0,0,0,0.0750671,0.126353,0.0310448,1.45896,0,0,0,13.8616,35.1059,0.933013,7.63556,15.4012,0,0,1.27015,0,0,0,0
"MtrElec",1,2,20,"",72.677,0.270867,0.152938,0,0,0,0.0750671,0.098212,0.0326701,1.45896,0,0,0,17.3326,36.7715,1.23767,7.6901,6.86486,0,0,0.691527,0,0,0,0
"MtrElec",1,2,21,"",65.21,0.238775,0.169958,0,0,0,0.0750671,0.086233,0.0364201,1.45896,0,0,0,15.8555,37.9399,1.73274,7.32003,0,0,0,0.296369,0,0,0,0
"MtrElec",1,2,22,"",63.439,0.219898,0.174096,0,0,0,0.0750671,0.0790886,0.0373351,1.45896,0,0,0,13.9016,37.4974,1.99931,6.97311,0,0,0.882062,0.141128,0,0,0,0
"MtrElec",1,2,23,"",51.0065,0.0243634,0.191071,0,0,0,0.0750671,0.00866128,0.0411044,1.45896,0,0,0,8.31665,32.1726,1.73274,6.5281,0,0.372557,0,0.0846768,0,0,0,0
"MtrElec",1,2,24,"",41.0244,0,0.20521,0,0,0,0.0750671,0,0.0442634,1.45896,0,0,0,4.77676,27.193,1.19959,6.001,0,0,0,0.070564,0,0,0,0
"MtrElec",1,3,1,"",36.431,0,0.230503,0,0,0,0.0750671,0,0.049999,1.45896,0,0,0,3.09384,22.015,0.87589,6.12077,2.4757,0,0,0.035282,0,0,0,0
"MtrElec",1,3,2,"",31.6989,0,0.361852,0,0,0,0.0750671,0,0.0795738,1.45896,0,0,0,2.67312,20.2964,0.87589,5.84981,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,3,3,"",39.1063,0,2.7069,0,0,0,0.0750671,0,0.590653,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.73581,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,4,"",41.651,0,4.43954,0.398031,0,0,0.0750671,0,0.995031,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.58549,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,5,"",45.0978,0,5.76917,2.88736,0,0,0.0750671,0,1.34477,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.37292,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,3,6,"",48.2494,0,6.19669,2.99895,0,0,0.0750671,0,1.45302,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.32967,0,0,0,0.035282,0,0,0,0
"MtrElec",1,3,7,"",55.4264,0,6.29006,2.87829,0,0,0.0750671,0,1.47825,1.45896,0,6.14185,0,5.60667,22.2653,0.837808,5.42634,0,0,2.89718,0.070564,0,0,0,0
"MtrElec",1,3,8,"",12.345,0,3.29456,1.45616,0,0,0.0750671,0,0.753628,1.45896,0,6.14185,0,6.15556,24.4078,0.780684,5.91382,0,1.22368,3.76025,0.190523,0,0,0,-43.2675
"MtrElec",1,3,9,"",-50.803,0,0.413748,0,0,0,0.0750671,0,0.0914008,1.45896,0,6.14185,0,7.5917,23.5797,0.685479,6.80817,0,1.58822,3.92862,0.338707,0,0,0,-103.505
