16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 16:50:01"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU\cz16\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,33.568,0,0.427597,0,0.0220009,0,1.93299,3.34286,5.08716,0,0,0,44.3806,0,0,0,0,0.27429,0,0,0.135015,0,0,0.409305,0,0,0,0,0,0,0,0,0,0,0,28.5022,353.349,0,0.000249403,0.004509,
1,1,2,35.027,0,0.427597,0,0.0220009,0,1.63121,3.31038,4.81685,0,0,0,45.235,0,0,0,0,0.141631,0,0,0.127717,0,0,0.269348,0,0,0,0,0,0,0,0,0,0,0,28.4815,353.349,0,0.000249051,0.004509,
1,1,3,33.6146,0,0.427597,0,0.0220009,0,1.32942,3.29414,4.68171,0,0,0,43.3695,0,0,0,0,0.113423,0,0,0.124068,0,0,0.237491,0,0,0,0,0,0,0,0,0,0,0,28.398,353.349,0,0.000248744,0.004509,
1,1,4,35.1606,0,0.427597,0,0.0220009,0,1.48032,3.29414,4.68171,0,0,0,45.0664,0,0,0,0,0.109981,0,0,0.124068,0,0,0.234049,0,0,0,0,0,0,0,0,0,0,0,28.3306,353.349,0,0.000244034,0.004509,
1,1,5,34.9229,0,0.427597,0,0.0220009,0,1.7821,3.26165,4.4114,0,0,0,44.8277,0,0,0,0,0.116854,0,0,0.11677,0,0,0.233623,0,0,0,0,0,0,0,0,0,0,0,28.3749,353.349,0,0.000247897,0.004509,
1,1,6,32.1248,0,0.427597,0,0.0220009,0,2.53656,3.32662,4.95202,0,0,0,43.3896,0,0,0,0,0.971337,0,0,0.131366,0,0,1.1027,0,0,0,0,0,0,0,0,0,0,0,28.4937,353.349,0,0.000250017,0.004509,
1,1,7,32.7347,0,0.427597,0,0.0220009,0,3.36647,3.42408,5.76295,0,0,0,45.7378,0,0,0,0,0.502783,0,0,0.15326,0,0,0.656043,0,0,0,0,0,0,0,0,0,0,0,28.5202,353.349,0,0.000250652,0.004509,
1,1,8,34.4439,0,0.427597,0,0.0220009,0,3.47462,3.45656,6.18177,0,0,0,48.0065,0,0,0,0,0.957583,0,0,0.160558,0,0,1.11814,0,0,0,0,0,0,0,0,0,0,0,28.5039,353.349,0,0.000250171,0.004509,
1,1,9,34.4223,0,0.427597,0,0.0220009,0,2.9546,3.34286,5.24379,0,0,0,46.4131,0,0,0,0,1.42347,0,0,0.135015,0,0,1.55848,0,0,0,0,0,0,0,0,0,0,0,28.3057,353.349,0,0.000245568,0.004509,
1,1,10,35.0402,0,0.427597,0,0.0220009,0,2.57737,3.26165,4.568,0,0,0,45.8968,0,0,0,0,1.33243,0,0,0.11677,0,0,1.4492,0,0,0,0,0,0,0,0,0,0,0,26.6461,353.349,0,0.000205897,0.004509,
1,1,11,35.1915,0,0.427597,0,0.0220009,0,2.47508,3.2779,4.75176,0,0,0,46.1458,0,0,0,0,0.912505,0,0,0.120419,0,0,1.03292,0,0,0,0,0,0,0,0,0,0,0,26.0495,353.349,0,0.000187311,0.004509,
1,1,12,34.8904,0,0.427597,0,0.0220009,0,2.32419,3.2779,4.75176,0,0,0,45.6938,0,0,0,0,1.0846,0,0,0.120419,0,0,1.20502,0,0,0,0,0,0,0,0,0,0,0,25.6395,353.349,0,0.000172385,0.004509,
1,1,13,34.615,0,0.427597,0,0.0220009,0,2.2303,3.26165,4.85689,0,0,0,45.4134,0,0,0,0,0.73542,0,0,0.11677,0,0,0.852189,0,0,0,0,0,0,0,0,0,0,0,25.6479,353.349,0,0.000162633,0.004509,
1,1,14,33.6258,0,0.427597,0,0.0220009,0,2.2303,3.2779,4.99206,0,0,0,44.5757,0,0,0,0,0.439999,0,0,0.120419,0,0,0.560418,0,0,0,0,0,0,0,0,0,0,0,25.6394,353.349,0,0.000167705,0.004509,
1,1,15,33.3493,0,0.427597,0,0.0220009,0,2.2303,3.31038,5.26237,0,0,0,44.6019,0,0,0,0,0.585299,0,0,0.127717,0,0,0.713016,0,0,0,0,0,0,0,0,0,0,0,25.7784,353.349,0,0.000168169,0.004509,
