16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 12:52:10"
Cond. Area:,,,39372
Model:,,,"PrelimProp"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz03\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,2.023,0,0.427597,0,0.00447617,0,0.906753,1.75533,6.45223,0.256709,0,0,11.8261,0,0,0,0,0.123831,0,0,0.006564,0,0,0.130395,0,0,0,0,0,0,0,0,0,0,0,28.1055,352.219,0,0.000247243,0.004509,
1,1,2,2.09146,0,0.427597,0,0.00447617,0,0.783447,1.67761,5.94853,0.256709,0,0,11.1898,0,0,0,0,0.0496567,0,0,0.0052512,0,0,0.0549079,0,0,0,0,0,0,0,0,0,0,0,28.0897,352.219,0,0.000246894,0.004509,
1,1,3,2.14491,0,0.427597,0,0.00447617,0,0.660138,1.64393,5.64672,0.251128,0,0,10.7789,0,0,0,0,0.0877613,0,0,0.0039384,0,0,0.0916997,0,0,0,0,0,0,0,0,0,0,0,28.0331,352.219,0,0.000246589,0.004509,
1,1,4,2.61693,0,0.427597,0,0.00447617,0,0.721791,1.60418,5.63198,0.251128,0,0,11.2581,0,0,0,0,0.443166,0,0,0.0039384,0,0,0.447104,0,0,0,0,0,0,0,0,0,0,0,27.9402,352.219,0,0.000241921,0.004509,
1,1,5,2.9669,0,0.427597,0,0.00447617,0,0.8451,1.5389,5.35381,0.256709,0,0,11.3935,0,0,0,0,0.506733,0,0,0.0039384,0,0,0.510671,0,0,0,0,0,0,0,0,0,0,0,28.0605,352.219,0,0.00024575,0.004509,
1,1,6,2.59274,0,0.427597,0,0.00447617,0,1.15337,1.5333,5.79361,0.251128,0,0,11.7562,0,0,0,0,1.04081,0,0,0.006564,0,0,1.04737,0,0,0,0,0,0,0,0,0,0,0,28.1014,352.219,0,0.000247852,0.004509,
1,1,7,2.17637,0,0.427597,0,0.00447617,0,1.49247,1.98783,6.4932,0.245547,0,0,12.8275,0,0,0,0,0.31022,0,0,0.013128,0,0,0.323348,0,0,0,0,0,0,0,0,0,0,0,28.1234,352.219,0,0.000248481,0.004509,
1,1,8,2.13583,0,0.427597,0,0.00447617,0,1.64524,3.48184,7.11301,0.228805,0,0,15.0368,0,0,0,0,0.480816,0,0,0.160029,0,0,0.640845,0,0,0,0,0,0,0,0,0,0,0,28.1131,352.219,0,0.000248005,0.004509,
1,1,9,2.87011,0,0.427597,0,0.00447617,0,1.43755,3.72778,6.70668,0.200902,-0.00257041,0,15.3725,0,0,0,0,0.737932,0,0,0.525414,0,0,1.26335,0,0,0,0,0,0,0,0,0,0,0,28.0979,352.219,0,0.000243441,0.004509,
1,1,10,2.54309,0,0.427597,0,0.00447617,0,1.28342,6.79895,6.45569,0.167419,-0.0211158,0,17.6595,0,0,0,0,0.691983,0,0,0.361256,0,0,1.05324,0,0,0,0,0,0,0,0,0,0,0,27.6093,352.219,0,0.000204114,0.004509,
1,1,11,1.45062,0,0.427597,0,0.00447617,0,1.27036,6.77494,6.61084,0.133935,-0.0345613,0,16.6382,0,0,0,0,0.448614,0,0,1.09974,0,0,1.54835,0,0,0,0,0,0,0,0,0,0,0,27.3575,352.219,0,0.000185689,0.004509,
1,1,12,1.77348,0,0.427597,0,0.00447617,0,1.20871,4.70994,6.51272,0.0892899,-0.0739338,0,14.6523,0,0,0,0,0.606617,0,0,0.681648,0,0,1.28827,0,0,0,0,0,0,0,0,0,0,0,26.9501,352.219,0,0.000170892,0.004509,
1,1,13,1.96498,0,0.427597,0,0.00447617,0,1.2933,4.19719,6.69613,0.0669675,-0.0818807,0,14.5688,0,0,0,0,0.365484,0,0,0.0894516,0,0,0.454936,0,0,0,0,0,0,0,0,0,0,0,26.3942,352.219,0,0.000161225,0.004509,
1,1,14,2.12206,0,0.427597,0,0.00447617,0,1.2933,2.42329,6.88324,0.0613869,-0.0659683,0,13.1494,0,0,0,0,0.185241,0,0,0.167222,0,0,0.352463,0,0,0,0,0,0,0,0,0,0,0,26.8381,352.219,0,0.000166253,0.004509,
