"",001
"Tue 03-Mar-20  12:48:23 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",40.2822,0,0.24712,0.117884,0,0,0.0152727,0,0.0571075,1.45896,0,6.14185,0,3.09384,22.015,0.87589,6.22398,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",37.9007,0,0.286505,0.135724,0,0,0.0152727,0,0.0658941,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.92287,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",40.0169,0,2.49896,1.14299,0,0,0.0152727,0,0.564165,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.79765,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",42.4251,0,3.91617,1.79115,0,0,0.0152727,0,0.899744,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.64497,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",44.1259,0,5.35948,2.40921,0,0,0.0152727,0,1.2562,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.43716,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",47.2595,0,5.75565,2.54168,0,0,0.0152727,0,1.35659,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.39427,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",51.0481,0,4.96735,2.22784,0,0,0.0152727,0,1.15757,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.49691,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",56.4746,0,3.66507,1.72946,0,0,0.0152727,0,0.838561,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,5.97974,0,0.602657,5.29585,0.190523,0,0,0,-0.107221
"MtrElec",1,1,9,"",50.295,0,1.50789,0.0714188,0,0,0.0152727,0,0.329548,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,6.84569,0,2.23681,3.41576,0.338707,0,0,0,-0.54052
"MtrElec",1,1,10,"",51.0174,0,0.173263,0,0,0,0.0152727,0,0.037775,1.45896,0,0,0,4.37902,22.0268,0.571233,6.64903,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.00394
