"",002
"Tue 03-Mar-20   3:02:29 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",96.8186,0,41.343,0.816178,0,0,0.0750671,0,11.625,1.45896,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,2,"",101.203,0,45.4116,1.97724,0,0,0.0750671,0,12.8428,1.45896,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,3,"",97.5235,0,45.3232,0,0,0,0.0750671,0,12.7749,1.45896,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,4,"",97.3522,0,44.8101,0,0,0,0.0750671,0,12.6018,1.45896,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,5,"",96.7594,0,44.3652,0,0,0,0.0750671,0,12.4573,1.45896,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,6,"",101.14,0,44.1667,0,0,0,0.0750671,0,12.3964,1.45896,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,1,7,"",106.74,0,43.9116,0,0,0,0.0750671,0,12.3201,1.45896,0,6.14185,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,1,8,"",107.85,0,43.3063,0,0,0,0.0750671,0,12.1269,1.45896,0,6.14185,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,9,"",95.5877,0,37.9785,0,0,0,0.0750671,0,10.5547,1.45896,0,6.14185,0,10.0811,17.8918,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,10,"",74.4028,0,24.51,0,0,0,0.0750671,0,6.70827,1.45896,0,6.14185,0,8.79399,15.586,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,11,"",61.9769,0,14.5336,0,0,0,0.0750671,0,3.9253,1.45896,0,6.14185,0,8.44497,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,12,"",53.0639,0,12.7816,0,0,0,0.0750671,0,3.42105,1.45896,0,0,0,7.93012,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,13,"",41.3548,0,3.56661,0,0,0,0.0750671,0,0.943939,1.45896,0,0,0,7.60979,16.5717,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,14,"",41.4485,0,3.23256,0,0,0,0.0750671,0,0.855047,1.45896,0,0,0,7.60979,17.0329,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,15,"",39.2102,0,0.644519,0,0,0,0.0750671,0,0.171655,1.45896,0,0,0,7.60979,17.9552,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,16,"",41.2255,0,0.403302,0,0,0,0.0750671,0,0.107947,1.45896,0,0,0,8.8969,18.8775,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,17,"",50.7918,0.137187,3.93374,0,0,0,0.0750671,0.0436927,1.05986,1.45896,0,0,0,10.184,22.1055,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,18,"",76.1322,0.264063,12.0595,0.819103,0,0,0.0750671,0.0905011,3.33763,1.45896,0,6.14185,0,13.4476,26.1454,0,9.35536,2.3134,0,0.623797,0,0,0,0,0
"MtrElec",1,1,19,"",104.415,0.308252,18.5695,7.91781,0,0,0.0750671,0.114971,5.28489,1.45896,0,6.14185,0,23.6339,28.3406,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,1,20,"",120.388,0.337014,22.6812,8.8857,0,0,0.0750671,0.13652,6.50759,1.45896,0,6.14185,0,32.3034,29.18,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,21,"",132.116,0.337436,26.9515,10.28,0,0,0.0750671,0.143734,7.76608,1.45896,0,6.14185,0,31.0163,30.1023,5.05195,9.35536,2.70624,0,0.729724,0,0,0,0,0
"MtrElec",1,1,22,"",137.126,0.340258,33.3095,12.439,0,0,0.0750671,0.148978,9.6595,1.45896,0,6.14185,0,26.6401,29.18,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,23,"",135.899,0,42.0791,15.3646,0,0,0.0750671,0,12.3233,1.45896,0,6.14185,0,16.8923,24.2747,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,1,24,"",134.982,0,47.3222,17.6534,0,0,0.0750671,0,13.9263,1.45896,0,6.14185,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,0,0,0
"MtrElec",1,2,1,"",132.14,0,53.5975,19.6054,0,0,0.0750671,0,15.9028,1.45896,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,2,"",134.089,0,55.9527,20.5203,0,0,0.0750671,0,16.6444,1.45896,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,3,"",134.426,0,57.3991,20.4784,0,0,0.0750671,0,17.1226,1.45896,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,4,"",136.944,0,58.9793,20.3899,0,0,0.0750671,0,17.6346,1.45896,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,5,"",130.913,0,54.4083,20.4541,0,0,0.0750671,0,16.1138,1.45896,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,6,"",126.802,0,48.2947,19.1512,0,0,0.0750671,0,14.1541,1.45896,0,6.14185,0,9.16911,17.0068,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,2,7,"",128.009,0,44.7071,17.6574,0,0,0.0750671,0,13.0501,1.45896,0,6.14185,0,12.7525,20.4831,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,2,8,"",131.154,0,44.2993,17.4823,0,0,0.0750671,0,12.9207,1.45896,0,6.14185,0,14.6649,22.3174,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,2,9,"",123.987,0,39.7507,16.0184,0,0,0.0750671,0,11.5311,1.45896,0,6.14185,0,16.6919,20.9134,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,10,"",115.74,0,35.8154,14.662,0,0,0.0750671,0,10.3338,1.45896,0,6.14185,0,16.3647,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
