"",001
"Tue 03-Mar-20   3:02:23 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",67.5245,0,22.4978,0.460376,0,0,0.0152727,0,5.02926,1.45896,0,6.14185,0,3.09384,22.015,0.87589,5.90091,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",70.0372,0,25.8469,1.22269,0,0,0.0152727,0,5.81702,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",67.2817,0,25.8951,0,0,0,0.0152727,0,5.80874,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",67.2493,0,25.8538,0,0,0,0.0152727,0,5.78633,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",66.7316,0,26.0276,0,0,0,0.0152727,0,5.81968,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",69.3671,0,26.1208,0,0,0,0.0152727,0,5.84268,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",73.9067,0,25.6843,0,0,0,0.0152727,0,5.7413,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",79.2715,0,23.8202,0,0,0,0.0152727,0,5.29354,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",42.9175,0,19.5952,0,0,0,0.0152727,0,4.31154,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-29.7968
"MtrElec",1,1,10,"",-68.7107,0,9.91757,0,0,0,0.0152727,0,2.14809,1.45896,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-138.568
"MtrElec",1,1,11,"",-117.97,0,1.55913,0,0,0,0.0152727,0,0.339988,1.45896,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-177.949
"MtrElec",1,1,12,"",-42.948,0,1.40372,0,0,0,0.0152727,0,0.29864,1.45896,0,0,0,4.12411,22.2214,0.304657,6.49715,6.16207,2.94812,0.0772521,0.388102,0,0,0,-88.8474
"MtrElec",1,1,13,"",-95.525,0,0.32337,0,0,0,0.0152727,0,0.0690503,1.45896,0,0,0,4.41274,22.8472,0.228493,6.60601,6.21322,0.032629,1.02809,0.444553,0,0,0,-139.205
"MtrElec",1,1,14,"",-59.1071,0,0.359465,0,0,0,0.0152727,0,0.0760028,1.45896,0,0,0,4.41274,23.4856,0.209452,6.6919,0,0.434236,0.738049,0.416328,0,0,0,-97.4051
"MtrElec",1,1,15,"",-88.5714,0,0.29451,0,0,0,0.0152727,0,0.0629189,1.45896,0,0,0,4.41274,24.5389,0.209452,6.58165,0,0.31173,1.34655,0.437497,0,0,0,-128.242
"MtrElec",1,1,16,"",-29.9459,0,0.313717,0,0,0,0.0152727,0,0.0672262,1.45896,0,0,0,4.93865,25.7089,0.228493,6.83904,0,0.568744,1.30337,0.479835,0,0,0,-71.8681
"MtrElec",1,1,17,"",34.3827,0,1.18157,0,0,0,0.0152727,0,0.254008,1.45896,0,0,0,5.46456,28.6239,0.361781,6.59155,0,0.550504,6.29167,0.642132,0,0,0,-17.0532
"MtrElec",1,1,18,"",68.4513,0.366278,4.44473,0.273651,0,0,0.0152727,0.113428,0.978088,1.45896,0,6.14185,0,6.74902,31.933,0.723561,7.03577,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",75.6628,0.253651,6.02327,2.86919,0,0,0.0152727,0.0897921,1.38188,1.45896,0,6.14185,0,10.8458,34.0729,0.913972,7.70376,0,1.93423,1.04806,0.910275,0,0,0,0
