"",002
"Tue 03-Mar-20   3:02:29 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",66.6517,0,21.7551,0.441992,0,0,0.0750671,0,4.85788,1.45896,0,6.14185,0,3.09384,22.015,0.87589,5.90091,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",69.1599,0,25.1175,1.18566,0,0,0.0750671,0,5.64635,1.45896,0,6.14185,0,2.67312,20.2964,0.87589,5.66086,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",66.4648,0,25.1845,0,0,0,0.0750671,0,5.64261,1.45896,0,6.14185,0,2.25239,19.2666,0.856849,5.56469,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",66.4499,0,25.1562,0,0,0,0.0750671,0,5.62482,1.45896,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",65.9269,0,25.3246,0,0,0,0.0750671,0,5.65823,1.45896,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",68.5577,0,25.4133,0,0,0,0.0750671,0,5.68097,1.45896,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",73.1008,0,24.9788,0,0,0,0.0750671,0,5.58114,1.45896,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",78.4943,0,23.1361,0,0,0,0.0750671,0,5.14063,1.45896,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",42.2616,0,19.0082,0,0,0,0.0750671,0,4.1828,1.45896,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-29.7968
"MtrElec",1,1,10,"",-67.9735,0,10.4706,0,0,0,0.0750671,0,2.2725,1.45896,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-138.568
"MtrElec",1,1,11,"",-116.247,0,2.92994,0,0,0,0.0750671,0,0.633027,1.45896,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-177.949
"MtrElec",1,1,12,"",-41.4292,0,2.60794,0,0,0,0.0750671,0,0.554725,1.45896,0,0,0,4.12411,22.2214,0.304657,6.49585,6.16207,2.94812,0.0772521,0.388102,0,0,0,-88.8474
"MtrElec",1,1,13,"",-95.1656,0,0.571928,0,0,0,0.0750671,0,0.121739,1.45896,0,0,0,4.41274,22.8472,0.228493,6.60437,6.21322,0.032629,1.02809,0.444553,0,0,0,-139.205
"MtrElec",1,1,14,"",-58.0117,0,1.21981,0,0,0,0.0750671,0,0.257205,1.45896,0,0,0,4.41274,23.4856,0.209452,6.68598,0,0.434236,0.738049,0.416328,0,0,0,-97.4051
"MtrElec",1,1,15,"",-88.4539,0,0.349453,0,0,0,0.0750671,0,0.0746471,1.45896,0,0,0,4.41274,24.5389,0.209452,6.57271,0,0.31173,1.34655,0.437497,0,0,0,-128.242
