16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.1 (1633)"
,CSE19:,,"CSE19 0.865.0+solar-hot-water.2e4b23d.147 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-03 15:05:59"
Cond. Area:,,,39372
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpte\runs\lrlc-winf-propU2\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,9.4764,0,0.427597,0,0.0220009,0,1.93299,3.34286,5.08716,0,0,0,20.289,0,0,0,0,0.246971,0,0,0.135015,0,0,0.381986,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,10.3342,0,0.427597,0,0.0220009,0,1.63121,3.31038,4.81685,0,0,0,20.5422,0,0,0,0,0.136143,0,0,0.127717,0,0,0.26386,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,11.3451,0,0.427597,0,0.0220009,0,1.32942,3.29414,4.68171,0,0,0,21.1,0,0,0,0,0.111265,0,0,0.124068,0,0,0.235333,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,11.2314,0,0.427597,0,0.0220009,0,1.48032,3.29414,4.68171,0,0,0,21.1371,0,0,0,0,0.108261,0,0,0.124068,0,0,0.232329,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,10.9849,0,0.427597,0,0.0220009,0,1.7821,3.26165,4.4114,0,0,0,20.8896,0,0,0,0,0.114253,0,0,0.11677,0,0,0.231023,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,7.0896,0,0.427597,0,0.0220009,0,2.53656,3.32662,4.95202,0,0,0,18.3544,0,0,0,0,0.827281,0,0,0.131366,0,0,0.958647,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,5.63954,0,0.427597,0,0.0220009,0,3.36647,3.42408,5.76295,0,0,0,18.6426,0,0,0,0,0.447818,0,0,0.15326,0,0,0.601078,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,9.30199,0,0.427597,0,0.0220009,0,3.47462,3.45656,6.18177,0,0,0,22.8645,0,0,0,0,0.84587,0,0,0.160558,0,0,1.00643,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,11.45,0,0.427597,0,0.0220009,0,2.9546,3.34286,5.24379,0,0,0,23.4409,0,0,0,0,1.23622,0,0,0.135015,0,0,1.37123,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,12.1815,0,0.427597,0,0.0220009,0,2.57737,3.26165,4.568,0,0,0,23.0381,0,0,0,0,1.17301,0,0,0.11677,0,0,1.28978,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,11.3183,0,0.427597,0,0.0220009,0,2.47508,3.2779,4.75176,0,0,0,22.2726,0,0,0,0,0.808836,0,0,0.120419,0,0,0.929255,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,11.0265,0,0.427597,0,0.0220009,0,2.32419,3.2779,4.75176,0,0,0,21.83,0,0,0,0,0.937177,0,0,0.120419,0,0,1.0576,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,7.8462,0,0.427597,0,0.0220009,0,2.2303,3.26165,4.85689,0,0,0,18.6446,0,0,0,0,0.645717,0,0,0.11677,0,0,0.762486,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,6.44661,0,0.427597,0,0.0220009,0,2.2303,3.2779,4.99206,0,0,0,17.3965,0,0,0,0,0.390844,0,0,0.120419,0,0,0.511263,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
1,1,15,7.90805,0,0.427597,0,0.0220009,0,2.2303,3.31038,5.26237,0,0,0,19.1607,0,0,0,0,0.518573,0,0,0.127717,0,0,0.64629,0,0,0,0,0,0,0,0,0,0,0,26.4123,352.219,0,0.000166712,0.004509,
