"",002
"Tue 03-Mar-20   3:13:05 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",33.4139,0,0,0,0,0,0.0750671,0,0.0414519,1.45896,0,0,0,3.09384,22.015,0.87589,5.81841,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",31.0558,0,0,0,0,0,0.0750671,0,0.147747,1.45896,0,0,0,2.67312,20.2964,0.87589,5.50039,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",29.8597,0,0,0,0,0,0.0750671,0,0.582668,1.45896,0,0,0,2.25239,19.2666,0.856849,5.34594,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",30.1739,0,0,0,0,0,0.0750671,0,0.894385,1.45896,0,0,0,2.46275,19.2163,0.856849,5.18849,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",29.5818,0,0,0,0,0,0.0750671,0,1.09048,1.45896,0,0,0,2.88348,18.2672,0.87589,4.90952,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",32.1139,0,0,0,0,0,0.0750671,0,1.14705,1.45896,0,0,0,3.9353,19.7678,0.856849,4.83756,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",45.1326,0,0,0,0,0,0.0750671,0,9.17683,1.45896,0,0,0,5.09231,22.1548,0.837808,4.83946,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",57.1869,0,0,0,0,0,0.0750671,0,13.3547,1.45896,0,0,0,5.61357,24.2696,0.780684,5.54531,0,0.602657,5.29585,0.190523,0,0,0,0
"MtrElec",1,1,9,"",51.1564,0,0,0,0,0,0.0750671,0,8.51881,1.45896,0,0,0,4.90493,22.8832,0.685479,6.68888,0,2.23681,3.41576,0.338707,0,0,0,-0.0501547
"MtrElec",1,1,10,"",58.4318,0,0,0,0,0,0.0750671,0,6.90514,1.45896,0,0,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.18242
"MtrElec",1,1,11,"",57.6948,0,0,0,0,0,0.0750671,0,5.88767,1.45896,0,0,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.190714
"MtrElec",1,1,12,"",49.7445,0,0,0,0,0,0.0750671,0,5.75351,1.45896,0,0,0,4.12411,22.2214,0.304657,6.49455,6.16207,2.94812,0.0772521,0.388102,0,0,0,-0.26322
"MtrElec",1,1,13,"",48.6665,0,0,0,0,0,0.0750671,0,5.63253,1.45896,0,0,0,4.41274,22.8472,0.228493,6.60228,6.21322,0.032629,1.02809,0.444553,0,0,0,-0.309218
"MtrElec",1,1,14,"",42.9091,0,0,0,0,0,0.0750671,0,5.3927,1.45896,0,0,0,4.41274,23.4856,0.209452,6.67965,0,0.434236,0.738049,0.416328,0,0,0,-0.393685
"MtrElec",1,1,15,"",44.1587,0,0,0,0,0,0.0750671,0,5.17269,1.45896,0,0,0,4.41274,24.5389,0.209452,6.55818,0,0.31173,1.34655,0.437497,0,0,0,-0.363119
"MtrElec",1,1,16,"",46.6005,0,0,0,0,0,0.0750671,0,5.12896,1.45896,0,0,0,4.93865,25.7089,0.228493,6.81197,0,0.568744,1.30337,0.479835,0,0,0,-0.102408
