"",002
"Tue 10-Mar-20   8:07:38 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.50462,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28887,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.97823,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.22881,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.62926,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.20226,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.63229,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.17012,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.47232,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.11485,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.01282,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.1028,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.53997,0,0,0,0,0,0.0341214,0,0.090334,0.756867,0,0,0,0.980813,4.67234,0.221932,1.11332,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.3704,0,0,0,0,0,0.0341214,0,1.45855,0.756867,0,0,0,0.957461,5.01958,0.2068,1.22853,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",10.5848,0,0,0,0,0,0.0341214,0,0.684096,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47408,0,1.00958,0.98054,0.0740246,0,0,0,-0.124047
"MtrElec",1,1,10,"",13.2055,0,0,0,0,0,0.0341214,0,0.481301,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-1.01904
"MtrElec",1,1,11,"",12.0817,0,0,0,0,0,0.0341214,0,0.232741,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-1.66792
"MtrElec",1,1,12,"",8.78804,0,0,0,0,0,0.0341214,0,0.253785,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-3.56803
"MtrElec",1,1,13,"",6.17531,0,0,0,0,0,0.0341214,0,0.337804,0.756867,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-3.95155
"MtrElec",1,1,14,"",5.25774,0,0,0,0,0,0.0341214,0,0.322314,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-3.18362
"MtrElec",1,1,15,"",6.48731,0,0,0,0,0,0.0341214,0,0.278798,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-2.35845
"MtrElec",1,1,16,"",7.99517,0,0,0,0,0,0.0341214,0,0.266786,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-0.940324
"MtrElec",1,1,17,"",9.67619,0,0,0,0,0,0.0341214,0,0.244958,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.466825
"MtrElec",1,1,18,"",10.8023,0,0,0,0,0,0.0341214,0,0.197462,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",12.0085,0,0,0,0,0,0.0341214,0,0.172215,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.43,0,0,0,0,0,0.0341214,0,0.140293,0.756867,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",14.0207,0,0,0,0,0,0.0341214,0,0.153196,0.756867,0,0,0,2.63885,7.49676,0.418645,1.59065,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",13.0627,0,0,0,0,0,0.0341214,0,0.18887,0.756867,0,0,0,2.24186,7.42686,0.494303,1.52561,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",11.0832,0,0,0,0,0,0.0341214,0,0.366528,0.756867,0,0,0,1.47122,6.63975,0.428733,1.37212,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",9.0933,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",7.4331,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.537112,4.63532,0.23202,1.22995,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.59846,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.443701,4.22793,0.23202,1.20002,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.37396,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.35029,4.06638,0.23202,1.15021,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.59713,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.396996,4.04224,0.23202,1.12871,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",6.44801,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.490407,3.85168,0.23202,1.07675,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",6.98637,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.723934,4.17266,0.186625,1.09057,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",8.81499,0,0,0,0,0,0.0341214,0,0.815282,0.756867,0,0,0,0.980813,4.75662,0.176537,1.26546,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",10.607,0,0,0,0,0,0.0341214,0,2.09056,0.756867,0,0,0,0.957461,5.11646,0.171493,1.44149,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",9.39893,0,0,0,0,0,0.0341214,0,1.11374,0.756867,0,0,0,0.793992,4.74336,0.166449,1.41868,0,0,0.628229,0.0400967,0,0,0,-0.296603
"MtrElec",1,2,10,"",7.38256,0,0,0,0,0,0.0341214,0,0.919345,0.756867,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-1.45535
"MtrElec",1,2,11,"",-3.10536,0,0,0,0.418257,0,0.0341214,0,0.676576,0.756867,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-11.6454
"MtrElec",1,2,12,"",0.0128145,0,0,0,0.418257,0,0.0341214,0,0.529323,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.28484,0,0,0.882056,0.0447232,0,0,0,-9.10238
"MtrElec",1,2,13,"",-3.07376,0,0,0,0.418257,0,0.0341214,0,0.416934,0.756867,0,0,0,0.490407,4.51254,0.060527,1.33564,0,0.372554,0,0.0539763,0,0,0,-11.5256
"MtrElec",1,2,14,"",2.47817,0,0,0,0.418257,0,0.0341214,0,0.386269,0.756867,0,0,0,0.490407,4.61395,0.055483,1.3004,0,0,1.76392,0.0493497,0,0,0,-7.39085
"MtrElec",1,2,15,"",2.70231,0,0,0,0.418257,0,0.0341214,0,0.323842,0.756867,0,0,0,0.490407,4.7811,0.055483,1.3331,0,0.745026,0,0.0524341,0,0,0,-6.28832
"MtrElec",1,2,16,"",4.96604,0,0,0,0.418257,0,0.0341214,0,0.363835,0.756867,0,0,0,0.60717,4.9234,0.060527,1.34088,0,0,0,0.0801933,0,0,0,-3.61921
"MtrElec",1,2,17,"",9.09347,0,0,0,0,0,0.0341214,0,0.382482,0.756867,0,0,0,0.723934,5.56121,0.0958344,1.36168,0,0,0,0.177351,0,0,0,0
"MtrElec",1,2,18,"",10.5342,0,0,0,0,0,0.0341214,0,0.335234,0.756867,0,0,0,1.02752,6.40183,0.186625,1.4944,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",15.5179,0,0,0,0,0,0.0341214,0,0.214821,0.756867,0,0,0,1.96163,6.96974,0.247152,1.63347,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",14.7626,0,0,0,0,0,0.0341214,0,0.254422,0.756867,0,0,0,2.73227,7.32996,0.327854,1.65046,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",13.4718,0,0,0,0,0,0.0341214,0,0.31695,0.756867,0,0,0,2.63885,7.6419,0.458996,1.55933,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",13.0304,0,0,0,0,0,0.0341214,0,0.376379,0.756867,0,0,0,2.24186,7.58459,0.529611,1.47614,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",11.3075,0,0,0,0,0,0.0341214,0,0.466409,0.756867,0,0,0,1.47122,6.72474,0.458996,1.3766,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",9.04656,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.910755,5.76204,0.317767,1.24959,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",7.49982,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28407,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",6.96864,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.21923,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",6.61533,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.18832,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",6.61409,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.15192,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",6.48179,0,0,0,0,0,0.0341214,0,0.0357961,0.756867,0,0,0,0.490407,3.83942,0.23202,1.08852,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",7.12403,0,0,0,0,0,0.0341214,0,0.146571,0.756867,0,0,0,0.723934,4.16041,0.226976,1.06744,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",10.7187,0,0,0,0,0,0.0341214,0,1.58375,0.756867,0,0,0,0.980813,4.67234,0.221932,1.06767,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",10.3257,0,0,0,0,0,0.0341214,0,2.52518,0.756867,0,0,0,0.957461,5.01958,0.2068,1.21853,0,0.585314,1.45432,0.0416388,0,0,0,-2.47415
"MtrElec",1,3,9,"",-2.4539,0,0,0,0.418257,0,0.0341214,0,1.20089,0.756867,0,0,0,0.793992,4.71994,0.181581,1.46911,0,0.614262,2.45266,0.0740246,0,0,0,-15.1696
"MtrElec",1,3,10,"",-13.9119,0,0,0,0.418257,0,0.0341214,0,0.640671,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,1.03593,0.364414,0.0740246,0,0,0,-24.0278
"MtrElec",1,3,11,"",-19.6447,0,0,0,0.418257,0,0.0341214,0,0.409663,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,0.153917,1.32043,0.0709402,0,0,0,-29.578
"MtrElec",1,3,12,"",-21.9853,0,0,0,0.418257,0,0.0341214,0,0.228111,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42598,0,0.557711,1.39571,0.0848198,0,0,0,-32.0936
"MtrElec",1,3,13,"",-22.6166,0,0,0,0.418257,0,0.0341214,0,0.165484,0.756867,0,0,0,0.490407,4.501,0.060527,1.44963,0,0.589505,0.448594,0.0971573,0,0,0,-31.6281
"MtrElec",1,3,14,"",-19.0618,0,0,0,0.418257,0,0.0341214,0,0.104459,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.189473,0.88202,0.0909886,0,0,0,-28.189
"MtrElec",1,3,15,"",-13.0642,0,0,0,0.418257,0,0.0341214,0,0.0451837,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.372539,0,0.0956151,0,0,0,-21.638
"MtrElec",1,3,16,"",-2.91299,0,0,0,0.418257,0,0.0341214,0,0.0320035,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49629,0,0,1.292,0.104868,0,0,0,-12.8319
"MtrElec",1,3,17,"",6.08179,0,0,0,0,0,0.0341214,0,0.068442,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.43849,0,0.545702,0.472187,0.140338,0,0,0,-3.93614
"MtrElec",1,3,18,"",10.6299,0,0,0,0,0,0.0341214,0,0.193591,0.756867,0,0,0,1.02752,6.47423,0.191669,1.53808,0,0.199438,0,0.214363,0,0,0,0
"MtrElec",1,3,19,"",12.0633,0,0,0,0,0,0.0341214,0,0.224997,0.756867,0,0,0,1.96163,6.95786,0.242108,1.68674,0,0,0,0.198941,0,0,0,0
"MtrElec",1,3,20,"",13.5217,0,0,0,0,0,0.0341214,0,0.345088,0.756867,0,0,0,2.73227,7.23308,0.302635,1.64468,0,0,0.361887,0.111037,0,0,0,0
"MtrElec",1,3,21,"",14.1034,0,0,0,0,0,0.0341214,0,0.446075,0.756867,0,0,0,2.63885,7.49676,0.418645,1.58981,0,0.15285,0.520064,0.0493497,0,0,0,0
"MtrElec",1,3,22,"",13.2726,0,0,0,0,0,0.0341214,0,0.552598,0.756867,0,0,0,2.24186,7.42686,0.494303,1.52472,0,0.219659,0,0.0215905,0,0,0,0
"MtrElec",1,3,23,"",11.4221,0,0,0,0,0,0.0341214,0,0.705868,0.756867,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,3,24,"",9.0933,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,1,"",7.4945,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.27875,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,2,"",6.95889,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.20947,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,4,3,"",6.60343,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.17643,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,4,"",6.67952,0,0,0,0,0,0.0341214,0,0.0788746,0.756867,0,0,0,0.396996,4.04258,0.226976,1.13847,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,5,"",6.63031,0,0,0,0,0,0.0341214,0,0.198838,0.756867,0,0,0,0.490407,3.83942,0.23202,1.07401,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,6,"",7.20366,0,0,0,0,0,0.0341214,0,0.234041,0.756867,0,0,0,0.723934,4.16041,0.226976,1.0596,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,7,"",10.1919,0,0,0,0,0,0.0341214,0,1.94579,0.756867,0,0,0,0.980813,4.67234,0.221932,1.06087,0,0,0.503799,0.0154218,0,0,0,0
"MtrElec",1,4,8,"",12.5626,0,0,0,0,0,0.0341214,0,2.73321,0.756867,0,0,0,0.957461,5.01958,0.2068,1.2162,1.15916,0.21279,0.768643,0.0416388,0,0,0,-0.543877
"MtrElec",1,4,9,"",5.59921,0,0,0,0,0,0.0341214,0,1.69956,0.756867,0,0,0,0.793992,4.71994,0.181581,1.46632,1.31639,0.324652,0.491988,0.0740246,0,0,0,-6.26023
"MtrElec",1,4,10,"",-7.83349,0,0,0,0.418257,0,0.0341214,0,1.09164,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.207801,0,0.0740246,0,0,0,-17.2078
"MtrElec",1,4,11,"",-20.1884,0,0,0,0.418257,0,0.0341214,0,0.632675,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,0,0,0.0709402,0,0,0,-28.8704
"MtrElec",1,4,12,"",-21.9839,0,0,0,0.418257,0,0.0341214,0,0.41167,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42598,1.15919,0,0,0.0848198,0,0,0,-31.4816
"MtrElec",1,4,13,"",-21.3267,0,0,0,0.418257,0,0.0341214,0,0.288185,0.756867,0,0,0,0.490407,4.501,0.060527,1.44963,1.31657,0,0,0.0971573,0,0,0,-30.7394
"MtrElec",1,4,14,"",-19.1478,0,0,0,0.418257,0,0.0341214,0,0.214469,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0,0,0.0909886,0,0,0,-27.3134
"MtrElec",1,4,15,"",-8.79471,0,0,0,0.418257,0,0.0341214,0,0.134831,0.756867,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0,1.16947,0.0956151,0,0,0,-18.2551
"MtrElec",1,4,16,"",-0.826919,0,0,0,0.418257,0,0.0341214,0,0.0896528,0.756867,0,0,0,0.60717,5.1168,0.060527,1.49581,0,0.493951,0.5946,0.104868,0,0,0,-10.5995
