16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2020-03-10 20:12:50"
Cond. Area:,,,7320
Model:,,,"DesignRating"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrgs-proposed\cz10\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0.68648,0,0.221825,0,0.0100004,0,0.385211,0.735811,1.11052,0,0,0,3.14985,0.571487,0,0,0,0,0,0,0.0299892,0,0,0.601476,0,0,0,0,0,0,0,0,0,0,0,27.5424,353.349,0,0.000249403,0.004509,
1,1,2,0.755686,0,0.221825,0,0.0100004,0,0.318218,0.728825,1.0505,0,0,0,3.08505,0.629101,0,0,0,0,0,0,0.0283681,0,0,0.657469,0,0,0,0,0,0,0,0,0,0,0,27.5217,353.349,0,0.000249051,0.004509,
1,1,3,0.750841,0,0.221825,0,0.0100004,0,0.251224,0.725332,1.02048,0,0,0,2.9797,0.625067,0,0,0,0,0,0,0.0275576,0,0,0.652625,0,0,0,0,0,0,0,0,0,0,0,27.4381,353.349,0,0.000248744,0.004509,
1,1,4,0.777242,0,0.221825,0,2.50178,0,0.28472,0.725332,1.02048,0,0,0,5.53138,0.647046,0,0,0,0,0,0,0.0275576,0,0,0.674604,0,0,0,0,0,0,0,0,0,0,0,27.3708,353.349,0,0.000244034,0.004509,
1,1,5,0.842647,0,0.221825,0,0.0100004,0,0.351715,0.718346,0.960451,0,0,0,3.10498,0.701496,0,0,0,0,0,0,0.0259366,0,0,0.727433,0,0,0,0,0,0,0,0,0,0,0,27.4151,353.349,0,0.000247897,0.004509,
1,1,6,0.840909,0,0.221825,0,7.36029,0,0.519197,0.732318,1.08051,0,0,0,10.7551,0.70005,0,0,0,0,0,0,0.0291787,0,0,0.729229,0,0,0,0,0,0,0,0,0,0,0,27.5338,353.349,0,0.000250017,0.004509,
1,1,7,0.767301,0,0.221825,0,4.15194,0,0.703426,0.753275,1.26059,0,0,0,7.85836,0.63877,0,0,0,0,0,0,0.0340418,0,0,0.672812,0,0,0,0,0,0,0,0,0,0,0,27.5603,353.349,0,0.000250652,0.004509,
1,1,8,0.71029,0,0.221825,0,4.96021,0,0.686679,0.760261,1.32062,0,0,0,8.65988,0.59131,0,0,0,0,0,0,0.0356628,0,0,0.626973,0,0,0,0,0,0,0,0,0,0,0,27.544,353.349,0,0.000250171,0.004509,
1,1,9,0.625191,0,0.221825,0,6.06563,0,0.56944,0.735811,1.11052,0,0,0,9.32842,0.520466,0,0,0,0,0,0,0.0299892,0,0,0.550455,0,0,0,0,0,0,0,0,0,0,0,27.3458,353.349,0,0.000245568,0.004509,
1,1,10,0.510237,0,0.221825,0,5.56023,0,0.4857,0.718346,0.960451,0,0,0,8.45679,0.424768,0,0,0,0,0,0,0.0259366,0,0,0.450705,0,0,0,0,0,0,0,0,0,0,0,25.6863,353.349,0,0.000205897,0.004509,
1,1,11,0.295009,0,0.221825,0,9.01038,0,0.452204,0.721839,0.990466,0,0,0,11.6917,0.245592,0,0,0,0,0,0,0.0267471,0,0,0.272339,0,0,0,0,0,0,0,0,0,0,0,25.0896,353.349,0,0.000187311,0.004509,
1,1,12,0.196697,0,0.221825,0,4.89455,0,0.418708,0.721839,0.990466,0,0,0,7.44409,0.163749,0,0,0,0,0,0,0.0267471,0,0,0.190496,0,0,0,0,0,0,0,0,0,0,0,24.6797,353.349,0,0.000172385,0.004509,
1,1,13,0.0795416,0,0.221825,0,4.62885,0,0.351715,0.718346,0.960451,0,0,0,6.96072,0.0662175,0,0,0,0,0,0,0.0259366,0,0,0.0921541,0,0,0,0,0,0,0,0,0,0,0,24.6881,353.349,0,0.000162633,0.004509,
1,1,14,0.00588494,0,0.221825,0,0.0100004,0,0.351715,0.721839,0.990466,0,0,0,2.30173,0.00489916,0,0,0,0,0,0,0.0267471,0,0,0.0316463,0,0,0,0,0,0,0,0,0,0,0,24.6795,353.349,0,0.000167705,0.004509,
1,1,15,0,0,0.221825,0,0.0100004,0,0.351715,0.728825,1.0505,0,0,0,2.36286,0,0,0,0,0,0,0,0.0283681,0,0,0.0283681,0,0,0,0,0,0,0,0,0,0,0,24.8186,353.349,0,0.000168169,0.004509,
