16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD"
Run Date/Time:,,,"2020-03-10 20:16:00"
Cond. Area:,,,7320
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrgs-proposed\cz13\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,0.221825,0,0.00200008,0,0.157419,0.379868,1.36223,0.0680012,0,0,2.19134,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.8939,352.219,0,0.000247243,0.004509,
1,1,2,0,0,0.221825,0,0.00200008,0,0.130041,0.36189,1.25338,0.0680012,0,0,2.03714,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,27.8781,352.219,0,0.000246894,0.004509,
1,1,3,0,0,0.221825,0,0.00200008,0,0.102664,0.353967,1.18819,0.0665229,0,0,1.93517,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.8214,352.219,0,0.000246589,0.004509,
1,1,4,0,0,0.221825,0,0.00200008,0,0.116353,0.344275,1.18481,0.0665229,0,0,1.93579,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.7285,352.219,0,0.000241921,0.004509,
1,1,5,0,0,0.221825,0,0.00200008,0,0.14373,0.328308,1.12527,0.0680012,0,0,1.88913,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,27.8489,352.219,0,0.00024575,0.004509,
1,1,6,0,0,0.221825,0,2.13063,0,0.212173,0.325915,1.21935,0.0665229,0,0,4.17641,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,27.8898,352.219,0,0.000247852,0.004509,
1,1,7,0.0120409,0,0.221825,0,2.09577,0,0.28746,0.523623,1.36938,0.0650445,0,0,4.57515,0.0177702,0,0,0,0,0,0,0.00286538,0,0,0.0206356,0,0,0,0,0,0,0,0,0,0,0,27.9118,352.219,0,0.000248481,0.004509,
1,1,8,0.37721,0,0.221825,0,2.17856,0,0.280616,1.15492,1.47115,0.0606096,0,0,5.7449,0.556693,0,0,0,0,0,0,0.0649113,0,0,0.621604,0,0,0,0,0,0,0,0,0,0,0,27.9015,352.219,0,0.000248005,0.004509,
1,1,9,0.176312,0,0.221825,0,2.17876,0,0.232706,1.03724,1.38334,0.0532183,-0.0636375,0,5.21976,0.260204,0,0,0,0,0,0,0.222457,0,0,0.482661,0,0,0,0,0,0,0,0,0,0,0,27.8863,352.219,0,0.000243441,0.004509,
1,1,10,0.129248,0,0.221825,0,2.18098,0,0.198484,2.2231,1.33015,0.0443485,-0.586937,0,5.74119,0.190747,0,0,0,0,0,0,0.0993683,0,0,0.290115,0,0,0,0,0,0,0,0,0,0,0,27.3977,352.219,0,0.000204114,0.004509,
1,1,11,0.0620838,0,0.221825,0,2.14606,0,0.184796,2.15679,1.35269,0.0354789,-2.06712,0,4.0926,0.0916245,0,0,0,0,0,0,0.508466,0,0,0.60009,0,0,0,0,0,0,0,0,0,0,0,27.1459,352.219,0,0.000185689,0.004509,
1,1,12,0.0847825,0,0.221825,0,2.11818,0,0.171107,1.78913,1.33126,0.0236526,-1.801,0,3.93893,0.125123,0,0,0,0,0,0,0.320482,0,0,0.445605,0,0,0,0,0,0,0,0,0,0,0,26.7385,352.219,0,0.000170892,0.004509,
1,1,13,0.10778,0,0.221825,0,2.16922,0,0.14373,1.15655,1.31917,0.0177394,-0.595882,0,4.54013,0.159064,0,0,0,0,0,0,0.0214245,0,0,0.180488,0,0,0,0,0,0,0,0,0,0,0,26.1826,352.219,0,0.000161225,0.004509,
1,1,14,0.0930375,0,0.221825,0,0.772484,0,0.14373,0.628297,1.35944,0.0162611,-0.533256,0,2.70182,0.137307,0,0,0,0,0,0,0.061789,0,0,0.199096,0,0,0,0,0,0,0,0,0,0,0,26.6265,352.219,0,0.000166253,0.004509,
1,1,15,0.101603,0,0.221825,0,0.00200008,0,0.14373,0.693056,1.42596,0.0162611,-0.536035,0,2.0684,0.149948,0,0,0,0,0,0,0.0499863,0,0,0.199934,0,0,0,0,0,0,0,0,0,0,0,26.4123,352.219,0,0.000166712,0.004509,
