"",002
"Tue 10-Mar-20   8:14:48 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.49839,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.537112,4.64792,0.23202,1.28264,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.96798,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.443701,4.27654,0.23202,1.21856,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.62035,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.35029,4.05412,0.226976,1.19334,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.62398,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.396996,4.04258,0.226976,1.16181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.46246,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.490407,3.83942,0.23202,1.10499,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.00134,0,0,0,0,0,0.0341214,0,0,0.756867,0,0,0,0.723934,4.16041,0.226976,1.09133,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",8.85655,0,0,0,0,0,0.0341214,0,0.423771,0.756867,0,0,0,0.980813,4.67234,0.221932,1.09646,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",12.5965,0,0,0,0,0,0.0341214,0,1.73095,0.756867,0,0,0,0.957461,5.01958,0.2068,1.22291,0,0.276577,2.39027,0.0416388,0,0,0,-0.0406911
"MtrElec",1,1,9,"",10.6324,0,0,0,0,0,0.0341214,0,0.709268,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47399,0,1.00958,0.98054,0.0740246,0,0,0,-0.101542
"MtrElec",1,1,10,"",14.1074,0,0,0,0.418257,0,0.0341214,0,0.420921,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.475008
"MtrElec",1,1,11,"",13.6468,0,0,0,0.418257,0,0.0341214,0,0.183535,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.471853
"MtrElec",1,1,12,"",12.2305,0,0,0,0.418257,0,0.0341214,0,0.258643,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.548732
"MtrElec",1,1,13,"",9.64258,0,0,0,0.418257,0,0.0341214,0,0.334294,0.756867,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-0.899024
"MtrElec",1,1,14,"",8.06854,0,0,0,0.418257,0,0.0341214,0,0.325653,0.756867,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-0.794418
