"",001
"Mon 09-Mar-20   4:11:04 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",7.01826,0,0,0,0,0,0.00682428,0,0,0.315361,0,0,0,0.537112,4.64792,0.23202,1.27132,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",6.47783,0,0,0,0,0,0.00682428,0,0,0.315361,0,0,0,0.443701,4.27654,0.23202,1.19722,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",6.25992,0,0,0,0,0,0.00682428,0,0.137512,0.315361,0,0,0,0.35029,4.05412,0.226976,1.16421,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",6.36529,0,0,0,0,0,0.00682428,0,0.243189,0.315361,0,0,0,0.396996,4.04258,0.226976,1.12873,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",6.36531,0,0,0,0,0,0.00682428,0,0.409302,0.315361,0,0,0,0.490407,3.83942,0.23202,1.06735,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",7.03939,0,0,0,0,0,0.00682428,0,0.54399,0.315361,0,0,0,0.723934,4.16041,0.226976,1.05418,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",10.1435,0,0,0,0,0,0.00682428,0,2.21702,0.315361,0,0,0,0.980813,4.67234,0.221932,1.05892,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",22.3485,0,0,0,8.77111,0,0.00682428,0,3.14528,0.315361,0,0,0,0.957461,5.01958,0.2068,1.21761,0,0.276577,2.39027,0.0416388,0,0,0,0
"MtrElec",1,1,9,"",21.8067,0,0,0,10.3193,0,0.00682428,0,2.0317,0.315361,0,0,0,0.793992,4.71994,0.181581,1.46988,0,1.00958,0.98054,0.0740246,0,0,0,-0.0960333
"MtrElec",1,1,10,"",24.9693,0,0,0,10.3197,0,0.00682428,0,1.59236,0.315361,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-0.217237
"MtrElec",1,1,11,"",24.3205,0,0,0,10.3611,0,0.00682428,0,1.2587,0.315361,0,0,0,0.630523,4.61538,0.121054,1.40216,0,2.39589,3.48997,0.0709402,0,0,0,-0.347359
"MtrElec",1,1,12,"",22.9376,0,0,0,10.4041,0,0.00682428,0,1.29402,0.315361,0,0,0,0.583817,4.54226,0.0807026,1.42598,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-0.394035
"MtrElec",1,1,13,"",19.5493,0,0,0,10.4076,0,0.00682428,0,1.26375,0.315361,0,0,0,0.490407,4.501,0.060527,1.44963,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-1.44236
"MtrElec",1,1,14,"",18.1137,0,0,0,10.719,0,0.00682428,0,1.17553,0.315361,0,0,0,0.490407,4.63842,0.055483,1.46662,0,0.217118,0.369024,0.0909886,0,0,0,-1.43112
"MtrElec",1,1,15,"",17.5665,0,0,0,9.35758,0,0.00682428,0,1.14087,0.315361,0,0,0,0.490407,4.86538,0.055483,1.43995,0,0.155865,0.673276,0.0956151,0,0,0,-1.03014
"MtrElec",1,1,16,"",8.97036,0,0,0,0,0,0.00682428,0,1.18173,0.315361,0,0,0,0.60717,5.1168,0.060527,1.49567,0,0.284372,0.208307,0.104868,0,0,0,-0.411269
"MtrElec",1,1,17,"",10.5945,0,0,0,0,0,0.00682428,0,1.19651,0.315361,0,0,0,0.723934,5.74202,0.0958344,1.43518,0,0.0879827,0.881776,0.140338,0,0,0,-0.0312342
"MtrElec",1,1,18,"",11.2947,0,0,0,0,0,0.00682428,0,1.15867,0.315361,0,0,0,1.02752,6.47423,0.191669,1.53361,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",12.4975,0,0,0,0,0,0.00682428,0,1.13007,0.315361,0,0,0,1.96163,6.95786,0.242108,1.68475,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.8527,0,0,0,0,0,0.00682428,0,1.03178,0.315361,0,0,0,2.73227,7.23308,0.302635,1.64411,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",14.8219,0,0,0,0.355195,0,0.00682428,0,1.06886,0.315361,0,0,0,2.63885,7.49676,0.418645,1.58981,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",24.1992,0,0,0,10.6982,0,0.00682428,0,1.09684,0.315361,0,0,0,2.24186,7.42686,0.494303,1.52472,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",22.1672,0,0,0,10.7023,0,0.00682428,0,1.21745,0.315361,0,0,0,1.47122,6.63975,0.428733,1.37168,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",19.1812,0,0,0,10.5567,0,0.00682428,0,0,0.315361,0,0,0,0.910755,5.66234,0.297591,1.42391,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",6.94712,0,0,0,0,0,0.00682428,0,0,0.315361,0,0,0,0.537112,4.63532,0.23202,1.21277,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.15674,0,0,0,0,0,0.00682428,0,0.0555575,0.315361,0,0,0,0.443701,4.22793,0.23202,1.17154,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.10858,0,0,0,0,0,0.00682428,0,0.239935,0.315361,0,0,0,0.35029,4.06638,0.23202,1.11369,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",6.5488,0,0,0,0,0,0.00682428,0,0.456898,0.315361,0,0,0,0.396996,4.04224,0.23202,1.09229,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",17.1955,0,0,0,10.5994,0,0.00682428,0,0.652925,0.315361,0,0,0,0.490407,3.85168,0.23202,1.04066,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",7.19611,0,0,0,0,0,0.00682428,0,0.713525,0.315361,0,0,0,0.723934,4.17266,0.186625,1.05559,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",9.89999,0,0,0,0,0,0.00682428,0,2.39257,0.315361,0,0,0,0.980813,4.75662,0.176537,1.24197,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",11.3049,0,0,0,0,0,0.00682428,0,3.27666,0.315361,0,0,0,0.957461,5.11646,0.171493,1.43815,0,0,0,0.0385545,0,0,0,-0.0160742
"MtrElec",1,2,9,"",9.75613,0,0,0,0,0,0.00682428,0,2.17446,0.315361,0,0,0,0.793992,4.74336,0.166449,1.41496,0,0,0.628229,0.0400967,0,0,0,-0.527598
"MtrElec",1,2,10,"",19.9447,0,0,0,10.989,0,0.00682428,0,1.86627,0.315361,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-0.360337
"MtrElec",1,2,11,"",19.3971,0,0,0,11.0365,0,0.00682428,0,1.71273,0.315361,0,0,0,0.630523,4.50554,0.110966,1.26753,0,0.107274,0,0.0323858,0,0,0,-0.328616
