16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.1 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-04-07 14:18:53"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrlc-hpwh\cz01\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,14.6217,0,1.85033,0,5.01551,0,0.906753,1.7398,6.45223,0.256709,0,0,30.8431,0,0,0,0,0,0,0,0.006564,0,0,0.006564,0,0,0,0,0,0,0,0,0,0,0,28.1794,352.219,0,0.000247243,0.004509,
1,1,2,15.4963,0,1.85033,0,3.559,0,0.783447,1.66738,5.94853,0.256709,0,0,29.5617,0,0,0,0,0,0,0,0.0052512,0,0,0.0052512,0,0,0,0,0,0,0,0,0,0,0,28.1636,352.219,0,0.000246894,0.004509,
1,1,3,15.711,0,1.85033,0,0.00440018,0,0.660138,1.63712,5.64672,0.251128,0,0,25.7608,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,28.1069,352.219,0,0.000246589,0.004509,
1,1,4,16.1765,0,1.85033,0,0.00440018,0,0.721791,1.5994,5.63198,0.251128,0,0,26.2356,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,28.014,352.219,0,0.000241921,0.004509,
1,1,5,12.2958,0,1.85033,0,0.00440018,0,0.8451,1.53625,5.35381,0.256709,0,0,22.1424,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,28.1344,352.219,0,0.00024575,0.004509,
1,1,6,8.99179,0,1.85033,0,6.7792,0,1.15337,1.53212,5.79361,0.251128,0,0,26.3515,0,0,0,0,0,0,0,0.006564,0,0,0.006564,0,0,0,0,0,0,0,0,0,0,0,28.1753,352.219,0,0.000247852,0.004509,
1,1,7,7.5315,0,1.85033,0,0.00440018,0,1.49247,1.98713,6.4932,0.245547,0,0,19.6046,0,0,0,0,0,0,0,0.013128,0,0,0.013128,0,0,0,0,0,0,0,0,0,0,0,28.1973,352.219,0,0.000248481,0.004509,
1,1,8,15.2232,0,1.85033,0,0.00440018,0,1.64524,3.4812,7.11301,0.228805,0,0,29.5462,0,0,0,0,0,0,0,0.160029,0,0,0.160029,0,0,0,0,0,0,0,0,0,0,0,28.187,352.219,0,0.000248005,0.004509,
1,1,9,13.7089,0,1.85033,0,0.880502,0,1.43755,3.72741,6.70668,0.200902,-8.89892,0,19.6133,0,0,0,0,0,0,0,0.525414,0,0,0.525414,0,0,0,0,0,0,0,0,0,0,0,28.1718,352.219,0,0.000243441,0.004509,
1,1,10,9.14132,0,1.85033,0,4.385,0,1.28342,6.79894,6.45569,0.167419,-21.8132,0,8.26892,0,0,0,0,0,0,0,0.361256,0,0,0.361256,0,0,0,0,0,0,0,0,0,0,0,27.6832,352.219,0,0.000204114,0.004509,
1,1,11,7.72183,0,1.85033,0,4.29628,0,1.27036,6.77494,6.61084,0.133935,-13.6857,0,14.9729,0,0,0,0,0,0,0,1.09974,0,0,1.09974,0,0,0,0,0,0,0,0,0,0,0,27.4314,352.219,0,0.000185689,0.004509,
1,1,12,9.68301,0,1.85033,0,4.385,0,1.20871,4.70988,6.51272,0.0892899,-5.38376,0,23.0552,0,0,0,0,0,0,0,0.681648,0,0,0.681648,0,0,0,0,0,0,0,0,0,0,0,27.024,352.219,0,0.000170892,0.004509,
1,1,13,9.07535,0,1.85033,0,4.38512,0,1.2933,4.19718,6.69613,0.0669675,-32.4871,0,-4.92273,0,0,0,0,0,0,0,0.0894516,0,0,0.0894516,0,0,0,0,0,0,0,0,0,0,0,26.4681,352.219,0,0.000161225,0.004509,
1,1,14,8.5329,0,1.85033,0,4.37333,0,1.2933,2.42329,6.88324,0.0613869,-25.4227,0,-0.00490375,0,0,0,0,0,0,0,0.167222,0,0,0.167222,0,0,0,0,0,0,0,0,0,0,0,26.912,352.219,0,0.000166253,0.004509,
1,1,15,7.78407,0,1.85033,0,4.30994,0,1.2933,2.53633,7.19194,0.0613869,-21.2326,0,3.79465,0,0,0,0,0,0,0,0.145835,0,0,0.145835,0,0,0,0,0,0,0,0,0,0,0,26.6978,352.219,0,0.000166712,0.004509,
