16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-10 20:33:28"
Cond. Area:,,,39372
Model:,,,"Proposed"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrlc-hpwh\cz04\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,3.84108,0,1.85033,0,0.00440018,0,0.906753,1.75546,6.45223,0.256709,0,0,15.067,0,0,0,0,0,0,0,0.006564,0,0,0.006564,0,0,0,0,0,0,0,0,0,0,0,27.9635,352.219,0,0.000247243,0.004509,
1,1,2,3.97829,0,1.85033,0,0.00440018,0,0.783447,1.67722,5.94853,0.256709,0,0,14.4989,0,0,0,0,0,0,0,0.0052512,0,0,0.0052512,0,0,0,0,0,0,0,0,0,0,0,27.9477,352.219,0,0.000246894,0.004509,
1,1,3,3.86762,0,1.85033,0,0.00440018,0,0.660138,1.64221,5.64672,0.251128,0,0,13.9225,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,27.8911,352.219,0,0.000246589,0.004509,
1,1,4,2.48921,0,1.85033,0,0.00440018,0,0.721791,1.60166,5.63198,0.251128,0,0,12.5505,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,27.7982,352.219,0,0.000241921,0.004509,
1,1,5,2.93129,0,1.85033,0,0.00440018,0,0.8451,1.53646,5.35381,0.256709,0,0,12.7781,0,0,0,0,0,0,0,0.0039384,0,0,0.0039384,0,0,0,0,0,0,0,0,0,0,0,27.9185,352.219,0,0.00024575,0.004509,
1,1,6,2.29872,0,1.85033,0,7.33805,0,1.15337,1.53212,5.79361,0.251128,0,0,20.2173,0,0,0,0,0,0,0,0.006564,0,0,0.006564,0,0,0,0,0,0,0,0,0,0,0,27.9595,352.219,0,0.000247852,0.004509,
1,1,7,1.62082,0,1.85033,0,0.00440018,0,1.49247,1.98713,6.4932,0.245547,0,0,13.6939,0,0,0,0,0,0,0,0.013128,0,0,0.013128,0,0,0,0,0,0,0,0,0,0,0,27.9814,352.219,0,0.000248481,0.004509,
1,1,8,6.22857,0,1.85033,0,0.00440018,0,1.64524,3.4812,7.11301,0.228805,0,0,20.5516,0,0,0,0,0,0,0,0.160029,0,0,0.160029,0,0,0,0,0,0,0,0,0,0,0,27.9711,352.219,0,0.000248005,0.004509,
1,1,9,5.573,0,1.85033,0,1.60239,0,1.43755,3.72741,6.70668,0.200902,0,0,21.0983,0,0,0,0,0,0,0,0.525414,0,0,0.525414,0,0,0,0,0,0,0,0,0,0,0,27.9559,352.219,0,0.000243441,0.004509,
1,1,10,3.39178,0,1.85033,0,4.15036,0,1.28342,6.79894,6.45569,0.167419,-0.709241,0,23.3887,0,0,0,0,0,0,0,0.361256,0,0,0.361256,0,0,0,0,0,0,0,0,0,0,0,27.4674,352.219,0,0.000204114,0.004509,
1,1,11,2.73266,0,1.85033,0,4.18072,0,1.27036,6.77494,6.61084,0.133935,-2.33481,0,21.219,0,0,0,0,0,0,0,1.09974,0,0,1.09974,0,0,0,0,0,0,0,0,0,0,0,27.2155,352.219,0,0.000185689,0.004509,
1,1,12,4.3408,0,1.85033,0,4.18072,0,1.20871,4.7103,6.51272,0.0892899,-1.63257,0,21.2603,0,0,0,0,0,0,0,0.681648,0,0,0.681648,0,0,0,0,0,0,0,0,0,0,0,26.8081,352.219,0,0.000170892,0.004509,
1,1,13,4.93255,0,1.85033,0,4.18081,0,1.2933,4.1972,6.69613,0.0669675,-3.32972,0,19.8876,0,0,0,0,0,0,0,0.0894516,0,0,0.0894516,0,0,0,0,0,0,0,0,0,0,0,26.2522,352.219,0,0.000161225,0.004509,
1,1,14,3.84854,0,1.85033,0,4.17377,0,1.2933,2.42329,6.88324,0.0613869,-4.59777,0,15.9361,0,0,0,0,0,0,0,0.167222,0,0,0.167222,0,0,0,0,0,0,0,0,0,0,0,26.6961,352.219,0,0.000166253,0.004509,
1,1,15,2.36336,0,1.85033,0,4.14347,0,1.2933,2.53633,7.19194,0.0613869,-8.03971,0,11.4004,0,0,0,0,0,0,0,0.145835,0,0,0.145835,0,0,0,0,0,0,0,0,0,0,0,26.4819,352.219,0,0.000166712,0.004509,
