"",002
"Tue 10-Mar-20   8:40:07 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",38.6688,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,3.09384,22.015,0.87589,6.26043,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",36.2209,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,2.67312,20.2964,0.87589,5.95889,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",34.6131,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,2.25239,19.2666,0.856849,5.82772,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",34.6173,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,2.46275,19.2163,0.856849,5.67185,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",33.8922,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,2.88348,18.2672,0.87589,5.45606,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",36.3849,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,3.9353,19.7678,0.856849,5.40129,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",41.4605,0,0,0,0,0,0.0750671,0,0,6.31333,0,0,0,5.09231,22.1548,0.837808,5.48975,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",50.7272,0,0,0,0.418257,0,0.0750671,0,1.64112,6.31333,0,0,0,5.61357,24.2696,0.780684,5.96607,0,0.602657,5.29585,0.190523,0,0,0,-0.439491
"MtrElec",1,1,9,"",48.1647,0,0,0,0.418257,0,0.0750671,0,1.11864,6.31333,0,0,0,4.90493,22.8832,0.685479,6.84214,0,2.23681,3.41576,0.338707,0,0,0,-1.06758
"MtrElec",1,1,10,"",56.1836,0,0,0,0.418257,0,0.0750671,0,0.520411,6.31333,0,0,0,4.37902,22.0268,0.571233,6.657,3.02482,1.44271,11.9037,0.338707,0,0,0,-1.48742
"MtrElec",1,1,11,"",56.089,0,0,0,0.418257,0,0.0750671,0,0.327202,6.31333,0,0,0,4.33448,22.5562,0.456986,6.57693,4.39771,5.02777,6.97994,0.324594,0,0,0,-1.69953
"MtrElec",1,1,12,"",48.1869,0,0,0,0.418257,0,0.0750671,0,0.229917,6.31333,0,0,0,4.12411,22.2214,0.304657,6.73244,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.80776
"MtrElec",1,1,13,"",47.9393,0,0,0,0.418257,0,0.0750671,0,0.149211,6.31333,0,0,0,4.41274,22.8472,0.228493,6.87789,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.10138
"MtrElec",1,1,14,"",42.1503,0,0,0,0.418257,0,0.0750671,0,0.0505322,6.31333,0,0,0,4.41274,23.4856,0.209452,6.9624,0,0.434236,0.738049,0.416328,0,0,0,-1.36565
"MtrElec",1,1,15,"",43.4027,0,0,0,0.418257,0,0.0750671,0,0.0395598,6.31333,0,0,0,4.41274,24.5389,0.209452,6.85697,0,0.31173,1.34655,0.437497,0,0,0,-1.5574
"MtrElec",1,1,16,"",46.6746,0,0,0,0.418257,0,0.0750671,0,0.0352382,6.31333,0,0,0,4.93865,25.7089,0.228493,7.05779,0,0.568744,1.30337,0.479835,0,0,0,-0.453037
"MtrElec",1,1,17,"",55.2238,0,0,0,0,0,0.0750671,0,0.0386231,6.31333,0,0,0,5.46456,28.6239,0.361781,6.90446,0,0.550504,6.29167,0.642132,0,0,0,-0.0421413
