"",001
"Tue 10-Mar-20   8:44:04 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",112.221,0,30.5806,11.6759,13.1489,0,0.0750671,0,8.92692,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,1,2,"",106.203,0,34.8707,15.2074,0,0,0.0750671,0,10.2994,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,3,"",107.242,0,36.1727,16.0931,0,0,0.0750671,0,10.6969,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,4,"",138.068,0,38.3567,16.9017,26.6274,0,0.0750671,0,11.3877,6.31333,0,6.14185,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,1,5,"",117.946,0,42.4368,17.9956,0,0,0.0750671,0,12.7224,6.31333,0,6.14185,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,1,6,"",134.506,0,41.2602,17.4009,14.0751,0,0.0750671,0,12.338,6.31333,0,6.14185,0,8.65475,16.8963,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,1,7,"",157.463,0,36.341,15.7414,38.1022,0,0.0750671,0,10.7452,6.31333,0,6.14185,0,11.4864,19.6632,0,9.35536,1.83326,0,0.494329,0,0,1.17084,0,0
"MtrElec",1,1,8,"",186.536,0,52.0852,23.2456,38.7967,0,0.0750671,0,15.137,6.31333,0,6.14185,0,11.8554,21.0922,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,9,"",163.192,0,40.9573,2.4715,47.2013,0,0.0750671,0,11.396,6.31333,0,6.14185,0,10.0811,17.8918,0,9.35536,1.61501,0,0.435481,0,0,9.25669,0,0
"MtrElec",1,1,10,"",152.561,0,21.2073,0,83.5974,0,0.0750671,0,5.70415,6.31333,0,0,0,8.79399,15.586,0,9.35536,1.39677,0,0.376632,0,0,0.15502,0,0
"MtrElec",1,1,11,"",135.153,0,7.19447,0,83.5974,0,0.0750671,0,1.89195,6.31333,0,0,0,8.44497,16.213,0,9.35536,1.44042,0,0.388402,0,0,0.238977,0,0
"MtrElec",1,1,12,"",80.9132,0,2.71035,0,35.7813,0,0.0750671,0,0.705921,6.31333,0,0,0,7.93012,16.213,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,13,"",81.1931,0,1.37872,0,35.8275,0,0.0750671,0,0.357502,6.31333,0,0,0,7.60979,16.5717,0,9.35536,1.39677,0,0.376632,0,0,1.93079,0,0
"MtrElec",1,1,14,"",92.8907,0,0.38972,0,50.1851,0,0.0750671,0,0.10066,6.31333,0,0,0,7.60979,17.0329,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,1,15,"",59.0425,0,0.349244,0,15.3546,0,0.0750671,0,0.0902101,6.31333,0,0,0,7.60979,17.9552,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,1,16,"",75.3051,0,0.382866,0,29.0032,0,0.0750671,0,0.0990795,6.31333,0,0,0,8.8969,18.8775,0,9.35536,1.61501,0,0.435481,0,0,0.251349,0,0
"MtrElec",1,1,17,"",99.6996,0,0.425079,0,48.6926,0,0.0750671,0,0.110215,6.31333,0,0,0,10.184,22.1055,0,9.35536,1.92056,0,0.517869,0,0,0,0,0
"MtrElec",1,1,18,"",96.235,0,0.622156,0,34.6901,0,0.0750671,0,0.161924,6.31333,0,0,0,13.4476,26.1454,0,9.35536,2.3134,0,0.623797,0,0,2.48693,0,0
"MtrElec",1,1,19,"",151.917,0,1.13294,0,79.5552,0,0.0750671,0,0.296574,6.31333,0,0,0,23.6339,28.3406,0,9.35536,2.53164,0,0.682645,0,0,0,0,0
"MtrElec",1,1,20,"",96.7904,0,0.699714,0,15.3546,0,0.0750671,0,0.183751,6.31333,0,0,0,32.3034,29.18,0,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,21,"",153.79,0,1.00158,0,65.3994,0,0.0750671,0,0.263901,6.31333,0,0,0,31.0163,30.1023,5.05195,9.35536,2.70624,0,0.729724,0,0,1.77539,0,0
"MtrElec",1,1,22,"",142.275,0,1.25365,0,60.7499,0,0.0750671,0,0.330822,6.31333,0,0,0,26.6401,29.18,5.05195,9.35536,2.61894,0,0.706185,0,0,0,0,0
"MtrElec",1,1,23,"",87.705,0,5.92311,0,15.3546,0,0.0750671,0,1.58277,6.31333,0,0,0,16.8923,24.2747,5.05195,9.35536,2.26975,0,0.612027,0,0,0,0,0
"MtrElec",1,1,24,"",131.1,0,5.99447,0,60.9958,0,0.0750671,0,1.66053,6.31333,0,6.14185,0,10.4567,21.0467,5.05195,9.35536,1.96421,0,0.529639,0,0,1.51469,0,0
"MtrElec",1,2,1,"",78.2643,0,11.7597,0,15.3546,0,0.0750671,0,3.26114,6.31333,0,6.14185,0,6.59537,17.3574,0,9.35536,1.61501,0,0.435481,0,0,0,0,0
"MtrElec",1,2,2,"",75.2421,0,16.8838,0,7.87502,0,0.0750671,0,4.65729,6.31333,0,6.14185,0,5.56568,16.4351,0,9.35536,1.52771,0,0.411941,0,0,0,0,0
"MtrElec",1,2,3,"",66.7636,0,17.6387,0,0,0,0.0750671,0,4.84506,6.31333,0,6.14185,0,4.53599,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,4,"",59.8445,0,16.6511,0,0,0,0.0750671,0,4.54064,6.31333,0,0,0,5.05084,15.974,0,9.35536,1.48407,0,0.400172,0,0,0,0,0
"MtrElec",1,2,5,"",86.5246,0,16.7974,0,26.5081,0,0.0750671,0,4.56979,6.31333,0,0,0,6.08053,15.0517,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,6,"",193.336,0,74.3449,49.5334,4.35048,0,0.0750671,0,21.1922,6.31333,0,0,0,9.16911,17.0068,0,9.35536,1.57136,0,0.423711,0,0,0,0,0
"MtrElec",1,2,7,"",117.95,0,40.3227,0,15.3546,0,0.0750671,0,10.9661,6.31333,0,0,0,12.7525,20.4831,0,9.35536,1.83326,0,0.494329,0,0,0,0,0
"MtrElec",1,2,8,"",147.268,0,44.3156,0,33.5527,0,0.0750671,0,12.0757,6.31333,0,0,0,14.6649,22.3174,0,9.35536,1.92056,0,0.517869,0,0,2.15985,0,0
"MtrElec",1,2,9,"",180.946,0,33.0508,0,83.5974,0,0.0750671,0,8.87958,6.31333,0,0,0,16.6919,20.9134,0,9.35536,1.61501,0,0.435481,0,0,0.0185871,0,0
"MtrElec",1,2,10,"",154.05,0,30.6406,0,61.5082,0,0.0750671,0,8.25983,6.31333,0,0,0,16.3647,19.7592,0,9.35536,1.39677,0,0.376632,0,0,0,0,0
"MtrElec",1,2,11,"",101.478,0,25.6022,0,15.3546,0,0.0750671,0,6.87821,6.31333,0,0,0,15.8499,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
"MtrElec",1,2,12,"",101.42,0,23.2663,0,18.7668,0,0.0750671,0,6.25939,6.31333,0,0,0,15.335,20.2204,0,9.35536,1.44042,0,0.388402,0,0,0,0,0
