"",001
"Tue 10-Mar-20   8:46:24 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",56.7399,0,7.13266,3.4491,0,0,0.0150134,0,1.72434,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.9436,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",61.1668,0,11.2149,5.24933,0,0,0.0150134,0,2.67957,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.67917,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",66.457,0,15.2592,7.1666,0,0,0.0150134,0,3.59822,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.56575,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",73.4909,0,19.5741,8.79464,0,0,0.0150134,0,4.6589,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.43598,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",79.9734,0,24.1338,10.2778,0,0,0.0150134,0,5.82343,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22051,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",110.948,0,25.5827,10.2566,26.6408,0,0.0150134,0,6.21068,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",88.2042,0,25.0997,9.70512,0,0,0.0150134,0,6.06414,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",132.827,0,41.6802,26.4012,0,0,0.0150134,0,9.8474,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-0.113734
"MtrElec",1,1,9,"",114.778,0,32.4351,17.7692,3.79379,0,0.0150134,0,7.48726,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-0.369406
"MtrElec",1,1,10,"",103.853,0,17.8069,4.73011,15.3613,0,0.0150134,0,3.93586,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-0.626362
"MtrElec",1,1,11,"",85.4904,0,7.46095,0,14.504,0,0.0150134,0,1.58354,6.31333,0,6.14185,0,4.33448,22.5562,0.456986,6.38609,4.39771,5.02777,6.97994,0.324594,0,0,0,-0.992111
"MtrElec",1,1,12,"",65.8262,0,3.68802,0,14.1569,0,0.0150134,0,0.772102,6.31333,0,0,0,4.12411,22.2214,0.304657,6.49599,6.16207,2.94812,0.0772521,0.388102,0,0,0,-1.84085
"MtrElec",1,1,13,"",62.5494,0,2.03404,0,13.9216,0,0.0150134,0,0.421538,6.31333,0,0,0,4.41274,22.8472,0.228493,6.6149,6.21322,0.032629,1.02809,0.444553,0,0,0,-1.9779
"MtrElec",1,1,14,"",55.7122,0,0.594478,0,13.8108,0,0.0150134,0,0.122217,6.31333,0,0,0,4.41274,23.4856,0.209452,6.71763,0,0.434236,0.738049,0.416328,0,0,0,-1.55767
"MtrElec",1,1,15,"",57.6084,0,0.390253,0,13.8236,0,0.0150134,0,0.0800266,6.31333,0,0,0,4.41274,24.5389,0.209452,6.62047,0,0.31173,1.34655,0.437497,0,0,0,-0.891167
"MtrElec",1,1,16,"",60.4508,0,0.398736,0,13.8989,0,0.0150134,0,0.0818835,6.31333,0,0,0,4.93865,25.7089,0.228493,6.86993,0,0.568744,1.30337,0.479835,0,0,0,-0.354956
"MtrElec",1,1,17,"",69.4597,0,0.490746,0,14.0124,0,0.0150134,0,0.101118,6.31333,0,0,0,5.46456,28.6239,0.361781,6.62373,0,0.550504,6.29167,0.642132,0,0,0,-0.0310748
"MtrElec",1,1,18,"",75.9856,0,0.74184,0,14.0709,0,0.0150134,0,0.15335,6.31333,0,0,0,6.74902,31.933,0.723561,7.06786,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",79.2,0,1.00283,0,14.2002,0,0.0150134,0,0.208024,6.31333,0,0,0,10.8458,34.0729,0.913972,7.73548,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",88.184,0,0.435242,0,14.3217,0,0.0150134,0,0.0906471,6.31333,0,0,0,14.2339,35.2642,1.14247,7.56491,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",82.0421,0,0.637333,0,14.44,0,0.0150134,0,0.133206,6.31333,0,0,0,13.8131,36.4881,1.58041,7.33401,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",81.9849,0,0.82663,0,14.4632,0,0.0150134,0,0.173097,6.31333,0,0,0,12.025,36.1513,1.86603,7.03368,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",80.153,0,2.59713,0,15.0465,0,0.0150134,0,0.547446,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.36167,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",71.5068,0,2.58394,0,15.0593,0,0.0150134,0,0.562891,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.54567,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",64.2743,0,3.0909,0,15.0974,0,0.0150134,0,0.676949,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.72433,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",58.9012,0,2.88916,0,16.0214,0,0.0150134,0,0.630051,6.31333,0,0,0,2.67312,20.0694,0.87589,5.61777,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",48.0055,0,3.05698,0,8.50114,0,0.0150134,0,0.667264,6.31333,0,0,0,2.25239,19.3206,0.87589,5.41888,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",38.41,0,3.41758,0,0,0,0.0150134,0,0.749791,6.31333,0,0,0,2.46275,19.2101,0.87589,5.33727,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",39.305,0,4.68575,0,0,0,0.0150134,0,1.02933,6.31333,0,0,0,2.88348,18.3211,0.87589,5.15283,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",144.476,0,52.4751,43.3424,0,0,0.0150134,0,11.8559,6.31333,0,0,0,4.44966,19.9323,0.70452,5.28891,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",91.8258,0,27.1437,0,15.9233,0,0.0150134,0,5.86261,6.31333,0,0,0,6.3584,23.3625,0.666438,6.04633,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",94.1876,0,31.5708,0,7.53212,0,0.0150134,0,6.84598,6.31333,0,0,0,8.42304,25.9428,0.647397,6.72081,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",87.1928,0,22.0575,0,0,0,0.0150134,0,4.72472,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.49328,1.3606,0,1.75036,0.183466,0,0,0,-0.00320676
"MtrElec",1,2,10,"",95.7633,0,22.6361,0,7.77374,0,0.0150134,0,4.88327,6.31333,0,6.14185,0,11.9498,25.8051,0.53315,5.93542,1.11435,0.739299,1.8495,0.155241,0,0,0,-0.0818842
"MtrElec",1,2,11,"",99.5844,0,21.1397,0,15.001,0,0.0150134,0,4.57473,6.31333,0,6.14185,0,11.7394,26.0582,0.418904,5.77293,0,0.781173,1.67248,0.148184,0,0,0,-0.192454
"MtrElec",1,2,12,"",94.0981,0,17.1204,0,14.5521,0,0.0150134,0,3.69265,6.31333,0,6.14185,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-0.157204
"MtrElec",1,2,13,"",83.9723,0,14.4231,0,14.5402,0,0.0150134,0,3.0889,6.31333,0,0,0,11.1083,26.085,0.228493,6.08312,1.41802,0.753625,0,0.246974,0,0,0,-0.3318
"MtrElec",1,2,14,"",85.0697,0,9.66112,0,14.4329,0,0.0150134,0,2.05284,6.31333,0,0,0,11.1083,26.5565,0.209452,5.9226,1.0564,0,7.93763,0.225805,0,0,0,-0.422282
