"",002
"Tue 10-Mar-20   8:48:26 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",56.1075,0,6.74922,3.22488,0,0,0.0750671,0,1.61231,6.31333,0,6.14185,0,3.09384,22.015,0.87589,5.97086,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,2,"",55.3397,0,7.71471,3.64859,0,0,0.0750671,0,1.86754,6.31333,0,6.14185,0,2.67312,20.2964,0.87589,5.70499,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,1,3,"",56.5746,0,9.36173,4.45854,0,0,0.0750671,0,2.23907,6.31333,0,6.14185,0,2.25239,19.2666,0.856849,5.58796,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,4,"",62.3215,0,12.8744,5.82526,0,0,0.0750671,0,3.08836,6.31333,0,6.14185,0,2.46275,19.2163,0.856849,5.44614,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,5,"",70.7928,0,18.615,7.89902,0,0,0.0750671,0,4.47732,6.31333,0,6.14185,0,2.88348,18.2672,0.87589,5.22337,0,0,0,0.0211692,0,0,0,0
"MtrElec",1,1,6,"",76.2233,0,20.6697,8.24277,0,0,0.0750671,0,4.99304,6.31333,0,6.14185,0,3.9353,19.7678,0.856849,5.19231,0,0,0,0.035282,0,0,0,0
"MtrElec",1,1,7,"",80.6204,0,20.443,7.86678,0,0,0.0750671,0,4.91538,6.31333,0,6.14185,0,5.09231,22.1548,0.837808,5.28269,0,0,1.42685,0.070564,0,0,0,0
"MtrElec",1,1,8,"",116.81,0,37.6968,24.6367,0,0,0.0750671,0,8.88142,6.31333,0,6.14185,0,5.61357,24.2696,0.780684,5.78884,0,0.602657,5.29585,0.190523,0,0,0,-9.47704
"MtrElec",1,1,9,"",75.2287,0,29.1442,16.4438,0,0,0.0750671,0,6.70021,6.31333,0,6.14185,0,4.90493,22.8832,0.685479,6.72665,0,2.23681,3.41576,0.338707,0,0,0,-30.7813
"MtrElec",1,1,10,"",33.5996,0,15.2435,4.06302,0.418257,0,0.0750671,0,3.36215,6.31333,0,6.14185,0,4.37902,22.0268,0.571233,6.48804,3.02482,1.44271,11.9037,0.338707,0,0,0,-52.1926
"MtrElec",1,1,11,"",-10.5634,0,7.17226,0,0.418257,0,0.0750671,0,1.5212,6.31333,0,6.14185,0,4.33448,22.5562,0.456986,6.38618,4.39771,5.02777,6.97994,0.324594,0,0,0,-82.6692
"MtrElec",1,1,12,"",-99.377,0,3.70556,0,0.418257,0,0.0750671,0,0.776632,6.31333,0,0,0,4.12411,22.2214,0.304657,6.50024,6.16207,2.94812,0.0772521,0.388102,0,0,0,-153.392
"MtrElec",1,1,13,"",-113.737,0,2.02141,0,0.418257,0,0.0750671,0,0.419646,6.31333,0,0,0,4.41274,22.8472,0.228493,6.62006,6.21322,0.032629,1.02809,0.444553,0,0,0,-164.811
"MtrElec",1,1,14,"",-85.8787,0,0.576979,0,0.418257,0,0.0750671,0,0.119266,6.31333,0,0,0,4.41274,23.4856,0.209452,6.71747,0,0.434236,0.738049,0.416328,0,0,0,-129.795
"MtrElec",1,1,15,"",-29.0807,0,0.411474,0,0.418257,0,0.0750671,0,0.0849665,6.31333,0,0,0,4.41274,24.5389,0.209452,6.61725,0,0.31173,1.34655,0.437497,0,0,0,-74.2579
"MtrElec",1,1,16,"",17.4136,0,0.419279,0,0,0,0.0750671,0,0.0866746,6.31333,0,0,0,4.93865,25.7089,0.228493,6.86856,0,0.568744,1.30337,0.479835,0,0,0,-29.5773
"MtrElec",1,1,17,"",53.0397,0,0.564534,0,0,0,0.0750671,0,0.116931,6.31333,0,0,0,5.46456,28.6239,0.361781,6.62474,0,0.550504,6.29167,0.642132,0,0,0,-2.58936
"MtrElec",1,1,18,"",62.096,0,0.83912,0,0,0,0.0750671,0,0.174165,6.31333,0,0,0,6.74902,31.933,0.723561,7.07104,0,2.65741,4.57947,0.980839,0,0,0,0
"MtrElec",1,1,19,"",65.1904,0,1.10748,0,0,0,0.0750671,0,0.2305,6.31333,0,0,0,10.8458,34.0729,0.913972,7.73886,0,1.93423,1.04806,0.910275,0,0,0,0
"MtrElec",1,1,20,"",74.0431,0,0.531138,0,0,0,0.0750671,0,0.11065,6.31333,0,0,0,14.2339,35.2642,1.14247,7.56982,7.42682,0.442671,0.425048,0.508061,0,0,0,0
"MtrElec",1,1,21,"",67.8451,0,0.782966,0,0,0,0.0750671,0,0.16368,6.31333,0,0,0,13.8131,36.4881,1.58041,7.34092,0,0.179528,0.882255,0.225805,0,0,0,0
"MtrElec",1,1,22,"",67.7485,0,0.957887,0,0,0,0.0750671,0,0.200628,6.31333,0,0,0,12.025,36.1513,1.86603,7.04166,0,0.372638,2.64613,0.0987896,0,0,0,0
"MtrElec",1,1,23,"",65.3201,0,2.71346,0,0,0,0.0750671,0,0.57211,6.31333,0,6.14185,0,7.30113,31.2653,1.61849,6.37423,0,1.11764,1.76398,0.0635076,0,0,0,0
"MtrElec",1,1,24,"",56.2582,0,2.37333,0,0,0,0.0750671,0,0.514835,6.31333,0,6.14185,0,4.77676,26.7221,1.12342,6.55496,0,0.745052,0.882172,0.035282,0,0,0,0
"MtrElec",1,2,1,"",49.055,0,2.93136,0,0,0,0.0750671,0,0.639252,6.31333,0,6.14185,0,3.09384,21.9549,0.87589,5.73955,0,0.372603,0.882062,0.035282,0,0,0,0
"MtrElec",1,2,2,"",42.7362,0,2.71258,0,0,0,0.0750671,0,0.589005,6.31333,0,0,0,2.67312,20.0694,0.87589,5.63179,3.39527,0.372557,0,0.0282256,0,0,0,0
"MtrElec",1,2,3,"",39.3521,0,2.87248,0,0,0,0.0750671,0,0.624193,6.31333,0,0,0,2.25239,19.3206,0.87589,5.43417,1.55582,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,4,"",38.2446,0,3.22238,0,0,0,0.0750671,0,0.703493,6.31333,0,0,0,2.46275,19.2101,0.87589,5.35333,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,5,"",38.2416,0,3.7479,0,0,0,0.0750671,0,0.824669,6.31333,0,0,0,2.88348,18.3211,0.87589,5.17188,0,0,0,0.0282256,0,0,0,0
"MtrElec",1,2,6,"",143.104,0,51.9006,42.594,0,0,0.0750671,0,11.7242,6.31333,0,0,0,4.44966,19.9323,0.70452,5.31161,0,0,0,0.0987896,0,0,0,0
"MtrElec",1,2,7,"",75.6364,0,26.8632,0,0,0,0.0750671,0,5.79968,6.31333,0,0,0,6.3584,23.3625,0.666438,6.06368,0,0,0,0.134072,0,0,0,0
"MtrElec",1,2,8,"",85.2811,0,30.3806,0,0,0,0.0750671,0,6.58685,6.31333,0,0,0,8.42304,25.9428,0.647397,6.73565,0,0,0,0.17641,0,0,0,0
"MtrElec",1,2,9,"",83.0547,0,18.808,0,0,0,0.0750671,0,4.02406,6.31333,0,6.14185,0,11.5157,26.0117,0.628356,6.50929,1.3606,0,1.75036,0.183466,0,0,0,-0.267208
"MtrElec",1,2,10,"",75.7388,0,18.0535,0,0,0,0.0750671,0,3.88245,6.31333,0,6.14185,0,11.9498,25.8051,0.53315,5.94932,1.11435,0.739299,1.8495,0.155241,0,0,0,-6.82314
"MtrElec",1,2,11,"",64.9921,0,18.0195,0,0,0,0.0750671,0,3.88535,6.31333,0,6.14185,0,11.7394,26.0582,0.418904,5.77513,0,0.781173,1.67248,0.148184,0,0,0,-16.0365
"MtrElec",1,2,12,"",63.6341,0,14.6369,0,0,0,0.0750671,0,3.14634,6.31333,0,6.14185,0,11.529,26.0582,0.285616,5.85175,0,0.706407,1.78428,0.204636,0,0,0,-13.0993
