16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-10 20:48:10"
Cond. Area:,,,39372
Model:,,,"StdMixedFuel"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrlc-hpwh\cz09\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,0,0,1.85033,0,0.0220009,0,0.906753,1.75546,6.45223,0.256709,0,0,11.2435,0,0,0,0,0.175222,0,0,0.006564,0,0,0.181786,0,0,0,0,0,0,0,0,0,0,0,27.5499,353.349,0,0.000249403,0.004509,
1,1,2,0,0,1.85033,0,0.0220009,0,0.783447,1.67192,5.94853,0.256709,0,0,10.5329,0,0,0,0,0.100574,0,0,0.0052512,0,0,0.105825,0,0,0,0,0,0,0,0,0,0,0,27.5291,353.349,0,0.000249051,0.004509,
1,1,3,0,0,1.85033,0,0.0220009,0,0.660138,1.63218,5.64672,0.251128,0,0,10.0625,0,0,0,0,0.0829491,0,0,0.0039384,0,0,0.0868875,0,0,0,0,0,0,0,0,0,0,0,27.4456,353.349,0,0.000248744,0.004509,
1,1,4,0,0,1.85033,0,0.0220009,0,0.721791,1.58767,5.63198,0.251128,0,0,10.0649,0,0,0,0,0.080853,0,0,0.0039384,0,0,0.0847914,0,0,0,0,0,0,0,0,0,0,0,27.3782,353.349,0,0.000244034,0.004509,
1,1,5,0,0,1.85033,0,0.0220009,0,0.8451,1.51477,5.35381,0.256709,0,0,9.84272,0,0,0,0,0.0854016,0,0,0.0039384,0,0,0.08934,0,0,0,0,0,0,0,0,0,0,0,27.4225,353.349,0,0.000247897,0.004509,
1,1,6,0,0,1.85033,0,0.0220009,0,1.15337,1.50023,5.79361,0.251128,0,0,10.5707,0,0,0,0,0.64081,0,0,0.006564,0,0,0.647374,0,0,0,0,0,0,0,0,0,0,0,27.5413,353.349,0,0.000250017,0.004509,
1,1,7,0.349686,0,1.85033,0,0.0220009,0,1.49247,1.93971,6.4932,0.245547,0,0,12.3929,0.516172,0,0,0,0.385611,0,0,0.013128,0,0,0.914911,0,0,0,0,0,0,0,0,0,0,0,27.5678,353.349,0,0.000250652,0.004509,
1,1,8,2.22559,0,1.85033,0,0.0220009,0,1.64524,3.43864,7.11301,0.228805,-0.0333335,0,16.4903,3.28519,0,0,0,0.795123,0,0,0.160029,0,0,4.24034,0,0,0,0,0,0,0,0,0,0,0,27.5515,353.349,0,0.000250171,0.004509,
1,1,9,1.22536,0,1.85033,0,0.0220009,0,1.43755,3.72353,6.70668,0.200902,-0.108267,0,15.0581,1.80875,0,0,0,1.23603,0,0,0.525414,0,0,3.57019,0,0,0,0,0,0,0,0,0,0,0,27.3533,353.349,0,0.000245568,0.004509,
1,1,10,0.681357,0,1.85033,0,0.144585,0,1.28342,6.79894,6.45569,0.167419,-0.183576,0,17.1982,1.00575,0,0,0,1.1726,0,0,0.361256,0,0,2.53961,0,0,0,0,0,0,0,0,0,0,0,25.6938,353.349,0,0.000205897,0.004509,
1,1,11,0.348974,0,1.85033,0,0.144585,0,1.27036,6.77494,6.61084,0.133935,-0.290771,0,16.8432,0.515118,0,0,0,0.763086,0,0,1.09974,0,0,2.37794,0,0,0,0,0,0,0,0,0,0,0,25.0971,353.349,0,0.000187311,0.004509,
1,1,12,0.161606,0,1.85033,0,0.144585,0,1.20871,4.71085,6.51272,0.0892899,-0.539522,0,14.1386,0.238546,0,0,0,0.749542,0,0,0.681648,0,0,1.66974,0,0,0,0,0,0,0,0,0,0,0,24.6872,353.349,0,0.000172385,0.004509,
1,1,13,0.0690085,0,1.85033,0,0.144585,0,1.2933,4.20026,6.69613,0.0669675,-0.579689,0,13.7409,0.101863,0,0,0,0.417268,0,0,0.0894516,0,0,0.608583,0,0,0,0,0,0,0,0,0,0,0,24.6956,353.349,0,0.000162633,0.004509,
1,1,14,0.0211577,0,1.85033,0,0.144585,0,1.2933,2.42983,6.88324,0.0613869,-0.456527,0,12.2273,0.0312309,0,0,0,0.197208,0,0,0.167222,0,0,0.395661,0,0,0,0,0,0,0,0,0,0,0,24.687,353.349,0,0.000167705,0.004509,
