16,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Ruleset:,,"BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715)"
,CSE19:,,"CSE19 0.868.0 EXE"
,DHW:,,""
Run Title:,,,"TDSv30 V06R12 V06 R12 UGLASS15 NGAS PVSTD"
Run Date/Time:,,,"2020-03-10 21:09:27"
Cond. Area:,,,39372
Model:,,,"Standard"
Fuel TDV Set:,,,"Natural Gas"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hpwh\runs\lrlc-hpwh\cz15\instance.ribd22"

,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel,
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm),
1,1,1,1.80007,0,1.85033,0,0.0220009,0,0.906753,1.80351,6.45223,0.256709,0,0,13.0916,0,0,0,0,0.193917,0,0,0.006564,0,0,0.200481,0,0,0,0,0,0,0,0,0,0,0,27.4453,353.349,0,0.000249403,0.004509,
1,1,2,1.80007,0,1.85033,0,0.0220009,0,0.783447,1.71878,5.94853,0.256709,0,0,12.3799,0,0,0,0,0.104578,0,0,0.0052512,0,0,0.109829,0,0,0,0,0,0,0,0,0,0,0,27.4246,353.349,0,0.000249051,0.004509,
1,1,3,1.80007,0,1.85033,0,0.0220009,0,0.660138,1.67939,5.64672,0.251128,0,0,11.9098,0,0,0,0,0.083266,0,0,0.0039384,0,0,0.0872044,0,0,0,0,0,0,0,0,0,0,0,27.3411,353.349,0,0.000248744,0.004509,
1,1,4,1.80007,0,1.85033,0,0.0220009,0,0.721791,1.63657,5.63198,0.251128,0,0,11.9139,0,0,0,0,0.0807062,0,0,0.0039384,0,0,0.0846446,0,0,0,0,0,0,0,0,0,0,0,27.2737,353.349,0,0.000244034,0.004509,
1,1,5,2.16763,0,1.85033,0,0.0220009,0,0.8451,1.57081,5.35381,0.256709,0,0,12.0664,0,0,0,0,0.0863461,0,0,0.0039384,0,0,0.0902845,0,0,0,0,0,0,0,0,0,0,0,27.318,353.349,0,0.000247897,0.004509,
1,1,6,2.98813,0,1.85033,0,0.0220009,0,1.15337,1.55817,5.79361,0.251128,0,0,13.6167,0,0,0,0,0.679383,0,0,0.006564,0,0,0.685947,0,0,0,0,0,0,0,0,0,0,0,27.4368,353.349,0,0.000250017,0.004509,
1,1,7,2.62387,0,1.85033,0,0.0220009,0,1.49247,2.0096,6.4932,0.245547,0,0,14.737,0,0,0,0,0.389852,0,0,0.013128,0,0,0.40298,0,0,0,0,0,0,0,0,0,0,0,27.4633,353.349,0,0.000250652,0.004509,
1,1,8,12.2158,0,1.85033,0,0.0220009,0,1.64524,3.49987,7.11301,0.228805,-2.55659,0,24.0185,0,0,0,0,0.7713,0,0,0.160029,0,0,0.931329,0,0,0,0,0,0,0,0,0,0,0,27.447,353.349,0,0.000250171,0.004509,
1,1,9,8.03341,0,1.85033,0,0.144585,0,1.43755,3.73875,6.70668,0.200902,-25.9005,0,-3.78825,0,0,0,0,1.09831,0,0,0.525414,0,0,1.62372,0,0,0,0,0,0,0,0,0,0,0,27.2488,353.349,0,0.000245568,0.004509,
1,1,10,3.94098,0,1.85033,0,0.144585,0,1.28342,6.81487,6.45569,0.167419,-46.0214,0,-25.3641,0,0,0,0,0.927166,0,0,0.361256,0,0,1.28842,0,0,0,0,0,0,0,0,0,0,0,25.5892,353.349,0,0.000205897,0.004509,
1,1,11,1.39128,0,1.85033,0,0.144585,0,1.27036,6.79672,6.61084,0.133935,-61.7931,0,-43.595,0,0,0,0,0.554501,0,0,1.09974,0,0,1.65424,0,0,0,0,0,0,0,0,0,0,0,24.9926,353.349,0,0.000187311,0.004509,
1,1,12,1.15287,0,1.85033,0,0.144585,0,1.20871,4.74436,6.51272,0.0892899,-53.8285,0,-38.1257,0,0,0,0,0.490344,0,0,0.681648,0,0,1.17199,0,0,0,0,0,0,0,0,0,0,0,24.5827,353.349,0,0.000172385,0.004509,
1,1,13,0.901744,0,1.85033,0,0.144585,0,1.2933,4.23864,6.69613,0.0669675,-51.6597,0,-36.468,0,0,0,0,0.30062,0,0,0.0894516,0,0,0.390072,0,0,0,0,0,0,0,0,0,0,0,24.5911,353.349,0,0.000162633,0.004509,
1,1,14,0.455487,0,1.85033,0,0.144585,0,1.2933,2.4648,6.88324,0.0613869,-59.4496,0,-46.2965,0,0,0,0,0.153985,0,0,0.167222,0,0,0.321207,0,0,0,0,0,0,0,0,0,0,0,24.5825,353.349,0,0.000167705,0.004509,
