"",001
"Fri 14-Feb-20   3:15:35 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,2,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,3,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,4,"",24.606,0,0,0,24.0556,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295896,0,0
"MtrElec",1,1,5,"",30.9638,0,0,0,30.7093,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,6,"",61.0812,0,0,0,60.8267,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,7,"",67.9743,0,0,0,67.7198,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,8,"",67.9895,0,0,0,67.735,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,9,"",67.8712,0,0,0,67.6166,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,10,"",68.1035,0,0,0,67.849,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,11,"",69.5024,0,0,0,69.2479,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,12,"",71.2035,0,0,0,70.949,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,13,"",53.1747,0,0,0,52.9202,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,14,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,15,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,16,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,17,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,18,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,19,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,20,"",52.6189,0,0,0,52.3644,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,21,"",68.5611,0,0,0,68.3065,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,22,"",68.9857,0,0,0,68.7311,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,23,"",71.2399,0,0,0,70.9853,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,1,24,"",77.1405,0,0,0,76.886,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,1,"",16.4298,0,0,0,16.1753,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,2,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,3,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,4,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,5,"",19.8697,0,0,0,19.4492,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166001,0,0
"MtrElec",1,2,6,"",30.9684,0,0,0,30.7093,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463475,0,0
"MtrElec",1,2,7,"",2.11238,0,0,0,1.85783,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,8,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,9,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,10,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,11,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,12,"",42.3775,0,0,0,42.1229,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,13,"",68.4466,0,0,0,68.192,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,14,"",68.1976,0,0,0,67.943,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,15,"",63.925,0,0,0,63.6704,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,16,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,17,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,18,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,19,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,20,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,21,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,22,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,23,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,2,24,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,1,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,2,"",17.3103,0,0,0,16.8901,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165614,0,0
"MtrElec",1,3,3,"",30.965,0,0,0,30.7093,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120187,0,0
"MtrElec",1,3,4,"",2.70251,0,0,0,2.44797,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,5,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,6,"",37.148,0,0,0,36.8935,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,7,"",102.631,0,0,0,102.368,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00890677,0,0
"MtrElec",1,3,8,"",86.7782,0,0,0,86.5237,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,9,"",82.0662,0,0,0,81.8116,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,10,"",75.024,0,0,0,74.7694,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,11,"",72.433,0,0,0,72.1785,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,12,"",74.9868,0,0,0,74.7322,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,13,"",55.398,0,0,0,55.1435,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,14,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,15,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,16,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MtrElec",1,3,17,"",0.254546,0,0,0,0,0,0.254546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
