Time,BASESYS5 F1:DesPer 1:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Heat Cap [W],BASESYS5 F1:DesPer 1:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 1:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 1:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 2:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Heat Cap [W],BASESYS5 F1:DesPer 2:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 2:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 2:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 3:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Heat Cap [W],BASESYS5 F1:DesPer 3:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 3:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 3:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 4:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Heat Cap [W],BASESYS5 F1:DesPer 4:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 4:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 4:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 5:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Heat Cap [W],BASESYS5 F1:DesPer 5:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 5:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 5:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 6:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Heat Cap [W],BASESYS5 F1:DesPer 6:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 6:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 6:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 7:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Heat Cap [W],BASESYS5 F1:DesPer 7:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 7:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 7:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 8:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Heat Cap [W],BASESYS5 F1:DesPer 8:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 8:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 8:Des Tot Cool Cap [W],BASESYS5 F1:DesPer 9:Des Heat Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Heat Cap [W],BASESYS5 F1:DesPer 9:Des Cool Mass Flow [kg/s],BASESYS5 F1:DesPer 9:Des Sens Cool Cap [W],BASESYS5 F1:DesPer 9:Des Tot Cool Cap [W],DOAS1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS1:DesPer 1:Des Heat Cap [W],DOAS1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS1:DesPer 1:Des Sens Cool Cap [W],DOAS1:DesPer 1:Des Tot Cool Cap [W],DOAS1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS1:DesPer 2:Des Heat Cap [W],DOAS1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS1:DesPer 2:Des Sens Cool Cap [W],DOAS1:DesPer 2:Des Tot Cool Cap [W],DOAS1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS1:DesPer 3:Des Heat Cap [W],DOAS1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS1:DesPer 3:Des Sens Cool Cap [W],DOAS1:DesPer 3:Des Tot Cool Cap [W],DOAS1:DesPer 4:Des Heat Mass Flow [kg/s],DOAS1:DesPer 4:Des Heat Cap [W],DOAS1:DesPer 4:Des Cool Mass Flow [kg/s],DOAS1:DesPer 4:Des Sens Cool Cap [W],DOAS1:DesPer 4:Des Tot Cool Cap [W],DOAS1:DesPer 5:Des Heat Mass Flow [kg/s],DOAS1:DesPer 5:Des Heat Cap [W],DOAS1:DesPer 5:Des Cool Mass Flow [kg/s],DOAS1:DesPer 5:Des Sens Cool Cap [W],DOAS1:DesPer 5:Des Tot Cool Cap [W],DOAS1:DesPer 6:Des Heat Mass Flow [kg/s],DOAS1:DesPer 6:Des Heat Cap [W],DOAS1:DesPer 6:Des Cool Mass Flow [kg/s],DOAS1:DesPer 6:Des Sens Cool Cap [W],DOAS1:DesPer 6:Des Tot Cool Cap [W],DOAS1:DesPer 7:Des Heat Mass Flow [kg/s],DOAS1:DesPer 7:Des Heat Cap [W],DOAS1:DesPer 7:Des Cool Mass Flow [kg/s],DOAS1:DesPer 7:Des Sens Cool Cap [W],DOAS1:DesPer 7:Des Tot Cool Cap [W],DOAS1:DesPer 8:Des Heat Mass Flow [kg/s],DOAS1:DesPer 8:Des Heat Cap [W],DOAS1:DesPer 8:Des Cool Mass Flow [kg/s],DOAS1:DesPer 8:Des Sens Cool Cap [W],DOAS1:DesPer 8:Des Tot Cool Cap [W],DOAS1:DesPer 9:Des Heat Mass Flow [kg/s],DOAS1:DesPer 9:Des Heat Cap [W],DOAS1:DesPer 9:Des Cool Mass Flow [kg/s],DOAS1:DesPer 9:Des Sens Cool Cap [W],DOAS1:DesPer 9:Des Tot Cool Cap [W]
00:15:00,3.357895E+00,0.000000E+00,3.614168E+00,1.989927E+04,3.179988E+04,3.357895E+00,7.922832E+03,3.501690E+00,3.847120E+03,1.362321E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.570661E+00,1.917119E+04,2.979755E+04,3.357895E+00,0.000000E+00,3.627815E+00,1.838611E+04,3.319755E+04,3.357895E+00,0.000000E+00,3.683404E+00,2.196294E+04,3.744245E+04,3.357895E+00,0.000000E+00,3.564061E+00,1.754803E+04,5.345549E+02,3.357895E+00,0.000000E+00,3.764734E+00,2.967222E+04,1.954555E+04,3.357895E+00,0.000000E+00,3.814095E+00,3.629706E+04,4.026014E+04,9.089346E-01,1.606812E+04,1.026013E+00,5.556622E+03,8.713167E+03,9.089346E-01,1.990420E+04,9.883807E-01,1.293220E+03,3.936823E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.606812E+04,1.021225E+00,5.502174E+03,8.372357E+03,9.089346E-01,1.653896E+04,1.027049E+00,5.097556E+03,9.021723E+03,9.089346E-01,1.582243E+04,1.037552E+00,5.933399E+03,9.983458E+03,9.089346E-01,1.647776E+04,1.001643E+00,4.870301E+03,1.976493E+02,9.089346E-01,1.410488E+04,1.041006E+00,7.690389E+03,4.702704E+03,9.089346E-01,1.253528E+04,1.065985E+00,9.543944E+03,1.038490E+04
00:30:00,3.357895E+00,0.000000E+00,3.672884E+00,2.060440E+04,3.285033E+04,3.357895E+00,8.201205E+03,3.538717E+00,4.188347E+03,1.375826E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.629850E+00,1.988383E+04,3.086463E+04,3.357895E+00,0.000000E+00,3.688262E+00,1.915596E+04,3.432304E+04,3.357895E+00,0.000000E+00,3.744015E+00,2.277188E+04,3.859587E+04,3.357895E+00,0.000000E+00,3.612439E+00,1.812546E+04,1.401910E+03,3.357895E+00,0.000000E+00,3.826933E+00,3.042373E+04,2.062723E+04,3.357895E+00,0.000000E+00,3.876252E+00,3.710418E+04,4.138287E+04,9.089346E-01,1.614347E+04,9.089346E-01,4.153209E+03,6.920238E+03,9.089346E-01,1.997955E+04,9.089346E-01,3.171357E+02,2.570169E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.614347E+04,9.089346E-01,4.153209E+03,6.649503E+03,9.089346E-01,1.660472E+04,9.089346E-01,3.691967E+03,7.222935E+03,9.089346E-01,1.587860E+04,9.089346E-01,4.418080E+03,8.043758E+03,9.089346E-01,1.654078E+04,9.089346E-01,3.755901E+03,0.000000E+00,9.089346E-01,1.418434E+04,9.089346E-01,6.112346E+03,2.696134E+03,9.089346E-01,1.259967E+04,9.089346E-01,7.697010E+03,8.036309E+03
00:45:00,3.357895E+00,0.000000E+00,3.727015E+00,2.123388E+04,3.379114E+04,3.357895E+00,8.479577E+03,3.582722E+00,4.646589E+03,1.405583E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.683130E+00,2.049852E+04,3.179037E+04,3.357895E+00,0.000000E+00,3.741030E+00,1.979822E+04,3.526782E+04,3.357895E+00,0.000000E+00,3.798483E+00,2.347891E+04,3.960583E+04,3.357895E+00,0.000000E+00,3.662319E+00,1.872861E+04,2.300581E+03,3.357895E+00,0.000000E+00,3.882770E+00,3.106932E+04,2.156229E+04,3.357895E+00,0.000000E+00,3.931865E+00,3.780202E+04,4.235597E+04,9.089346E-01,1.621883E+04,9.089346E-01,4.077857E+03,6.843536E+03,9.089346E-01,2.005490E+04,9.089346E-01,2.417842E+02,2.374681E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.621883E+04,9.089346E-01,4.077857E+03,6.572816E+03,9.089346E-01,1.667048E+04,9.089346E-01,3.626205E+03,7.155952E+03,9.089346E-01,1.593477E+04,9.089346E-01,4.361909E+03,7.986552E+03,9.089346E-01,1.660380E+04,9.089346E-01,3.692880E+03,0.000000E+00,9.089346E-01,1.426380E+04,9.089346E-01,6.032885E+03,2.615657E+03,9.089346E-01,1.266406E+04,9.089346E-01,7.632618E+03,7.970899E+03
01:00:00,3.357895E+00,0.000000E+00,3.775885E+00,2.177589E+04,3.460492E+04,3.357895E+00,8.757949E+03,3.628016E+00,5.126875E+03,1.437893E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.731636E+00,2.103386E+04,3.259979E+04,3.357895E+00,0.000000E+00,3.790550E+00,2.038721E+04,3.613246E+04,3.357895E+00,0.000000E+00,3.847997E+00,2.410346E+04,4.049677E+04,3.357895E+00,0.000000E+00,3.712244E+00,1.933352E+04,3.193092E+03,3.357895E+00,0.000000E+00,3.933491E+00,3.162889E+04,2.237262E+04,3.357895E+00,0.000000E+00,3.982644E+00,3.841825E+04,4.321185E+04,9.089346E-01,1.629418E+04,9.089346E-01,4.002506E+03,6.766833E+03,9.089346E-01,2.013025E+04,9.089346E-01,1.664328E+02,2.179790E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.629418E+04,9.089346E-01,4.002506E+03,6.496131E+03,9.089346E-01,1.673624E+04,9.089346E-01,3.560444E+03,7.088983E+03,9.089346E-01,1.599094E+04,9.089346E-01,4.305738E+03,7.929330E+03,9.089346E-01,1.666682E+04,9.089346E-01,3.629859E+03,0.000000E+00,9.089346E-01,1.434326E+04,9.089346E-01,5.953423E+03,2.535167E+03,9.089346E-01,1.272846E+04,9.089346E-01,7.568227E+03,7.905489E+03
01:15:00,3.357895E+00,0.000000E+00,3.821071E+00,2.234910E+04,3.540287E+04,3.357895E+00,8.943531E+03,3.670366E+00,5.650886E+03,1.485281E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.776437E+00,2.160005E+04,3.339357E+04,3.357895E+00,0.000000E+00,3.835820E+00,2.098547E+04,3.695550E+04,3.357895E+00,0.000000E+00,3.893843E+00,2.473540E+04,4.134558E+04,3.357895E+00,0.000000E+00,3.756908E+00,1.992794E+04,4.014331E+03,3.357895E+00,0.000000E+00,3.981755E+00,3.224313E+04,2.318443E+04,3.357895E+00,0.000000E+00,4.031580E+00,3.908067E+04,4.406354E+04,9.089346E-01,1.634441E+04,9.089346E-01,3.952272E+03,6.715708E+03,9.089346E-01,2.018048E+04,9.089346E-01,1.161985E+02,2.050193E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.634441E+04,9.089346E-01,3.952272E+03,6.445016E+03,9.089346E-01,1.678008E+04,9.089346E-01,3.516603E+03,7.044327E+03,9.089346E-01,1.602839E+04,9.089346E-01,4.268291E+03,7.891187E+03,9.089346E-01,1.670884E+04,9.089346E-01,3.587845E+03,0.000000E+00,9.089346E-01,1.439623E+04,9.089346E-01,5.900449E+03,2.481511E+03,9.089346E-01,1.277138E+04,9.089346E-01,7.525300E+03,7.861883E+03
01:30:00,3.357895E+00,0.000000E+00,3.861806E+00,2.284790E+04,3.607707E+04,3.357895E+00,9.129112E+03,3.708950E+00,6.112621E+03,1.522411E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.816875E+00,2.209383E+04,3.406990E+04,3.357895E+00,0.000000E+00,3.876657E+00,2.150978E+04,3.765696E+04,3.357895E+00,0.000000E+00,3.936558E+00,2.531468E+04,4.209850E+04,3.357895E+00,0.000000E+00,3.797668E+00,2.045740E+04,4.723875E+03,3.357895E+00,0.000000E+00,4.025441E+00,3.277950E+04,2.386303E+04,3.357895E+00,0.000000E+00,4.075453E+00,3.965699E+04,4.477232E+04,9.089346E-01,1.639465E+04,9.089346E-01,3.902037E+03,6.664568E+03,9.089346E-01,2.023072E+04,9.089346E-01,6.596422E+01,1.920859E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.639465E+04,9.089346E-01,3.902037E+03,6.393887E+03,9.089346E-01,1.682392E+04,9.089346E-01,3.472762E+03,6.999671E+03,9.089346E-01,1.606584E+04,9.089346E-01,4.230844E+03,7.853044E+03,9.089346E-01,1.675085E+04,9.089346E-01,3.545831E+03,0.000000E+00,9.089346E-01,1.444921E+04,9.089346E-01,5.847474E+03,2.427855E+03,9.089346E-01,1.281431E+04,9.089346E-01,7.482372E+03,7.818262E+03
01:45:00,3.357895E+00,0.000000E+00,3.900485E+00,2.331208E+04,3.670928E+04,3.357895E+00,9.314694E+03,3.745146E+00,6.535053E+03,1.554624E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.854277E+00,2.253696E+04,3.468263E+04,3.357895E+00,0.000000E+00,3.915815E+00,2.200586E+04,3.832541E+04,3.357895E+00,0.000000E+00,3.976062E+00,2.583984E+04,4.278505E+04,3.357895E+00,0.000000E+00,3.835649E+00,2.094033E+04,5.375682E+03,3.357895E+00,0.000000E+00,4.065667E+00,3.325736E+04,2.447627E+04,3.357895E+00,0.000000E+00,4.115558E+00,4.016978E+04,4.541111E+04,9.089346E-01,1.644488E+04,9.089346E-01,3.851803E+03,6.613442E+03,9.089346E-01,2.028095E+04,9.089346E-01,1.572993E+01,1.791786E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.644488E+04,9.089346E-01,3.851803E+03,6.342773E+03,9.089346E-01,1.686776E+04,9.089346E-01,3.428922E+03,6.955030E+03,9.089346E-01,1.610329E+04,9.089346E-01,4.193396E+03,7.814901E+03,9.089346E-01,1.679287E+04,9.089346E-01,3.503816E+03,0.000000E+00,9.089346E-01,1.450218E+04,9.089346E-01,5.794500E+03,2.374199E+03,9.089346E-01,1.285724E+04,9.089346E-01,7.439445E+03,7.774656E+03
02:00:00,3.357895E+00,0.000000E+00,3.935229E+00,2.370970E+04,3.725531E+04,3.357895E+00,9.500275E+03,3.777572E+00,6.894696E+03,1.578615E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.888570E+00,2.292756E+04,3.522668E+04,3.357895E+00,0.000000E+00,3.950580E+00,2.242771E+04,3.889677E+04,3.357895E+00,0.000000E+00,4.011012E+00,2.628790E+04,4.337310E+04,3.357895E+00,0.000000E+00,3.870122E+00,2.136399E+04,5.950794E+03,3.357895E+00,0.000000E+00,4.101161E+00,3.365543E+04,2.499324E+04,3.357895E+00,0.000000E+00,4.150948E+00,4.060319E+04,4.595531E+04,9.089346E-01,1.649511E+04,9.089346E-01,3.801569E+03,6.562303E+03,9.089346E-01,2.033119E+04,9.089346E-01,0.000000E+00,1.662976E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.649511E+04,9.089346E-01,3.801569E+03,6.291644E+03,9.089346E-01,1.691160E+04,9.089346E-01,3.385081E+03,6.910374E+03,9.089346E-01,1.614073E+04,9.089346E-01,4.155949E+03,7.776758E+03,9.089346E-01,1.683488E+04,9.089346E-01,3.461802E+03,0.000000E+00,9.089346E-01,1.455516E+04,9.089346E-01,5.741526E+03,2.320543E+03,9.089346E-01,1.290017E+04,9.089346E-01,7.396517E+03,7.731050E+03
02:15:00,3.357895E+00,0.000000E+00,3.967114E+00,2.410463E+04,3.777042E+04,3.357895E+00,9.639462E+03,3.807849E+00,7.264290E+03,1.608590E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.920349E+00,2.332146E+04,3.574923E+04,3.357895E+00,0.000000E+00,3.982475E+00,2.284080E+04,3.943090E+04,3.357895E+00,0.000000E+00,4.043038E+00,2.672042E+04,4.391585E+04,3.357895E+00,0.000000E+00,3.902946E+00,2.179775E+04,6.513996E+03,3.357895E+00,0.000000E+00,4.133603E+00,3.405132E+04,2.547801E+04,3.357895E+00,0.000000E+00,4.183191E+00,4.102358E+04,4.645624E+04,9.089346E-01,1.653279E+04,9.089346E-01,3.763893E+03,6.523959E+03,9.089346E-01,2.036886E+04,9.089346E-01,0.000000E+00,1.566538E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.653279E+04,9.089346E-01,3.763893E+03,6.253308E+03,9.089346E-01,1.694448E+04,9.089346E-01,3.352200E+03,6.876890E+03,9.089346E-01,1.616882E+04,9.089346E-01,4.127863E+03,7.748155E+03,9.089346E-01,1.686639E+04,9.089346E-01,3.430292E+03,0.000000E+00,9.089346E-01,1.459489E+04,9.089346E-01,5.701795E+03,2.280297E+03,9.089346E-01,1.293236E+04,9.089346E-01,7.364322E+03,7.698345E+03
02:30:00,3.357895E+00,0.000000E+00,3.996124E+00,2.445069E+04,3.821970E+04,3.357895E+00,9.778648E+03,3.836673E+00,7.608636E+03,1.634909E+04,3.357895E+00,5.282513E+04,3.357895E+00,0.000000E+00,0.000000E+00,3.357895E+00,0.000000E+00,3.949309E+00,2.366697E+04,3.620588E+04,3.357895E+00,0.000000E+00,4.011527E+00,2.320535E+04,3.989901E+04,3.357895E+00,0.000000E+00,4.072096E+00,2.710266E+04,4.439114E+04,3.357895E+00,0.000000E+00,3.932985E+00,2.218394E+04,7.012586E+03,3.357895E+00,0.000000E+00,4.163052E+00,3.439704E+04,2.589969E+04,3.357895E+00,0.000000E+00,4.212393E+00,4.139299E+04,4.689484E+04,9.089346E-01,1.657047E+04,9.089346E-01,3.726217E+03,6.485615E+03,9.089346E-01,2.040654E+04,9.089346E-01,0.000000E+00,1.470248E+03,9.089346E-01,3.205861E+04,9.089346E-01,0.000000E+00,0.000000E+00,9.089346E-01,1.657047E+04,9.089346E-01,3.726217E+03,6.214972E+03,9.089346E-01,1.697736E+04,9.089346E-01,3.319320E+03,6.843391E+03,9.089346E-01,1.619691E+04,9.089346E-01,4.099778E+03,7.719552E+03,9.089346E-01,1.689790E+04,9.089346E-01,3.398781E+03,0.000000E+00,9.089346E-01,1.463462E+04,9.089346E-01,5.662064E+03,2.240053E+03,9.089346E-01,1.296456E+04,9.089346E-01,7.332126E+03,7.665640E+03
