18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-17 17:01:59"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz01\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.35211,0,0,0.846162,1.34308,5.20058,0,5.367,3.94427,0,0,4.54135,19.0532,0.198259,0,0,0,0,59.3261,0,0,0,0,0,59.9209,59.9209,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96,2084.1,4194.5,
1,1,2,0,0,2.37979,0,0,1.07062,1.34308,5.20058,0,5.367,3.94427,0,0,4.79348,19.3053,2.33323,0,0,0,0,40.4957,0,0,0,0,0,47.4954,47.4954,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71,2084.1,4194.5,
1,1,3,1.82546e-005,0,2.94042,0,0.00921446,1.07057,1.34308,5.20058,0,5.367,3.94427,0,0,5.36331,19.8752,7.63942,0,0,0,0,62.6112,0,0,0,0,0,85.5295,85.5295,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59,2084.1,4194.5,
1,1,4,6.79163e-005,0,3.59833,0,0.0276394,1.06667,1.34308,5.20058,0,5.367,3.94427,0,0,6.03578,20.5476,16.265,0,0,0,0,212.471,0,0,0,0,0,261.266,261.266,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,2084.1,4194.5,
1,1,5,0.000154371,0,3.69704,0,0.0276174,0.844159,1.34308,5.20058,0,5.367,3.94427,0,0,5.91205,20.4239,25.5273,0,0,0,0,239.53,0,0,0,0,0,316.112,316.112,0,0,0,0,0,0,0,0,0,0,0,0,0,24.82,2084.1,4194.5,
1,1,6,3.41714,0,4.3851,0,0.0345017,1.06673,1.34308,13.1446,0,13.311,3.94427,0,0,10.2465,40.6464,17.8171,0,0,0,0,413.659,0,0,0,0,0,467.11,467.11,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,2084.1,4194.5,
1,1,7,3.27401,0,10.2184,0,0.0304888,1.07055,1.34308,19.1026,0,19.269,3.94427,0,0,15.9365,58.2524,478.841,0,0,0,0,135.957,0,27.1049,0,0,0,1572.48,1599.58,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19,2084.1,4194.5,
1,1,8,3.1996,0,6.89222,0,0.0275847,1.31312,1.33955,19.1026,0,19.269,3.94427,0,0,12.7721,55.0879,240.439,0,0,0,0,169.794,0,27.1049,0,0,0,891.111,918.216,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19,2084.1,4194.5,
1,1,9,3.36091,0,9.30065,0,0.281493,1.32588,2.24719,20.1782,0,19.269,3.94427,0,0,16.5161,59.9075,540.579,0,0,0,0,253.342,0,0,0,0,0,1875.08,1875.08,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,2084.1,4194.5,
1,1,10,3.43298,0,6.61272,0,0.0958538,1.33909,2.2452,20.1782,0,19.269,3.94427,0,0,13.7258,57.1173,450.765,0,0,0,0,213.996,0,0,0,0,0,1566.29,1566.29,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71,2084.1,4194.5,
1,1,11,3.42737,0,7.03083,0,0.0657701,2.29065,8.29881,20.6736,0,13.311,3.94427,0,0,21.1134,59.0423,414.974,0,0,0,0,146.053,0,0,0,0,0,1390.97,1390.97,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,2084.1,4194.5,
1,1,12,3.32261,0,6.57463,0,0.0616025,2.61254,7.99055,20.6736,0,13.311,3.94427,0,0,20.5619,58.4908,357.166,0,0,0,0,217.862,0,10.842,0,0,0,1289.36,1300.2,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52,2084.1,4194.5,
1,1,13,3.3594,0,6.42504,0,0.0583832,2.72988,10.9772,24.9759,0,13.311,3.94427,0,0,23.5499,65.7811,303.393,0,0,0,0,101.008,0,10.842,0,0,0,1011.19,1022.03,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56,2084.1,4194.5,
1,1,14,3.42026,0,6.39917,0,0.0582109,2.73001,11.0247,24.9759,0,13.311,3.94427,0,0,23.6324,65.8635,295.371,0,0,0,0,59.7944,0,0,0,0,0,945.907,945.907,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55,2084.1,4194.5,
1,1,15,3.40551,0,6.37563,0,0.057862,2.64328,11.0368,24.9759,0,13.311,3.94427,0,0,23.519,65.7502,286.346,0,0,0,0,81.9745,0,0,0,0,0,941.013,941.013,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,2084.1,4194.5,
1,1,16,3.32163,0,6.61241,0,0.0573347,2.6395,11.4946,24.9759,0,13.311,3.94427,0,0,24.1255,66.3567,294.473,0,0,0,0,116.915,0,0,0,0,0,1000.33,1000.33,0,0,0,0,0,0,0,0,0,0,0,0,0,24.87,2084.1,4194.5,
1,1,17,3.74187,0,6.89207,0,0.058081,2.86138,11.6066,24.9759,0,13.311,3.94427,0,0,25.16,67.3911,327.599,0,0,0,0,228.765,0,27.1049,0,0,0,1211.56,1238.67,0,0,0,0,0,0,0,0,0,0,0,0,0,25.22,2084.1,4194.5,
1,1,18,5.06353,0,7.24426,0,0.0615972,2.54614,8.53542,20.6736,0,13.311,3.94427,0,0,23.4509,61.3798,402.923,0,0,0,0,152.183,0,27.1049,0,0,0,1360.95,1388.06,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,2084.1,4194.5,
1,1,19,0.0131383,0,5.60898,0,0.0671676,2.07655,4.42551,28.2873,0,25.227,3.94427,0,0,12.1913,69.6499,361.746,0,0,0,0,116.253,0,27.1049,0,0,0,1201.49,1228.6,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,2084.1,4194.5,
1,1,20,0,0,2.90549,0,0,2.25521,1.34308,33.0046,0,33.171,3.94427,0,0,6.50378,76.6236,42.8855,0,0,0,0,193.929,0,0,0,0,0,322.586,322.586,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,2084.1,4194.5,
1,1,21,0,0,2.63079,0,0,1.90112,1.34308,36.9766,0,37.143,3.94427,0,0,5.875,83.9389,21.6957,0,0,0,0,136.589,0,0,0,0,0,201.676,201.676,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,2084.1,4194.5,
1,1,22,0,0,2.84953,0,0,1.59617,1.34308,33.0046,0,33.171,3.94427,0,0,5.78877,75.9086,38.5685,0,0,0,0,184.526,0,0,0,0,0,300.231,300.231,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,2084.1,4194.5,
1,1,23,0,0,2.34954,0,0,1.0827,1.34308,25.0606,0,25.227,3.94427,0,0,4.77532,59.0072,0,0,0,0,0,76.7439,0,0,0,0,0,76.7439,76.7439,0,0,0,0,0,0,0,0,0,0,0,0,0,25.14,2084.1,4194.5,
1,1,24,0,0,2.34954,0,0,1.06673,1.34308,13.1446,0,13.311,3.94427,0,0,4.75935,35.1592,0,0,0,0,0,90.9914,0,0,0,0,0,90.9914,90.9914,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04,2084.1,4194.5,
1,2,1,0,0,2.35753,0,0,0.840394,1.34308,5.20058,0,5.367,3.94427,0,0,4.541,19.0529,0.616435,0,0,0,0,32.9668,0,0,0,0,0,34.8161,34.8161,0,0,0,0,0,0,0,0,0,0,0,0,0,24.32,2084.1,4194.5,
1,2,2,0,0,2.45361,0,0,0.842266,1.34308,5.20058,0,5.367,3.94427,0,0,4.63896,19.1508,8.02815,0,0,0,0,48.1534,0,0,0,0,0,72.2379,72.2379,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07,2084.1,4194.5,
1,2,3,5.42331e-005,0,3.77964,0,0.0276434,1.06285,1.34308,5.20058,0,5.367,3.94427,0,0,6.21327,20.7251,30.4119,0,0,0,0,73.1443,0,0,0,0,0,164.38,164.38,0,0,0,0,0,0,0,0,0,0,0,0,0,24.02,2084.1,4194.5,
1,2,4,0.000122271,0,4.12849,0,0.027625,0.840374,1.34308,5.20058,0,5.367,3.94427,0,0,6.33968,20.8515,58.1967,0,0,0,0,212.488,0,0,0,0,0,387.078,387.078,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04,2084.1,4194.5,
1,2,5,0.000165678,0,4.33881,0,0.0276157,0.840397,1.34308,5.20058,0,5.367,3.94427,0,0,6.55007,21.0619,75.2486,0,0,0,0,239.235,0,0,0,0,0,464.981,464.981,0,0,0,0,0,0,0,0,0,0,0,0,0,24.16,2084.1,4194.5,
1,2,6,8.92031,0,4.822,0,0.0345157,0.840411,1.65868,13.2976,0,13.311,3.94427,0,0,16.2759,46.8288,50.2083,0,0,0,0,221.936,0,0,0,0,0,372.56,372.56,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,2084.1,4194.5,
1,2,7,7.40321,0,15.7141,0,0.368149,0.840412,1.65868,19.2556,0,20.664,3.94427,0,0,25.9846,69.8484,1075.1,0,0,0,0,130.443,0,27.1049,0,0,0,3355.75,3382.86,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,2084.1,4194.5,
1,2,8,7.40127,0,9.3553,0,0.105252,1.58765,6.00243,23.0943,0,20.664,3.94427,0,0,24.4519,72.1545,689.365,0,0,0,0,150.764,0,27.3752,0,0,0,2218.86,2246.23,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,2084.1,4194.5,
1,2,9,7.56927,0,8.5184,0,0.0744887,1.92833,14.3469,31.3838,0,20.664,3.94427,0,0,32.4373,88.4294,563.639,0,0,0,0,205.002,0,0.27023,0,0,0,1895.92,1896.19,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69,2084.1,4194.5,
1,2,10,11.8803,0,8.35644,0,0.0672153,2.63719,21.331,39.9884,0,20.664,3.94427,0,0,44.2721,108.869,497.435,0,0,0,0,215.725,0,0.27023,0,0,0,1708.03,1708.3,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,2084.1,4194.5,
