18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2022.0.1 RV (1113)"
,CompMgr:,,"BEMCmpMgr 2022.0.1 RV (6107)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.865.0+dhwloop.68861ec.94 EXE"
,Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2020-01-08 19:16:52"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz06\instance.cibd22"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.34954,0,0,0.842872,1.34308,5.20058,0,5.367,3.94427,0,0,4.53549,19.0473,0,0,0,0,0,48.9886,0,0,0,0,0,48.9886,48.9886,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7395,2716.13,2716.13,
1,1,2,0,0,2.34954,0,0,1.06419,1.34308,5.20058,0,5.367,3.94427,0,0,4.75681,19.2687,0,0,0,0,0,34.3921,0,0,0,0,0,34.3921,34.3921,0,0,0,0,0,0,0,0,0,0,0,0,0,28.723,2716.13,2716.13,
1,1,3,0,0,2.34954,0,0,1.06418,1.34308,5.20058,0,5.367,3.94427,0,0,4.75679,19.2686,0,0,0,0,0,53.718,0,0,0,0,0,53.718,53.718,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5584,2716.13,2716.13,
1,1,4,0,0,2.34954,0,0,0.841109,1.34308,5.20058,0,5.367,3.94427,0,0,4.53373,19.0456,0,0,0,0,0,183.275,0,0,0,0,0,183.275,183.275,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4263,2716.13,2716.13,
1,1,5,0,0,2.34954,0,0,1.06072,1.34308,5.20058,0,5.367,3.94427,0,0,4.75334,19.2652,0,0,0,0,0,206.414,0,0,0,0,0,206.414,206.414,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5129,2716.13,2716.13,
1,1,6,0.00314344,0,2.86933,0,0.0067322,0.858963,1.34308,13.1446,0,13.311,3.94427,0,0,5.08125,35.4811,59.9076,0,0,0,0,344.689,0,0,0,0,0,404.597,404.597,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7348,2716.13,2716.13,
1,1,7,0.00251972,0,5.35994,0,0.00673192,1.04621,1.34308,19.1026,0,19.269,3.94427,0,0,7.75847,50.0743,240.129,0,0,0,0,114.344,0,27.1049,0,0,0,354.473,381.578,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7509,2716.13,2716.13,
1,1,8,0.00229128,0,4.40547,0,0.00676296,1.30154,1.32189,19.1026,0,19.269,3.94427,0,0,7.03795,49.3538,162.216,0,0,0,0,140.585,0,27.1049,0,0,0,302.801,329.906,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7414,2716.13,2716.13,
1,1,9,0.0225832,0,6.84557,0,0.246105,1.19499,2.2105,20.1782,0,19.269,3.94427,0,0,10.5197,53.9112,396.347,0,0,0,0,207.226,0,0,0,0,0,603.573,603.573,0,0,0,0,0,0,0,0,0,0,0,0,0,28.393,2716.13,2716.13,
1,1,10,0.0130883,0,4.65484,0,0.0328025,1.44388,2.20163,20.1782,0,19.269,3.94427,0,0,8.34624,51.7377,224.172,0,0,0,0,177.327,0,0,0,0,0,401.499,401.499,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1498,2716.13,2716.13,
