18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,""
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-13 13:27:16"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz10\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,1,0,0,2.3578,0,0,0.221293,1.34308,5.20058,0,5.367,0.984739,0,0,3.92217,15.4745,0,0,0,0,0,0.985912,0,0,0,0,0,0.985912,0.985912,0,0,0,0,0,0,0,0,0,0,0,0,0,24.74,2108.8,4194.5,
1,1,2,0,0,2.3578,0,0,0.442519,1.34308,5.20058,0,5.367,0.984739,0,0,4.1434,15.6957,0,0,0,0,0,0.98571,0,0,0,0,0,0.98571,0.98571,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,2108.8,4194.5,
1,1,3,0,0,2.3596,0,0,0.442519,1.34308,5.20058,0,5.367,0.984739,0,0,4.14519,15.6975,0.133504,0,0,0,0,1.12424,0,0,0,0,0,1.52475,1.52475,0,0,0,0,0,0,0,0,0,0,0,0,0,24.29,2108.8,4194.5,
1,1,4,0,0,2.42363,0,0,0.219536,1.34308,5.20058,0,5.367,0.984739,0,0,3.98624,15.5386,5.12969,0,0,0,0,1.08857,0,0,0,0,0,16.4776,16.4776,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,2108.8,4194.5,
1,1,5,1.56837e-005,0,3.14585,0,0.00254435,0.439091,1.34308,5.20058,0,5.367,0.984739,0,0,4.93058,16.4829,20.2618,0,0,0,0,0.981033,0,0,0,0,0,61.7665,61.7665,0,0,0,0,0,0,0,0,0,0,0,0,0,24.54,2108.8,4194.5,
1,1,6,0.00472985,0,4.59175,0,0.00839258,0.219601,1.34308,13.1446,0,13.311,0.984739,0,0,6.16755,33.6079,118.426,0,0,0,0,0.987266,0,0,0,0,0,356.265,356.265,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,2108.8,4194.5,
1,1,7,0.00391283,0,11.3835,0,0.0084972,0.44254,1.34219,19.1026,0,19.269,0.984739,0,0,13.1807,52.537,608.422,0,0,0,0,1.21309,0,27.1049,0,0,0,1826.48,1853.58,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19,2108.8,4194.5,
1,1,8,0.00376772,0,8.34913,0,0.00818537,0.679709,1.33139,19.1026,0,19.269,0.984739,0,0,10.3722,49.7285,411.726,0,0,0,0,1.01923,0,27.1049,0,0,0,1236.2,1263.3,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19,2108.8,4194.5,
1,1,9,0.0326256,0,10.8578,0,0.468039,0.460534,2.31508,20.1782,0,19.269,0.984739,0,0,14.1341,54.566,754.538,0,0,0,0,1.26167,0,0,0,0,0,2264.88,2264.88,0,0,0,0,0,0,0,0,0,0,0,0,0,24.73,2108.8,4194.5,
1,1,10,0.0225673,0,7.31611,0,0.144902,0.936311,2.26035,20.1782,0,19.269,0.984739,0,0,10.6802,51.1121,546.026,0,0,0,0,1.2938,0,0,0,0,0,1639.37,1639.37,0,0,0,0,0,0,0,0,0,0,0,0,0,23.49,2108.8,4194.5,
